Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,10,,SG,11400,HOU,DAL,1,117,37,29,102,110,-3%,20,21,21,35,38,38,58.9,58.9,46.4,71.4,36.0,54.0,4.7,38.5,43.6,3.8
Giannis Antetokounmpo,6,,PF,11400,MIL,DET,2,120,37,32,100,110,-6%,19,15,17,33,30,31,50.6,50.9,36.5,65.4,29.5,50.3,4.4,36.1,59.8,5.2
Luka Doncic,5,,PG,11100,DAL,@HOU,0,113,38,28,106,107,3%,16,19,19,30,31,31,43.3,43.3,32.3,54.4,34.0,52.2,4.7,37.9,60.7,5.5
Joel Embiid,10,,C,9900,PHI,CHA,1,115,32,26,98,111,6%,11,15,15,32,33,33,48.1,48.1,40.1,56.1,34.0,51.4,5.2,24.9,47.2,4.8
Stephen Curry,6,,PG,9500,GSW,SAC,0,116,,,101,110,1%,26,22,22,35,34,33,48.9,47.9,35.4,60.3,34.5,50.0,5.3,30.6,50.8,5.3
Andre Drummond,4,,C,9500,CLE,@ORL,1,104,28,22,101,107,-6%,11,15,15,23,30,29,49.4,47.0,28.1,65.9,31.0,47.1,5.0,32.2,37.8,4.0
Trae Young,9,,PG,9400,ATL,NYK,1,116,36,24,101,111,1%,19,18,17,33,33,32,42.3,43.7,36.2,51.3,33.5,44.9,4.8,39.6,49.4,5.3
Domas Sabonis,7,,PF,9200,IND,@NOR,1,107,24,21,106,109,5%,11,13,14,38,37,37,40.9,43.1,32.8,53.4,37.0,43.5,4.7,35,43.7,4.8
Jayson Tatum,13,,PF,9100,BOS,@TOR,0,106,28,20,103,102,5%,23,19,21,37,35,35,44.4,43.7,33.9,53.6,36.0,45.7,5.0,31.7,55.2,6.1
Christian Wood,10,,PF,9100,HOU,DAL,1,117,22,23,102,110,2%,14,18,18,33,36,36,48.1,48.1,42.3,54.0,33.0,39.8,4.4,32.7,34.4,3.8
Bam Adebayo,8,,C,8700,MIA,OKC,2,112,22,20,101,106,-10%,13,11,11,36,32,32,39.0,39.0,28.1,49.9,34.5,43.0,4.9,28.4,34.6,4.0
Ben Simmons,10,,PG,8700,PHI,CHA,1,115,23,20,98,111,-4%,8,9,9,31,32,32,40.0,41.4,35.7,47.1,35.0,44.0,5.1,35,34.0,3.9
Jaylen Brown,11,,SF,8500,BOS,@TOR,0,106,24,17,103,102,-1%,18,17,19,36,34,34,40.7,42.8,33.2,52.4,36.0,40.2,4.7,33.9,28.5,3.4
