Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Connor McDavid,C,9300,EDM,LA,1,19.2,20.0
David Pastrnak,W,9100,BOS,BUF,1,17.6,31.7
Leon Draisaitl,W,9000,EDM,LA,1,16.4,8.0
Nathan MacKinnon,C,8800,COL,MIN,1,18.6,11.7
Patrick Kane,W,8600,CHI,TB,2,17.5,20.8
Auston Matthews,C,8500,TOR,ARI,1,18.1,16.8
Aleksander Barkov,C,8400,FLA,ANH,1,16.4,20.8
Brad Marchand,W,8400,BOS,BUF,1,16.4,27.7
Evgeni Malkin,C,8300,PIT,NYI,1,15.4,29.6
Jack Eichel,C,8100,BUF,BOS,1,17.5,14.9
Steven Stamkos,C,8000,TB,CHI,1,15.9,3.2
Patrice Bergeron,C,7800,BOS,BUF,1,16.6,16.5
Patrik Laine,W,7800,WPG,DAL,1,13.7,20.0
Filip Forsberg,W,7700,NSH,VAN,1,14.6,4.8
Evander Kane,W,7700,SJ,VGK,1,13.1,1.6
Tyler Seguin,C,7700,DAL,WPG,1,16.8,16.8
Anze Kopitar,C,7600,LA,EDM,1,13.1,15.2
Claude Giroux,W,7600,PHI,CAR,2,13.3,47.3
Mark Stone,W,7500,VGK,SJ,2,14.5,1.6
Mark Scheifele,C,7500,WPG,DAL,1,14.2,12.8
Jonathan Huberdeau,W,7500,FLA,ANH,1,14.4,16.0
John Tavares,C,7400,TOR,ARI,2,16.9,8.0
Jake Guentzel,W,7400,PIT,NYI,1,15.1,9.6
Brent Burns,D,7300,SJ,VGK,32,14.9,6.4
Sebastian Aho,C,7300,CAR,PHI,1,15.4,18.4
Johnny Gaudreau,W,7200,CGY,STL,1,16.3,4.8
Elias Pettersson,C,7200,VAN,NSH,1,14.6,32.7
Brock Boeser,W,7200,VAN,NSH,1,14.5,29.0
Brayden Point,C,7100,TB,CHI,1,14.8,20.0
Jeff Skinner,W,7100,BUF,BOS,2,13.3,8.0
Ryan O'Reilly,C,7000,STL,CGY,2,13.1,1.6
Anthony Mantha,W,7000,DET,CLS,1,13.0,17.6
Matt Duchene,C,6900,NSH,VAN,2,12.0,15.2
Sean Monahan,C,6900,CGY,STL,2,14.7,4.8
Sean Couturier,C,6900,PHI,CAR,3,14.9,0.0
Viktor Arvidsson,W,6800,NSH,VAN,1,14.1,12.8
Matthew Tkachuk,W,6800,CGY,STL,1,14.1,3.2
Jonathan Audy-Marchessault,W,6800,VGK,SJ,2,13.5,11.2
Dougie Hamilton,D,6800,CAR,PHI,48,11.7,9.6
Roman Josi,D,6700,NSH,VAN,49,13.8,11.2
Max Pacioretty,W,6700,VGK,SJ,1,12.0,3.2
Blake Wheeler,C,6700,WPG,DAL,2,14.3,4.8
Dylan Larkin,C,6700,DET,CLS,1,16.1,3.2
Cam Atkinson,W,6700,CLS,DET,1,13.1,26.9
Logan Couture,C,6700,SJ,VGK,1,13.9,23.2
Alexander Radulov,W,6700,DAL,WPG,2,14.2,4.8
Erik Karlsson,D,6600,SJ,VGK,56,14.6,12.8
Phil Kessel,W,6600,ARI,TOR,3,14.0,4.8
William Karlsson,C,6600,VGK,SJ,1,11.8,4.8
Kyle Connor,W,6600,WPG,DAL,1,13.6,18.4
Alex DeBrincat,W,6600,CHI,TB,2,14.1,4.8
Andrei Svechnikov,W,6600,CAR,PHI,1,11.1,10.1
David Perron,W,6500,STL,CGY,2,10.0,18.9
Jakob Silfverberg,W,6500,ANH,FLA,2,10.9,12.8
Travis Konecny,W,6500,PHI,CAR,2,11.1,30.9
Jamie Benn,W,6500,DAL,WPG,1,13.0,24.8
Joe Pavelski,C,6400,DAL,WPG,3,12.3,4.8
Evgeni Dadonov,W,6400,FLA,ANH,1,12.4,4.8
