Player Name,Salary,Team,Opp,Proj FP,Actual FP
Marc-Andre Fleury,9200,VGK,SJ,18.1,13.6
Ben Bishop,8900,DAL,WPG,20.5,18.4
Matthew Murray,8800,PIT,NYI,17.6,0.0
Tuukka Rask,8800,BOS,BUF,21.4,32.8
Jordan Binnington,8500,STL,CGY,18.3,52.0
Darcy Kuemper,8500,ARI,TOR,17.7,12.0
Connor Hellebuyck,8400,WPG,DAL,16.8,8.8
Petr Mrazek,8300,CAR,PHI,17.4,-1.6
David Rittich,8200,CGY,STL,15.2,0.8
Mike Smith,8200,EDM,LA,18.6,-4.8
Philipp Grubauer,8100,COL,MIN,17.8,10.4
Pekka Rinne,8100,NSH,VAN,19.9,-10.4
Frederik Andersen,8100,TOR,ARI,18.9,32.0
Thomas Greiss,8000,NYI,PIT,20.6,18.4
John Gibson,8000,ANH,FLA,14.2,-1.6
Curtis McElhinney,7800,TB,CHI,18.0,29.6
Sergei Bobrovsky,7800,FLA,ANH,20.3,18.4
Joonas Korpisalo,7600,CLS,DET,19.0,13.6
Jon Quick,7500,LA,EDM,15.5,28.0
Corey Crawford,7400,CHI,TB,16.7,12.8
Jacob Markstrom,7300,VAN,NSH,15.0,36.0
Brian Elliott,7300,PHI,CAR,15.0,26.4
Aaron Dell,7300,SJ,VGK,11.2,37.6
Linus Ullmark,7300,BUF,BOS,14.7,7.2
Alex Stalock,7200,MIN,COL,16.8,24.0
Jimmy Howard,7000,DET,CLS,14.9,5.6
