Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tuukka Rask,1,,G,9000,BOS,STL,3,,,60.9,60.9,60.9,0.944,0.944,28.2,28.2,28.2,17.1,39.2,19.5,2.2,40.8,4.5
Matthew Murray,,,G,8700,PIT,@DAL,2,,,60.6,60.1,60.1,0.909,0.909,20.2,18.0,18.0,6.2,29.8,18.3,2.1,40.0,4.6
Ben Bishop,1,,G,8500,DAL,PIT,1,,,60.5,59.9,59.9,0.920,0.920,19.0,16.8,16.8,3.5,30.1,19.1,2.2,11.2,1.3
Carey Price,1,,G,8400,MON,TOR,1,46%,,59.0,60.4,60.4,0.903,0.903,17.3,17.0,17.0,5.1,28.9,18.0,2.1,27.2,3.2
Ryan Miller,,,G,8200,ANH,@COL,1,,,46.7,46.7,46.7,0.919,0.919,16.5,16.5,16.5,1.1,32.0,16.9,2.1,32.0,3.9
Jordan Binnington,1,,G,8100,STL,@BOS,1,62%,,61.1,61.0,61.0,0.916,0.916,16.0,18.5,18.5,9.0,28.0,14.1,1.7,8.8,1.1
David Rittich,,,G,8100,CGY,@WPG,1,,,56.9,58.8,58.8,0.901,0.901,11.8,17.3,17.3,0.5,34.1,16.9,2.1,26.4,3.3
Joonas Korpisalo,,,G,7800,CLS,@PHI,1,57%,,61.2,60.7,60.7,0.901,0.901,21.6,16.6,16.6,7.7,25.5,13.6,1.7,7.2,0.9
Curtis McElhinney,,,G,7800,TB,NSH,2,54%,,59.8,59.8,59.8,0.909,0.909,14.0,14.0,14.0,11.2,16.8,20.3,2.6,17.6,2.3
Connor Hellebuyck,,,G,7600,WPG,CGY,3,,,60.0,59.9,59.9,0.929,0.929,21.1,22.3,22.3,7.2,37.4,17.0,2.2,31.2,4.1
Pavel Francouz,1,,G,7600,COL,ANH,0,55%,,61.6,61.6,61.6,0.951,0.951,35.2,35.2,35.2,29.5,40.9,21.2,2.8,1.6,0.2
Brian Elliott,,,G,7600,PHI,CLS,1,,,50.2,50.2,50.2,0.933,0.933,18.4,18.4,18.4,3.4,33.4,19.5,2.6,13.6,1.8
Alex Stalock,,,G,7400,MIN,LA,1,38%,2.96,48.5,48.5,48.5,0.916,0.916,12.5,12.5,12.5,-4.3,29.2,18.7,2.5,32.0,4.3
Juuse Saros,,,G,7400,NSH,@TB,1,,,59.1,59.1,59.1,0.853,0.853,2.9,2.9,2.9,0.5,5.4,14.5,2.0,26.4,3.6
Jon Quick,,,G,7200,LA,@MIN,1,48%,2.43,59.4,59.2,59.2,0.854,0.854,9.1,6.9,6.9,-10.2,24.1,16.3,2.3,-2.4,-0.3
Michael Hutchinson,,,G,7200,TOR,@MON,0,,,48.5,48.5,48.5,0.890,0.890,8.0,8.0,8.0,4.5,11.5,15.6,2.2,6.4,0.9
