Player Name,Salary,Team,Opp,Proj FP,Actual FP
Curtis McElhinney,8600,TB,FLA,20.6,-12.0
Frederik Andersen,8400,TOR,OTT,22.7,-4.0
James Reimer,8200,CAR,CLS,18.5,29.6
Semyon Varlamov,8200,NYI,BUF,19.3,24.0
Jacob Markstrom,8100,CGY,VAN,18.0,24.0
Anton Khudobin,7900,DAL,NSH,20.3,0.0
Chris Driedger,7800,FLA,TB,15.2,17.6
Connor Hellebuyck,7700,WPG,EDM,16.3,24.0
Mike Smith,7600,EDM,WPG,17.8,-10.4
Malcolm Subban,7400,CHI,DET,20.6,25.6
Joonas Korpisalo,7200,CLS,CAR,13.8,-4.0
Pekka Rinne,7100,NSH,DAL,15.9,0.0
Linus Ullmark,7000,BUF,NYI,18.0,8.8
Thatcher Demko,6900,VAN,CGY,17.0,2.4
John Gibson,6800,ANH,SJ,19.5,8.8
Martin Jones,6800,SJ,ANH,16.3,24.8
Thomas Greiss,6700,DET,CHI,18.9,4.8
Marcus Hogberg,6600,OTT,TOR,12.7,18.4
