Player Name,Salary,Team,Opp,Proj FP,Actual FP
Robin Lehner,8700,VGK,ARI,19.6,0.8
Philipp Grubauer,8500,COL,ANH,21.7,32.8
Cameron Talbot,8200,MIN,SJ,19.0,4.8
Frederik Andersen,8000,TOR,EDM,20.4,28.0
Tristan Jarry,7900,PIT,NYR,17.8,24.8
Anton Khudobin,7900,DAL,NSH,18.6,47.2
Darcy Kuemper,7800,ARI,VGK,16.3,27.2
Vitek Vanecek,7700,WAS,BUF,17.4,19.2
Igor Shesterkin,7700,NYR,PIT,16.3,8.0
Mikko Koskinen,7600,EDM,TOR,15.3,8.0
Juuse Saros,7400,NSH,DAL,18.3,-8.0
John Gibson,7300,ANH,COL,16.3,11.2
Devan Dubnyk,7000,SJ,MIN,13.7,12.0
Linus Ullmark,6900,BUF,WAS,19.6,11.2
Thomas Greiss,6700,DET,CHI,16.9,7.2
Kevin Lankinen,6600,CHI,DET,0.0,32.0
