Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nathan MacKinnon,,,C,9000,COL,CGY,1,L1,P1,3.18,18.4,21.0,21.0,3.2,4.7,4.7,25.1,23.3,23.3,10.9,35.7,18.6,2.1,32.8,3.6
David Pastrnak,,,W,8700,BOS,@OTT,1,L1,P1,3.39,20.0,19.2,19.2,3.2,3.9,3.9,13.8,22.1,22.1,7.7,36.4,17.6,2.0,24.5,2.8
Alexander Ovechkin,,,W,8600,WAS,CLS,2,L1,P1,3.47,19.8,20.9,20.9,4.6,4.7,4.7,19.3,18.9,18.9,4.7,33.1,17.0,2.0,31.2,3.6
Nikita Kucherov,,,W,8300,TB,NYI,1,L1,P1,3.37,20.3,18.9,18.9,3.4,2.7,2.7,19.3,16.2,16.2,3.0,29.5,18.8,2.3,8.0,1.0
Steven Stamkos,,,C,8100,TB,NYI,1,L2,P1,3.37,20.0,18.2,18.2,4.2,3.0,3.0,17.8,15.9,15.9,4.4,27.4,15.9,2.0,20.0,2.5
Brad Marchand,,,W,8100,BOS,@OTT,1,L1,P1,3.39,18.9,19.4,19.4,2.0,2.5,2.5,5.4,18.7,18.7,4.2,33.2,16.4,2.0,19.7,2.4
Patrice Bergeron,,Q,C,8000,BOS,@OTT,1,L1,P1,3.39,18.2,18.9,18.9,2.8,3.4,3.4,17.2,16.6,16.6,6.1,27.1,16.6,2.1,23.2,2.9
Evgeny Kuznetsov,,,C,7700,WAS,CLS,2,L2,P1,3.47,18.5,18.3,18.3,1.4,2.4,2.4,15.3,14.6,14.6,3.9,25.3,13.1,1.7,11.2,1.5
Mikko Rantanen,,,W,7600,COL,CGY,1,L1,P1,3.18,15.8,18.5,18.5,1.6,2.4,2.4,15.5,17.8,17.8,6.2,29.4,16.1,2.1,8.0,1.1
John Carlson,,,D,7600,WAS,CLS,2,D1,P1,3.47,23.3,25.0,25.0,3.6,2.9,2.9,22.3,20.0,20.0,9.8,30.2,13.8,1.8,4.8,0.6
Johnny Gaudreau,,,W,7300,CGY,@COL,1,L3,P1,2.82,16.9,19.3,19.3,4.0,2.9,2.9,14.2,11.6,11.6,3.0,20.1,16.3,2.2,4.8,0.7
Gabriel Landeskog,,Q,W,7200,COL,CGY,1,L1,P1,3.18,19.0,20.0,20.0,2.0,2.4,2.4,8.3,11.7,11.7,2.9,20.5,14.7,2.0,3.2,0.4
Brayden Point,,,C,7000,TB,NYI,1,L1,P1,3.37,20.6,18.8,18.8,2.0,2.1,2.1,12.7,13.0,13.0,1.2,24.8,14.8,2.1,4.8,0.7
