Player Name,Salary,Team,Opp,Proj FP,Actual FP
Pekka Rinne,8800,NSH,COL,18.5,-6.4
David Rittich,8700,CGY,NJ,17.0,20.8
Carey Price,8600,MON,PHI,15.8,20.0
Matthew Murray,8600,PIT,NYI,18.2,16.0
Frederik Andersen,8500,TOR,VGK,19.8,37.6
Darcy Kuemper,8400,ARI,CLS,20.8,12.0
Sergei Bobrovsky,8300,FLA,WAS,17.6,0.8
Semyon Varlamov,8200,NYI,PIT,18.3,12.0
Braden Holtby,8000,WAS,FLA,15.8,21.6
Petr Mrazek,7900,CAR,NYR,19.8,0.0
Henrik Lundqvist,7800,NYR,CAR,12.4,40.0
Malcolm Subban,7800,VGK,TOR,12.6,20.0
Jacob Markstrom,7600,VAN,CHI,18.8,13.6
Alex Stalock,7500,MIN,SJ,14.7,-9.6
Carter Hart,7500,PHI,MON,16.9,21.6
Joonas Korpisalo,7500,CLS,ARI,14.9,28.0
Corey Crawford,7400,CHI,VAN,17.8,32.8
Martin Jones,7400,SJ,MIN,17.1,8.8
Pavel Francouz,7400,COL,NSH,16.7,12.0
Anders Nilsson,7300,OTT,LA,17.0,24.8
Jack Campbell,7300,LA,OTT,16.5,12.0
MacKenzie Blackwood,7300,NJ,CGY,14.3,6.4
