Player Name,Salary,Team,Opp,Proj FP,Actual FP
Matthew Murray,8900,PIT,DAL,20.6,21.6
John Gibson,8700,ANH,CAR,18.7,0.0
Sergei Bobrovsky,8600,FLA,COL,18.4,8.8
Philipp Grubauer,8100,COL,FLA,16.0,28.0
Mikko Koskinen,7900,EDM,DET,19.9,28.0
Braden Holtby,7900,WAS,NYR,20.5,24.8
Anton Khudobin,7700,DAL,PIT,16.6,11.2
Petr Mrazek,7600,CAR,ANH,17.0,-8.8
Robin Lehner,7500,CHI,CLS,19.4,33.6
Henrik Lundqvist,7500,NYR,WAS,13.6,7.2
Jonathan Bernier,7200,DET,EDM,13.2,20.0
Elvis Merzlikins,7000,CLS,CHI,14.0,12.0
