Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Connor McDavid,1,,C,9400,EDM,DET,1,L1,P1,3.73,22.3,22.4,22.4,2.6,2.6,2.6,26.8,27.3,27.3,12.4,42.2,19.2,2.0,6.4,0.7
Sidney Crosby,2,,C,8800,PIT,DAL,1,L1,P1,2.92,21.9,21.3,21.3,3.4,2.9,2.9,23.9,21.5,21.5,16.0,27.0,16.1,1.8,4.8,0.5
Leon Draisaitl,2,,W,8700,EDM,DET,1,L1,P1,3.73,23.5,24.3,24.3,3.6,4.0,4.0,26.6,27.6,27.6,16.8,38.3,16.4,1.9,11.2,1.3
Nathan MacKinnon,2,,C,8600,COL,@FLA,1,L1,P1,3.09,21.9,21.6,21.6,3.4,4.0,4.0,21.3,21.5,21.5,17.2,25.9,18.6,2.2,20.0,2.3
Alexander Ovechkin,5,,W,8500,WAS,NYR,1,L1,P1,3.81,20.8,21.4,21.4,3.6,4.0,4.0,21.4,17.7,17.7,8.8,26.6,17.0,2.0,20.8,2.4
Patrick Kane,1,,W,8300,CHI,CLS,3,L2,P1,3.43,20.4,20.4,20.4,2.0,2.0,2.0,15.3,15.3,15.3,3.3,27.3,17.5,2.1,30.9,3.7
Evgeni Malkin,,,C,8000,PIT,DAL,12,,,2.92,14.1,14.1,14.1,2.0,2.0,2.0,9.4,9.4,9.4,-3.9,22.8,0.0,0.0,0.0,0.0
Mikko Rantanen,2,,W,7900,COL,@FLA,1,L1,P1,3.09,20.9,20.5,20.5,2.6,3.0,3.0,20.0,22.4,22.4,12.4,32.3,16.1,2.0,4.8,0.6
Artemi Panarin,,,W,7800,NYR,@WAS,0,L1,P1,2.69,20.6,20.6,20.6,2.8,2.8,2.8,14.7,14.7,14.7,4.8,24.5,13.9,1.8,15.2,1.9
Evgeny Kuznetsov,2,,C,7700,WAS,NYR,1,L2,P1,3.81,16.5,16.5,16.5,3.0,3.0,3.0,17.5,17.5,17.5,15.3,19.7,13.1,1.7,3.2,0.4
Tyler Seguin,1,,C,7600,DAL,@PIT,1,L1,P1,2.58,21.0,21.0,21.0,3.6,3.3,3.3,12.0,10.6,10.6,1.5,19.7,16.8,2.2,3.2,0.4
Mika Zibanejad,4,,C,7600,NYR,@WAS,0,L1,P1,2.69,22.8,22.8,22.8,4.5,4.5,4.5,30.6,30.6,30.6,4.4,56.8,14.8,1.9,18.1,2.4
Jake Guentzel,4,,W,7600,PIT,DAL,1,L1,P1,2.92,22.5,21.4,21.4,3.4,3.1,3.1,19.9,16.5,16.5,7.3,25.7,15.1,2.0,16.0,2.1
