Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Carey Price,,,G,8600,MON,OTT,1,74%,2.46,49.0,67.3,67.3,0.903,0.903,13.8,15.3,15.3,0.8,29.9,22.1,2.6,3.2,0.4
James Reimer,,,G,8300,CAR,@CHI,1,62%,2.65,61.6,61.6,61.6,0.915,0.915,22.4,22.4,22.4,17.0,27.8,18.4,2.2,3.2,0.4
Anton Khudobin,,,G,8100,DAL,@CLS,1,54%,2.66,43.2,46.0,46.0,0.922,0.922,10.2,16.4,16.4,-2.6,35.4,19.5,2.4,0.8,0.1
Frederik Andersen,,,G,8100,TOR,VAN,4,61%,2.91,59.5,63.0,63.0,0.892,0.892,16.0,15.4,15.4,3.6,27.2,19.7,2.4,12.8,1.6
Jacob Markstrom,,,G,8000,CGY,@WPG,1,55%,2.62,60.2,60.3,60.3,0.924,0.924,20.5,22.3,22.3,3.0,41.6,19.2,2.4,6.4,0.8
Vitek Vanecek,,,G,7800,WAS,@NYR,2,49%,3.27,60.8,54.5,54.5,0.913,0.913,22.7,18.3,18.3,5.3,31.3,15.8,2.0,9.6,1.2
Connor Hellebuyck,,,G,7700,WPG,CGY,1,45%,2.88,60.7,60.5,60.5,0.907,0.907,16.5,17.3,17.3,10.3,24.2,18.6,2.4,26.4,3.4
Thatcher Demko,,,G,7700,VAN,@TOR,1,39%,3.59,47.4,51.6,51.6,0.909,0.909,22.1,16.1,16.1,-0.3,32.5,14.3,1.9,-4.0,-0.5
Jordan Binnington,,,G,7600,STL,ARI,1,62%,2.44,62.0,67.2,67.2,0.913,0.913,25.3,20.6,20.6,9.4,31.8,19.7,2.6,8.8,1.2
Antti Raanta,,,G,7300,ARI,@STL,1,38%,3.06,29.9,29.9,29.9,0.912,0.912,12.4,12.4,12.4,-5.1,29.9,15.9,2.2,32.0,4.4
Sergei Bobrovsky,,,G,7300,FLA,NSH,3,50%,2.99,62.7,62.7,62.7,0.892,0.892,19.7,19.7,19.7,15.3,24.1,18.0,2.5,4.0,0.5
Igor Shesterkin,,,G,7300,NYR,WAS,2,51%,3.23,52.6,53.9,53.9,0.906,0.906,13.1,12.1,12.1,1.6,22.7,18.5,2.5,28.8,3.9
Kevin Lankinen,,,G,7200,CHI,CAR,1,38%,3.35,61.7,61.5,61.5,0.934,0.934,23.4,21.0,21.0,8.5,33.6,15.8,2.2,20.0,2.8
Joonas Korpisalo,,,G,7200,CLS,DAL,1,46%,2.84,55.9,56.4,56.4,0.918,0.918,17.0,17.1,17.1,2.7,31.4,16.8,2.3,20.0,2.8
Juuse Saros,,,G,7000,NSH,@FLA,2,50%,3.01,56.1,56.8,56.8,0.901,0.901,12.2,15.3,15.3,-4.8,35.5,17.2,2.5,-4.8,-0.7
Matthew Murray,,,G,6600,OTT,@MON,1,26%,4.04,45.9,49.8,49.8,0.849,0.849,-1.4,3.8,3.8,-5.9,13.5,12.0,1.8,32.8,5.0
