Player Name,Salary,Team,Opp,Proj FP,Actual FP
Carey Price,8600,MON,OTT,22.1,3.2
James Reimer,8300,CAR,CHI,18.4,3.2
Anton Khudobin,8100,DAL,CLS,19.5,0.8
Frederik Andersen,8100,TOR,VAN,19.7,12.8
Jacob Markstrom,8000,CGY,WPG,19.2,6.4
Vitek Vanecek,7800,WAS,NYR,15.8,9.6
Connor Hellebuyck,7700,WPG,CGY,18.6,26.4
Thatcher Demko,7700,VAN,TOR,14.3,-4.0
Jordan Binnington,7600,STL,ARI,19.7,8.8
Antti Raanta,7300,ARI,STL,15.9,32.0
Sergei Bobrovsky,7300,FLA,NSH,18.0,4.0
Igor Shesterkin,7300,NYR,WAS,18.5,28.8
Kevin Lankinen,7200,CHI,CAR,15.8,20.0
Joonas Korpisalo,7200,CLS,DAL,16.8,20.0
Juuse Saros,7000,NSH,FLA,17.2,-4.8
Matthew Murray,6600,OTT,MON,12.0,32.8
