Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Auston Matthews,,,C,8700,TOR,VAN,4,L1,P1,3.59,21.5,20.3,20.3,3.6,4.3,4.3,21.5,20.3,20.3,14.0,26.5,16.0,1.8,35.2,4.0
Alexander Ovechkin,,,W,8400,WAS,@NYR,2,L1,P1,3.23,18.9,19.0,19.0,3.6,3.5,3.5,16.5,17.6,17.6,6.4,28.8,14.8,1.8,24.8,3.0
Patrick Kane,,,W,8100,CHI,CAR,1,L1,P1,2.65,24.0,21.0,21.0,3.4,3.2,3.2,14.2,15.8,15.8,7.7,24.0,14.0,1.7,42.9,5.3
Johnny Gaudreau,,,W,7800,CGY,@WPG,1,L2,P1,2.88,19.3,19.2,19.2,2.4,2.4,2.4,16.9,16.7,16.7,11.6,21.8,11.1,1.4,1.6,0.2
Artemi Panarin,,,W,7800,NYR,WAS,2,L2,P1,3.27,21.7,21.7,21.7,2.6,2.8,2.8,18.0,17.7,17.7,6.8,28.5,13.3,1.7,32.0,4.1
Sebastian Aho,,,C,7600,CAR,@CHI,1,L1,P1,3.35,20.2,20.0,20.0,2.2,2.1,2.1,13.4,11.8,11.8,2.9,20.8,8.6,1.1,26.4,3.5
Mitchell Marner,,,W,7600,TOR,VAN,4,L1,P1,3.59,22.2,21.7,21.7,2.8,2.2,2.2,20.1,17.8,17.8,6.4,29.1,12.6,1.7,36.0,4.7
Patrik Laine,,,W,7400,CLS,DAL,1,L1,P1,2.66,18.6,18.6,18.6,2.5,2.5,2.5,21.1,21.1,21.1,-4.2,46.3,12.1,1.6,13.6,1.8
John Tavares,,,C,7400,TOR,VAN,4,L2,P2,3.59,19.2,16.9,16.9,2.0,2.8,2.8,11.2,14.9,14.9,3.0,26.7,11.9,1.6,18.4,2.5
Mark Scheifele,,,C,7300,WPG,CGY,1,L1,P1,2.62,22.0,22.8,22.8,1.8,2.7,2.7,13.8,17.8,17.8,8.7,26.9,11.9,1.6,15.2,2.1
Jamie Benn,,,W,7300,DAL,@CLS,1,L1,P2,2.84,15.2,15.2,15.2,2.7,2.7,2.7,21.3,21.3,21.3,6.7,36.0,9.2,1.3,18.4,2.5
Kyle Connor,,,W,7200,WPG,CGY,1,L2,P1,2.62,19.9,20.0,20.0,2.6,2.6,2.6,10.1,16.2,16.2,3.9,28.5,12.6,1.8,15.2,2.1
Brock Boeser,,,W,7200,VAN,@TOR,1,L1,P1,2.91,18.8,18.4,18.4,3.8,2.8,2.8,19.3,14.6,14.6,-0.4,29.6,10.6,1.5,11.2,1.6
Jonathan Huberdeau,,,W,7200,FLA,NSH,3,L2,P1,3.01,17.1,16.6,16.6,1.2,1.2,1.2,9.0,12.6,12.6,1.9,23.2,11.8,1.6,57.8,8.0
Filip Forsberg,,,W,7200,NSH,@FLA,2,L1,P1,2.99,20.3,19.4,19.4,4.0,3.4,3.4,12.5,13.6,13.6,5.7,21.5,10.7,1.5,61.3,8.5
John Carlson,,,D,7200,WAS,@NYR,2,D1,P1,3.23,25.0,24.8,24.8,3.0,2.9,2.9,21.0,17.2,17.2,6.3,28.1,12.4,1.7,8.0,1.1
Brendan Gallagher,,,W,7200,MON,OTT,1,L1,P2,4.04,14.9,14.2,14.2,4.0,4.0,4.0,15.0,13.7,13.7,5.2,22.1,10.5,1.5,20.0,2.8
Aleksander Barkov,,,C,7100,FLA,NSH,3,L1,P1,3.01,22.2,22.1,22.1,4.0,3.8,3.8,18.1,17.8,17.8,7.8,27.9,11.8,1.7,25.8,3.6
Andrei Svechnikov,,,W,7000,CAR,@CHI,1,L1,P1,3.35,17.9,17.9,17.9,4.0,3.6,3.6,15.7,17.0,17.0,9.3,24.7,11.1,1.6,24.8,3.5
Joe Pavelski,,,C,6900,DAL,@CLS,1,L1,P1,2.84,19.7,19.8,19.8,2.6,2.7,2.7,20.1,26.1,26.1,7.7,44.6,8.1,1.2,14.4,2.1
J.T. Miller,,,W,6800,VAN,@TOR,1,L1,P1,2.91,20.0,19.2,19.2,2.0,1.6,1.6,15.7,13.1,13.1,0.8,25.4,11.1,1.6,25.3,3.7
Nicklas Backstrom,,,C,6800,WAS,@NYR,2,L1,P1,3.23,19.6,19.7,19.7,3.0,2.6,2.6,21.3,18.1,18.1,7.5,28.8,10.5,1.5,9.6,1.4
Mika Zibanejad,1,,C,6800,NYR,WAS,2,L1,P1,3.27,20.9,20.5,20.5,3.2,3.3,3.3,6.1,8.1,8.1,4.0,12.3,14.2,2.1,11.2,1.6
