Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Connor McDavid,C,8900,EDM,LA,1,19.2,13.3
Alexander Ovechkin,W,8700,WAS,ANH,1,17.0,8.0
Evgeni Malkin,C,8500,PIT,ARI,1,15.4,15.2
Leon Draisaitl,W,8500,EDM,LA,2,16.4,25.8
Patrick Kane,W,8400,CHI,NJ,2,17.5,18.1
Jake Guentzel,W,8100,PIT,ARI,1,15.1,11.2
Artemi Panarin,W,8100,NYR,MON,1,13.9,1.6
Evgeny Kuznetsov,C,7600,WAS,ANH,1,13.1,20.5
Brendan Gallagher,W,7500,MON,NYR,1,12.6,20.0
John Carlson,D,7500,WAS,ANH,15,13.8,18.1
Taylor Hall,W,7300,NJ,CHI,2,16.5,23.7
Mika Zibanejad,C,7300,NYR,MON,2,14.8,6.4
Anze Kopitar,C,7200,LA,EDM,1,13.1,1.6
T.J. Oshie,W,6900,WAS,ANH,2,10.8,0.0
Shea Weber,D,6800,MON,NYR,20,12.2,11.2
Kris Letang,D,6600,PIT,ARI,21,13.3,8.0
Phil Kessel,W,6500,ARI,PIT,3,14.0,4.8
Kyle Palmieri,W,6400,NJ,CHI,1,12.4,0.0
Ryan Getzlaf,C,6400,ANH,WAS,1,11.5,21.6
Jakob Silfverberg,W,6200,ANH,WAS,2,10.9,3.2
Tomas Tatar,W,6100,MON,NYR,1,10.7,14.4
Jonathan Toews,C,6000,CHI,NJ,1,13.9,0.0
Oscar Klefbom,D,5900,EDM,LA,30,11.7,11.2
Jakub Vrana,W,5900,WAS,ANH,2,9.9,28.5
Rickard Rakell,W,5900,ANH,WAS,2,13.4,6.4
Max Domi,C,5800,MON,NYR,2,11.9,6.4
Dustin Brown,W,5700,LA,EDM,1,10.0,9.6
Alex DeBrincat,W,5700,CHI,NJ,2,14.1,22.1
James Neal,W,5600,EDM,LA,1,10.3,13.3
Drew Doughty,D,5600,LA,EDM,37,11.5,17.6
Nico Hischier,C,5600,NJ,CHI,1,12.1,0.0
Clayton Keller,W,5400,ARI,PIT,1,12.1,8.0
Pavel Buchnevich,W,5400,NYR,MON,3,10.3,0.0
Phillip Danault,C,5400,MON,NYR,1,9.4,14.4
Brandon Saad,W,5300,CHI,NJ,1,10.1,3.2
Kaapo Kakko,W,5200,NYR,MON,2,12.5,1.6
Jeff Carter,W,5200,LA,EDM,2,11.2,9.6
Bryan Rust,W,5200,PIT,ARI,1,9.0,3.2
Cam Fowler,D,5100,ANH,WAS,47,8.7,4.8
Chris Kreider,W,5100,NYR,MON,1,11.3,4.8
Dylan Strome,C,5000,CHI,NJ,2,11.3,16.5
Ryan Strome,C,5000,NYR,MON,1,7.8,4.8
Jacob Trouba,D,5000,NYR,MON,51,13.2,8.0
Alex Goligoski,D,4900,ARI,PIT,52,8.5,3.2
Lars Eller,C,4900,WAS,ANH,2,8.4,6.4
Nick Schmaltz,W,4800,ARI,PIT,2,10.1,1.6
Derek Stepan,C,4800,ARI,PIT,1,10.9,3.2
Jared McCann,C,4700,PIT,ARI,2,9.8,3.2
Tom Wilson,W,4700,WAS,ANH,1,10.4,6.4
Jeff Petry,D,4700,MON,NYR,59,9.9,4.8
Christian Dvorak,C,4600,ARI,PIT,2,8.3,3.2
Oliver Ekman-Larsson,D,4600,ARI,PIT,61,10.3,4.8
Blake Coleman,W,4600,NJ,CHI,3,9.3,8.0
Joel Armia,W,4500,MON,NYR,3,8.4,4.8
Justin Schultz,D,4500,PIT,ARI,65,9.4,1.6
Sami Vatanen,D,4500,NJ,CHI,66,9.6,21.3
Erik Gustafsson,D,4400,CHI,NJ,67,11.9,3.2
Filip Chytil,C,4400,NYR,MON,3,7.9,4.8
Adam Henrique,C,4400,ANH,WAS,3,9.2,23.2
Alex Iafallo,W,4400,LA,EDM,1,8.0,8.0
Jesperi Kotkaniemi,C,4300,MON,NYR,3,0.0,0.0
Hampus Lindholm,D,4300,ANH,WAS,73,9.5,4.8
Tyler Toffoli,W,4300,LA,EDM,2,10.4,0.0
Dmitry Orlov,D,4300,WAS,ANH,75,7.6,11.2
Artturi Lehkonen,W,4200,MON,NYR,3,8.9,1.6
Dominik Kahun,W,4200,PIT,ARI,2,8.6,1.6
Sean Walker,D,4100,LA,EDM,81,4.8,4.8
P.K. Subban,D,4100,NJ,CHI,83,11.7,8.0
Sam Steel,C,4100,ANH,WAS,2,8.0,3.2
Adam Fox,D,4000,NYR,MON,87,6.9,8.0
Adrian Kempe,C,4000,LA,EDM,3,7.4,0.0
Darnell Nurse,D,4000,EDM,LA,89,11.3,4.8
Lawson Crouse,W,3900,ARI,PIT,3,6.7,3.2
Nikita Gusev,W,3900,NJ,CHI,3,12.5,10.1
Ondrej Kase,W,3900,ANH,WAS,3,12.8,9.6
Carl Soderberg,C,3900,ARI,PIT,3,8.6,1.6
Brandon Tanev,W,3900,PIT,ARI,3,7.6,20.4
Nick Suzuki,W,3800,MON,NYR,2,9.2,8.0
Brent Seabrook,D,3800,CHI,NJ,102,8.8,3.2
Blake Lizotte,C,3800,LA,EDM,3,5.8,1.6
Brendan Lemieux,W,3700,NYR,MON,2,5.9,1.6
Jakob Chychrun,D,3700,ARI,PIT,107,10.0,11.2
Conor Garland,W,3700,ARI,PIT,2,8.8,4.8
Vincent Hinostroza,W,3700,ARI,PIT,1,9.8,6.4
Travis Zajac,C,3600,NJ,CHI,3,7.3,3.2
Sam Gagner,W,3600,EDM,LA,2,7.8,3.2
Ethan Bear,D,3600,EDM,LA,120,6.2,1.6
Alex Chiasson,W,3600,EDM,LA,3,7.5,25.8
Alexander Nylander,W,3600,CHI,NJ,1,5.9,0.0
Jesper Bratt,W,3600,NJ,CHI,2,10.2,4.8
Marcus Pettersson,D,3600,PIT,ARI,129,6.9,3.2
Jesper Fast,W,3400,NYR,MON,3,6.8,3.2
Dominik Kubalik,W,3400,CHI,NJ,3,8.8,1.6
Richard Panik,W,3400,WAS,ANH,3,8.7,0.0
Nick Ritchie,W,3400,ANH,WAS,3,8.4,0.0
Theodor Blueger,C,3400,PIT,ARI,3,5.8,14.8
Jujhar Khaira,W,3300,EDM,LA,2,6.2,1.6
Travis Boyd,W,3300,WAS,ANH,3,4.8,16.8
Riley Sheahan,C,3300,EDM,LA,3,6.5,1.6
Troy Terry,W,3300,ANH,WAS,1,8.1,8.0
Stefan Noesen,W,3300,PIT,ARI,2,12.8,1.6
Nick Cousins,W,3200,MON,NYR,2,7.2,14.4
Pavel Zacha,C,3200,NJ,CHI,2,7.9,4.8
Carl Hagelin,W,3200,WAS,ANH,3,6.8,11.2
David Kampf,C,3100,CHI,NJ,3,5.8,0.0
Josh Archibald,W,3100,EDM,LA,1,6.4,3.2
Devin Shore,W,3100,ANH,WAS,1,7.4,4.8
Jesper Boqvist,W,3100,NJ,CHI,1,4.5,0.0
Anton Wedin,W,3000,CHI,NJ,3,6.2,1.6
Joakim Nygard,W,3000,EDM,LA,3,8.2,0.0
Austin Wagner,W,3000,LA,EDM,3,5.9,4.8
