Player Name,Salary,Team,Opp,Proj FP,Actual FP
Jake Allen,8600,MON,VAN,19.0,28.8
Philipp Grubauer,8500,COL,MIN,21.0,29.6
James Reimer,8300,CAR,CHI,17.5,24.0
Jake Oettinger,8100,DAL,CLS,18.0,18.4
David Rittich,8000,CGY,WPG,16.9,8.0
Laurent Brossoit,7900,WPG,CGY,15.8,27.2
Cameron Talbot,7800,MIN,COL,15.2,15.2
Thatcher Demko,7700,VAN,MON,14.3,6.4
Semyon Varlamov,7700,NYI,BUF,21.0,0.0
Darcy Kuemper,7600,ARI,STL,17.0,6.4
Jordan Binnington,7600,STL,ARI,19.0,24.0
Mikko Koskinen,7400,EDM,OTT,20.8,22.4
Kevin Lankinen,7200,CHI,CAR,13.9,18.4
Joonas Korpisalo,7200,CLS,DAL,17.9,-5.6
Linus Ullmark,7000,BUF,NYI,18.2,0.0
Cal Petersen,6900,LA,ANH,18.3,24.0
John Gibson,6800,ANH,LA,18.6,24.0
Marcus Hogberg,6600,OTT,EDM,14.1,0.8
