Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Braden Holtby,,,G,8500,WAS,@BOS,0,47%,3.10,61.8,57.4,57.4,0.903,0.903,27.0,17.9,17.9,4.3,31.5,16.5,1.9,20.8,2.4
Jordan Binnington,,,G,8300,STL,ANH,0,62%,2.44,62.2,61.2,61.2,0.921,0.921,25.1,20.1,20.1,10.1,30.2,19.5,2.3,4.8,0.6
Pekka Rinne,,,G,8300,NSH,CHI,3,64%,2.81,53.8,57.7,57.7,0.907,0.907,9.9,18.7,18.7,2.3,35.2,19.7,2.4,-8.0,-1.0
Jaroslav Halak,,,G,8200,BOS,WAS,0,53%,2.90,61.6,60.9,60.9,0.918,0.918,17.9,21.6,21.6,7.2,36.0,16.4,2.0,25.6,3.1
Martin Jones,,,G,8100,SJ,DET,1,67%,2.72,60.8,56.3,56.3,0.888,0.888,19.0,12.5,12.5,0.9,24.1,18.7,2.3,20.0,2.5
Thomas Greiss,,,G,8100,NYI,@PHI,2,51%,2.74,59.9,56.7,56.7,0.942,0.942,31.4,25.2,25.2,13.5,37.0,19.3,2.4,22.4,2.8
Thatcher Demko,,,G,7900,VAN,COL,1,56%,3.04,59.4,60.3,60.3,0.931,0.931,21.0,23.0,23.0,16.3,29.6,18.2,2.3,-5.6,-0.7
John Gibson,,,G,7900,ANH,@STL,1,38%,3.06,60.0,58.1,58.1,0.911,0.911,13.9,16.7,16.7,1.8,31.7,16.7,2.1,37.6,4.8
Henrik Lundqvist,,,G,7800,NYR,@FLA,1,35%,3.71,51.6,55.3,55.3,0.909,0.909,16.3,17.4,17.4,1.9,32.9,14.2,1.8,4.8,0.6
Sergei Bobrovsky,,,G,7800,FLA,NYR,1,65%,2.79,55.1,53.6,53.6,0.880,0.880,12.3,11.0,11.0,-2.2,24.1,20.8,2.7,24.0,3.1
Tristan Jarry,,,G,7700,PIT,TOR,0,55%,3.09,53.1,53.1,53.1,0.929,0.929,16.0,16.0,16.0,4.8,27.2,6.5,0.8,33.6,4.4
Robin Lehner,,,G,7600,CHI,@NSH,2,36%,3.69,48.7,55.0,55.0,0.934,0.934,22.4,21.8,21.8,7.3,36.2,14.6,1.9,35.2,4.6
Linus Ullmark,,,G,7500,BUF,OTT,1,64%,2.81,59.5,60.5,60.5,0.915,0.915,18.4,20.7,20.7,1.8,39.5,20.7,2.8,20.8,2.8
Keith Kinkaid,,,G,7400,MON,NJ,0,60%,2.93,59.8,59.8,59.8,0.879,0.879,11.7,11.7,11.7,3.9,19.6,18.5,2.5,15.2,2.1
Brian Elliott,,,G,7300,PHI,NYI,0,49%,2.76,51.5,50.9,50.9,0.909,0.909,12.6,15.2,15.2,0.9,29.5,17.9,2.5,14.4,2.0
MacKenzie Blackwood,,,G,7200,NJ,@MON,0,40%,3.57,60.8,58.0,58.0,0.903,0.903,23.0,15.5,15.5,-1.5,32.5,14.1,2.0,24.8,3.4
Antoine Bibeau,,,G,7000,COL,@VAN,1,43%,3.46,31.4,31.4,31.4,0.900,0.900,3.2,3.2,3.2,3.2,3.2,0.0,0.0,18.4,2.6
Jimmy Howard,,,G,7000,DET,@SJ,1,33%,3.78,46.4,52.6,52.6,0.887,0.887,6.7,10.4,10.4,-3.1,23.9,12.8,1.8,0.8,0.1
Craig Anderson,,,G,7000,OTT,@BUF,0,36%,3.69,53.4,54.0,54.0,0.893,0.893,12.0,11.3,11.3,0.9,21.7,14.3,2.0,10.4,1.5
