Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,8,,PF,11600,MIL,POR,1,122,34,27,102,113,1%,23,18,19,39,38,33,57.5,52.6,40.5,64.8,35.5,58.0,5.0,25.8,33.8,2.9
Luka Doncic,5,,PG,10700,DAL,PHO,1,110,37,27,99,106,-9%,20,21,21,33,34,35,51.6,53.3,37.6,69.0,34.5,52.7,4.9,38.3,51.0,4.8
Karl-Anthony Towns,,O,C,10500,MIN,@CLE,18,109,27,27,100,107,-7%,17,16,16,36,33,33,50.6,50.6,48.6,52.6,0.0,0.0,0.0,,0.0,0.0
LeBron James,5,,SF,10400,LAL,@ATL,1,113,33,24,102,107,-6%,18,20,19,37,36,33,48.9,45.9,36.3,55.5,35.0,48.1,4.6,38,49.9,4.8
Trae Young,2,,PG,10400,ATL,LAL,2,106,35,24,102,103,-10%,20,22,18,39,38,34,53.0,43.6,31.3,55.9,34.5,40.6,3.9,38.5,52.8,5.1
Anthony Davis,4,,PF,10300,LAL,@ATL,1,113,27,25,102,107,3%,22,20,17,35,34,33,48.6,47.2,37.5,56.9,34.5,49.4,4.8,35.9,37.4,3.6
Damian Lillard,7,,PG,10000,POR,@MIL,1,113,32,26,104,109,-1%,25,22,20,37,37,36,51.5,46.3,34.1,58.6,37.5,49.6,5.0,27.4,37.1,3.7
Bam Adebayo,5,,PF,9100,MIA,CHA,1,112,25,23,102,108,22%,14,16,13,35,35,33,45.0,41.1,30.8,51.4,34.5,43.2,4.7,38.9,44.8,4.9
Zach LaVine,,,SG,9000,CHI,NYK,1,111,29,21,98,107,-10%,16,16,18,35,36,36,43.8,43.7,32.7,54.8,36.0,42.5,4.7,32.2,33.5,3.7
Christian Wood,5,,PF,8900,HOU,@OKC,1,115,25,24,103,110,8%,13,16,17,30,33,33,45.6,43.6,34.8,52.4,32.5,44.2,5.0,26,41.7,4.7
Andre Drummond,2,O,C,8800,CLE,MIN,0,112,31,22,104,111,18%,13,16,16,28,26,30,44.5,46.3,30.2,62.4,0.0,0.0,0.0,,0.0,0.0
Julius Randle,6,,PF,8800,NYK,@CHI,0,108,28,21,106,112,-3%,16,16,17,35,35,37,41.7,44.1,35.6,52.5,35.5,42.1,4.8,39.2,47.7,5.4
Clint Capela,2,,C,8800,ATL,LAL,2,106,19,23,102,103,-5%,12,13,11,30,33,30,52.7,40.7,24.0,57.4,32.5,40.6,4.6,30.1,43.1,4.9
