"C","C","W","W","D","D","UTIL","UTIL","G","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","54438-64102:Connor McDavid","54438-64102","C","Connor","Connor McDavid","McDavid","25.71538367638221","13","8900","EDM@OTT","EDM","OTT","","","","",""
"","","","","","","","","","","54438-70899:Auston Matthews","54438-70899","C","Auston","Auston Matthews","Matthews","22.681818181818183","11","8800","VAN@TOR","TOR","VAN","","","","",""
"","","","","","","","","","","54438-54565:Andrei Vasilevskiy","54438-54565","G","Andrei","Andrei Vasilevskiy","Vasilevskiy","22.311111450195312","9","8700","TB@NSH","TB","NSH","","","","",""
"","","","","","","","","","","54438-58331:Leon Draisaitl","54438-58331","C","Leon","Leon Draisaitl","Draisaitl","21.853846623347355","13","8600","EDM@OTT","EDM","OTT","","","","",""
"","","","","","","","","","","54438-8193:Tuukka Rask","54438-8193","G","Tuukka","Tuukka Rask","Rask","16","7","8400","BUF@BOS","BOS","BUF","","","","",""
"","","","","","","","","","","54438-8453:Jaroslav Halak","54438-8453","G","Jaroslav","Jaroslav Halak","Halak","18.799999237060547","4","8400","BUF@BOS","BOS","BUF","","","","",""
"","","","","","","","","","","54438-8175:Patrice Bergeron","54438-8175","C","Patrice","Patrice Bergeron","Bergeron","20.80909035422585","11","8400","BUF@BOS","BOS","BUF","","","","",""
"","","","","","","","","","","54438-15400:Petr Mrazek","54438-15400","G","Petr","Petr Mrazek","Mrazek","19.600000381469727","4","8300","CAR@CBJ","CAR","CBJ","O","Thumb","","",""
"","","","","","","","","","","54438-8233:Curtis McElhinney","54438-8233","G","Curtis","Curtis McElhinney","McElhinney","16.400000678168404","18","8300","TB@NSH","TB","NSH","","","","",""
"","","","","","","","","","","54438-59218:David Pastrnak","54438-59218","W","David","David Pastrnak","Pastrnak","30.975000381469727","4","8300","BUF@BOS","BOS","BUF","","","","",""
"","","","","","","","","","","54438-59226:Alex Nedeljkovic","54438-59226","G","Alex","Alex Nedeljkovic","Nedeljkovic","9.199999809265137","4","8300","CAR@CBJ","CAR","CBJ","","","","",""
"","","","","","","","","","","54438-9052:James Reimer","54438-9052","G","James","James Reimer","Reimer","16.400000254313152","6","8300","CAR@CBJ","CAR","CBJ","","","","",""
"","","","","","","","","","","54438-11294:Michael Hutchinson","54438-11294","G","Michael","Michael Hutchinson","Hutchinson","11.5","16","8100","VAN@TOR","TOR","VAN","","","","",""
"","","","","","","","","","","54438-66683:Mitchell Marner","54438-66683","W","Mitchell","Mitchell Marner","Marner","20.291666666666668","12","8100","VAN@TOR","TOR","VAN","","","","",""
"","","","","","","","","","","54438-12619:Jack Campbell","54438-12619","G","Jack","Jack Campbell","Campbell","23.200000762939453","2","8100","VAN@TOR","TOR","VAN","O","Leg","","",""
"","","","","","","","","","","54438-23072:Frederik Andersen","54438-23072","G","Frederik","Frederik Andersen","Andersen","16.560000610351562","10","8100","VAN@TOR","TOR","VAN","","","","",""
"","","","","","","","","","","54438-62493:Artemi Panarin","54438-62493","W","Artemi","Artemi Panarin","Panarin","19.1","10","8000","NYI@NYR","NYR","NYI","","","","",""
