Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,9100,BOS,TB,16.3,14.4
Marc-Andre Fleury,8900,VGK,OTT,20.7,33.6
Andrei Vasilevskii,8700,TB,BOS,17.6,27.2
Carter Hutton,8500,BUF,LA,17.5,57.6
Jordan Binnington,8300,STL,VAN,20.0,11.2
David Rittich,8100,CGY,DET,20.3,29.6
Darcy Kuemper,8100,ARI,NSH,18.3,22.4
Carey Price,8000,MON,MIN,20.1,33.6
Connor Hellebuyck,7800,WPG,NYI,19.6,10.4
Alexander Georgiev,7700,NYR,NJ,17.1,10.4
Thatcher Demko,7600,VAN,STL,15.4,27.2
Semyon Varlamov,7500,NYI,WPG,16.8,33.6
Jack Campbell,7500,LA,BUF,17.5,4.8
Juuse Saros,7500,NSH,ARI,18.6,5.6
Alex Stalock,7300,MIN,MON,13.7,7.2
Jimmy Howard,7200,DET,CGY,13.5,4.8
Anders Nilsson,7100,OTT,VGK,12.2,33.6
MacKenzie Blackwood,7000,NJ,NYR,17.3,27.2
