Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Robert Covington,PF,MIN,vs GSW,3rd,106.75,5200,14.7,46.8,26.2,1.1,0.92,33.06,9.76,9.18,8.61,17.3,9.5,28.5,31.75,28.48,28.48,100,,65,5.5,Y,30,47.00,9
Nerlens Noel,PF,OKC,@ SAS,24th,107.50,5200,7.4,39.3,22.6,1.3,1.21,43.61,11.60,9.11,5.88,15.4,4.7,18.7,18.25,21.07,21.07,100,,60,4.1,,18,20.70,4
Bogdan Bogdanovic,SG,SAC,vs MEM,28th,114.25,5200,8.7,47.3,25.6,3.7,0.90,32.59,10.84,11.03,8.28,23.6,12.3,28.3,27.50,25.21,25.21,100,,57,4.8,,23,19.40,3.7
Montrezl Harrell,C,LAC,vs DET,22nd,117.75,5200,15.7,56.9,33.8,1.9,1.16,41.83,13.27,11.78,10.6,25.3,13.4,29.1,28.75,33.36,33.36,100,,65,6.4,,28,35.80,6.9
Lou Williams,SG,LAC,vs DET,27th,117.75,5200,20.8,54.8,31.5,6.3,1.04,37.50,10.63,9.72,9.82,28.0,15.1,30.2,33.25,35.40,35.40,100,,69,6.8,,30,34.50,6.6
Collin Sexton,PG,CLE,vs CHA,26th,107.00,5100,17.3,40.7,26.5,2.3,0.87,31.24,6.56,6.71,5.79,27.1,15.5,30.5,31.75,27.32,27.32,100,,75,5.4,Y,36,24.20,4.7
T.J. Warren,SF,IND,vs DEN,8th,103.75,5100,9.9,46.3,26.8,1.2,0.83,29.83,9.49,10.40,8.3,22.1,14.1,32.3,31.50,25.49,25.49,100,,61,5,Y,38,35.00,6.9
Aaron Holiday,PG,IND,vs DEN,10th,103.75,5100,10.9,49.4,20.5,3.2,0.88,31.58,12.36,11.00,11.07,21.2,9.2,23.4,32.25,27.42,27.42,100,,46,5.4,Y,22,19.00,3.7
Kris Dunn,PG,CHI,vs UTA,25th,102.75,5100,13.3,44.5,21.8,3.2,0.93,33.43,11.83,8.91,9.94,15.7,6.8,23.5,30.25,26.68,26.68,100,,59,5.2,Y,31,22.60,4.4
Taurean Prince,SF,BKN,@ DAL,20th,108.00,5100,11.9,46.4,25.4,2.1,0.83,30.00,9.19,9.88,8.11,19.7,11.8,30.5,31.75,26.68,26.68,100,,61,5.2,Y,28,21.20,4.2
