Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Matthew Murray,2,,G,8900,PIT,DAL,1,56%,2.58,60.8,60.3,60.3,0.914,0.914,20.3,20.0,20.0,8.2,31.8,20.6,2.3,21.6,2.4
John Gibson,1,,G,8700,ANH,CAR,1,47%,2.83,59.2,59.3,59.3,0.941,0.941,21.9,23.9,23.9,9.2,38.5,18.7,2.1,0.0,0.0
Sergei Bobrovsky,1,,G,8600,FLA,COL,3,55%,3.09,52.3,52.3,52.3,0.870,0.870,9.4,9.4,9.4,-3.2,22.1,18.4,2.1,8.8,1.0
Philipp Grubauer,1,,G,8100,COL,@FLA,1,45%,3.41,60.6,60.6,60.6,0.922,0.922,23.8,23.8,23.8,15.4,32.3,16.0,2.0,28.0,3.5
Mikko Koskinen,1,,G,7900,EDM,DET,1,65%,2.77,61.4,61.4,61.4,0.927,0.927,28.5,28.5,28.5,19.3,37.8,19.9,2.5,28.0,3.5
Braden Holtby,1,,G,7900,WAS,NYR,1,67%,2.69,50.6,50.6,50.6,0.846,0.846,3.8,3.8,3.8,-7.8,15.5,20.5,2.6,24.8,3.1
Anton Khudobin,1,,G,7700,DAL,@PIT,1,44%,2.92,58.5,58.5,58.5,0.877,0.877,6.0,6.0,6.0,4.3,7.7,16.6,2.2,11.2,1.5
Petr Mrazek,1,,G,7600,CAR,@ANH,1,53%,2.67,49.4,49.4,49.4,0.919,0.919,19.4,19.4,19.4,2.0,36.7,17.0,2.2,-8.8,-1.2
Robin Lehner,,,G,7500,CHI,CLS,3,56%,3.07,60.8,60.8,60.8,0.909,0.909,12.0,12.0,12.0,12.0,12.0,19.4,2.6,33.6,4.5
Henrik Lundqvist,,,G,7500,NYR,@WAS,0,33%,3.81,59.4,59.4,59.4,0.904,0.904,18.4,18.4,18.4,1.4,35.4,13.6,1.8,7.2,1.0
Jonathan Bernier,,,G,7200,DET,@EDM,0,35%,3.73,60.0,60.0,60.0,0.888,0.888,15.7,15.7,15.7,1.3,30.1,13.2,1.8,20.0,2.8
Elvis Merzlikins,,,G,7000,CLS,@CHI,1,44%,3.43,60.0,60.0,60.0,0.825,0.825,-1.6,-1.6,-1.6,-1.6,-1.6,14.0,2.0,12.0,1.7
