Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
David Pastrnak,W,9400,BOS,CAR,1,17.6,14.4
Alexander Ovechkin,W,9000,WAS,SJ,1,17.0,8.0
Nikita Kucherov,W,8500,TB,NSH,1,18.8,24.8
Auston Matthews,C,8400,TOR,PHI,1,18.1,4.8
Brad Marchand,W,8300,BOS,CAR,1,16.4,16.0
Aleksander Barkov,C,8000,FLA,MIN,1,16.4,18.9
Tyler Seguin,C,7900,DAL,WPG,1,16.8,8.0
Evgeny Kuznetsov,C,7800,WAS,SJ,1,13.1,3.2
Patrik Laine,W,7700,WPG,DAL,1,13.7,26.4
Brayden Point,C,7600,TB,NSH,1,14.8,3.2
Claude Giroux,W,7600,PHI,TOR,2,13.3,20.0
John Tavares,C,7600,TOR,PHI,2,16.9,9.6
Brock Boeser,W,7500,VAN,OTT,2,14.5,10.1
Logan Couture,C,7500,SJ,WAS,1,13.9,3.2
Steven Stamkos,C,7400,TB,NSH,2,15.9,27.2
Taylor Hall,W,7400,NJ,VGK,1,16.5,16.0
Jonathan Huberdeau,W,7400,FLA,MIN,1,14.4,26.9
Elias Pettersson,C,7400,VAN,OTT,2,14.6,18.9
Filip Forsberg,W,7300,NSH,TB,1,14.6,1.6
Mark Scheifele,C,7300,WPG,DAL,1,14.2,28.0
Evander Kane,W,7300,SJ,WAS,1,13.1,18.4
Mark Stone,W,7300,VGK,NJ,2,14.5,4.8
Sean Couturier,C,7200,PHI,TOR,1,14.9,3.2
Brendan Gallagher,W,7200,MON,NYI,1,12.6,31.2
John Carlson,D,7200,WAS,SJ,31,13.8,32.8
Sebastian Aho,C,7100,CAR,BOS,1,15.4,1.6
Erik Karlsson,D,7000,SJ,WAS,33,14.6,6.4
Teuvo Teravainen,W,6800,CAR,BOS,1,12.4,1.6
T.J. Oshie,W,6800,WAS,SJ,2,10.8,14.4
Blake Wheeler,C,6700,WPG,DAL,2,14.3,9.6
Mathew Barzal,C,6700,NYI,MON,1,13.0,13.6
David Krejci,C,6700,BOS,CAR,1,10.1,15.2
Jamie Benn,W,6600,DAL,WPG,1,13.0,3.2
Cam Atkinson,W,6600,CLS,ARI,1,13.1,17.6
Max Pacioretty,W,6600,VGK,NJ,2,12.0,8.0
