Player Name,Salary,Team,Opp,Proj FP,Actual FP
Frederik Andersen,8700,TOR,PHI,18.2,-1.6
Jaroslav Halak,8700,BOS,CAR,17.7,39.2
Andrei Vasilevskii,8600,TB,NSH,17.2,28.0
Braden Holtby,8600,WAS,SJ,16.7,22.4
Connor Hellebuyck,8400,WPG,DAL,18.9,29.6
Darcy Kuemper,8300,ARI,CLS,19.4,30.4
Anders Nilsson,8300,OTT,VAN,16.8,-7.2
Martin Jones,8200,SJ,WAS,14.1,-5.6
Malcolm Subban,8100,VGK,NJ,17.4,25.6
Carey Price,8000,MON,NYI,19.4,20.8
Anton Khudobin,7900,DAL,WPG,18.2,0.0
Thomas Greiss,7900,NYI,MON,18.2,16.8
Joonas Korpisalo,7800,CLS,ARI,18.4,7.2
Carter Hart,7700,PHI,TOR,15.8,29.6
Pekka Rinne,7600,NSH,TB,16.1,10.4
Chris Driedger,7300,FLA,MIN,15.5,5.6
James Reimer,7300,CAR,BOS,13.2,17.6
Kaapo Kahkonen,7200,MIN,FLA,11.9,39.2
Thatcher Demko,7200,VAN,OTT,19.8,36.0
MacKenzie Blackwood,7100,NJ,VGK,15.7,4.8
