Player Name,Salary,Team,Opp,Proj FP,Actual FP
Matthew Murray,8900,PIT,NYR,19.0,7.2
Tuukka Rask,8800,BOS,FLA,0.0,4.0
Pekka Rinne,8600,NSH,VAN,18.0,0.8
Carey Price,8600,MON,CLS,20.6,30.4
Jordan Binnington,8500,STL,ARI,19.2,8.0
Connor Hellebuyck,8300,WPG,COL,18.7,0.8
Sergei Bobrovsky,8200,FLA,BOS,15.6,-0.8
Mike Smith,8200,EDM,SJ,14.9,-8.8
Darcy Kuemper,8000,ARI,STL,16.3,30.4
Thatcher Demko,7900,VAN,NSH,16.8,27.2
Ryan Miller,7700,ANH,DET,20.8,9.6
Pavel Francouz,7600,COL,WPG,17.4,0.0
Alexander Georgiev,7500,NYR,PIT,16.0,28.0
Martin Jones,7400,SJ,EDM,16.1,16.8
Devan Dubnyk,7300,MIN,LA,17.1,17.6
Elvis Merzlikins,7200,CLS,MON,13.4,16.0
Jon Quick,7100,LA,MIN,16.2,29.6
Jonathan Bernier,7100,DET,ANH,15.3,19.2
