Player Name,Salary,Team,Opp,Proj FP,Actual FP
Ben Bishop,8700,DAL,BUF,18.5,-1.6
Sergei Bobrovsky,8700,FLA,NJ,18.2,9.6
John Gibson,8500,ANH,BOS,17.1,-0.8
Jordan Binnington,8400,STL,NYI,17.7,0.0
Carter Hutton,8400,BUF,DAL,19.2,40.0
Jaroslav Halak,8300,BOS,ANH,20.9,28.0
Philipp Grubauer,8200,COL,WAS,16.9,23.2
Braden Holtby,8000,WAS,COL,18.6,-12.0
Thomas Greiss,7700,NYI,STL,18.2,20.8
Alex Stalock,7200,MIN,OTT,16.6,40.8
Craig Anderson,7200,OTT,MIN,16.5,22.4
Cory Schneider,7100,NJ,FLA,17.3,-1.6
