Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Alexander Ovechkin,W,8700,WAS,COL,1,17.0,29.6
Nathan MacKinnon,C,8600,COL,WAS,1,18.6,24.8
Brad Marchand,W,8400,BOS,ANH,1,16.4,16.5
Jack Eichel,C,8400,BUF,DAL,1,17.5,16.5
David Pastrnak,W,7900,BOS,ANH,1,17.6,57.0
Mikko Rantanen,W,7900,COL,WAS,1,16.1,33.3
Tyler Seguin,C,7800,DAL,BUF,1,16.8,3.2
Jeff Skinner,W,7600,BUF,DAL,2,13.3,18.4
Aleksander Barkov,C,7500,FLA,NJ,1,16.4,18.1
Patrice Bergeron,C,7500,BOS,ANH,1,16.6,10.1
Vladimir Tarasenko,W,7400,STL,NYI,1,15.2,20.5
Evgeny Kuznetsov,C,7400,WAS,COL,2,13.1,20.8
Taylor Hall,W,7300,NJ,FLA,1,16.5,24.8
Gabriel Landeskog,W,7100,COL,WAS,1,14.7,19.7
Mike Hoffman,W,7100,FLA,NJ,1,12.5,9.6
Jamie Benn,W,7000,DAL,BUF,2,13.0,4.8
Jonathan Huberdeau,W,6900,FLA,NJ,2,14.4,18.4
Ryan O'Reilly,C,6800,STL,NYI,2,13.1,1.6
John Carlson,D,6600,WAS,COL,23,13.8,16.0
Alexander Radulov,W,6500,DAL,BUF,2,14.2,3.2
T.J. Oshie,W,6400,WAS,COL,2,10.8,15.2
Evgeni Dadonov,W,6400,FLA,NJ,3,12.4,23.7
Anders Lee,W,6400,NYI,STL,1,11.3,3.2
Victor Olofsson,W,6300,BUF,DAL,1,8.7,22.1
Joe Pavelski,W,6300,DAL,BUF,1,12.3,3.2
Ryan Getzlaf,C,6300,ANH,BOS,3,11.5,8.0
Brayden Schenn,C,6300,STL,NYI,1,11.5,25.3
Mathew Barzal,C,6200,NYI,STL,1,13.0,26.4
Kyle Palmieri,W,6200,NJ,FLA,1,12.4,3.2
Vincent Trocheck,C,6100,FLA,NJ,2,14.1,22.4
Nicklas Backstrom,C,6100,WAS,COL,1,12.0,6.4
Jakob Silfverberg,W,6000,ANH,BOS,2,10.9,3.2
Sam Reinhart,W,5900,BUF,DAL,1,11.9,18.4
Rasmus Dahlin,D,5900,BUF,DAL,38,11.1,13.3
Alex Pietrangelo,D,5800,STL,NYI,39,12.2,8.0
Zach Parise,W,5800,MIN,OTT,2,13.0,16.8
Eric Staal,C,5800,MIN,OTT,1,11.4,8.0
John Klingberg,D,5800,DAL,BUF,42,12.5,6.4
Keith Yandle,D,5700,FLA,NJ,43,10.8,9.6
Rickard Rakell,W,5700,ANH,BOS,2,13.4,18.4
David Perron,W,5700,STL,NYI,2,10.0,0.0
Brady Tkachuk,W,5700,OTT,MIN,1,13.0,1.6
Torey Krug,D,5700,BOS,ANH,47,12.0,17.0
Roope Hintz,C,5500,DAL,BUF,2,8.5,3.2
Jaden Schwartz,W,5500,STL,NYI,1,11.6,9.6
Ryan Suter,D,5400,MIN,OTT,51,9.3,3.2
David Krejci,C,5200,BOS,ANH,2,10.1,0.0
Jake DeBrusk,W,5200,BOS,ANH,2,11.2,3.2
Josh Bailey,W,5200,NYI,STL,2,9.6,4.8
Jason Zucker,W,5200,MIN,OTT,2,11.5,4.8
Brock Nelson,C,5200,NYI,STL,2,9.8,23.2
Thomas Chabot,D,5100,OTT,MIN,58,13.3,1.6
Nico Hischier,C,5100,NJ,FLA,1,12.1,1.6
Marcus Johansson,C,5000,BUF,DAL,2,9.0,13.6
Vladislav Namestnikov,W,5000,OTT,MIN,3,8.3,3.2
Nazem Kadri,C,5000,COL,WAS,2,11.0,33.3
P.K. Subban,D,5000,NJ,FLA,64,11.7,9.6
Mikko Koivu,C,4900,MIN,OTT,2,8.5,11.2
Cam Fowler,D,4800,ANH,BOS,67,8.7,12.8
Bobby Ryan,W,4800,OTT,MIN,2,9.1,6.4
Charles McAvoy,D,4800,BOS,ANH,69,10.3,9.6
Anthony Beauvillier,W,4800,NYI,STL,3,9.1,1.6
Jared Spurgeon,D,4800,MIN,OTT,71,10.4,1.6
Colin White,C,4700,OTT,MIN,1,9.7,1.6
Hampus Lindholm,D,4700,ANH,BOS,75,9.5,3.2
Adam Henrique,C,4600,ANH,BOS,2,9.2,26.4
Andre Burakovsky,W,4600,COL,WAS,2,7.8,17.6
Tom Wilson,W,4600,WAS,COL,1,10.4,9.6
Lars Eller,C,4600,WAS,COL,3,8.4,18.4
Jakub Vrana,W,4500,WAS,COL,2,9.9,1.6
Artem Anisimov,C,4500,OTT,MIN,3,8.0,0.0
Charlie Coyle,C,4500,BOS,ANH,3,9.3,0.0
Blake Coleman,W,4500,NJ,FLA,2,9.3,0.0
Cale Makar,D,4500,COL,WAS,85,9.0,9.6
Jack Hughes,C,4500,NJ,FLA,3,12.2,4.8
Rasmus Ristolainen,D,4400,BUF,DAL,87,11.5,12.8
Mathew Dumba,D,4400,MIN,OTT,88,12.7,9.6
Aaron Ekblad,D,4400,FLA,NJ,89,10.3,22.4
Tyler Bozak,C,4400,STL,NYI,3,8.5,0.0
Sam Steel,C,4300,ANH,BOS,1,0.0,1.6
Brett Connolly,W,4300,FLA,NJ,2,8.6,28.8
Devon Toews,D,4300,NYI,STL,93,7.8,16.8
Kevin Fiala,W,4300,MIN,OTT,1,10.1,3.2
Miro Heiskanen,D,4200,DAL,BUF,96,10.7,1.6
Esa Lindell,D,4100,DAL,BUF,97,9.5,1.6
Samuel Girard,D,4000,COL,WAS,99,7.9,8.0
Ondrej Kase,W,4000,ANH,BOS,1,12.8,3.2
Travis Zajac,C,4000,NJ,FLA,2,7.3,8.0
Ryan Pulock,D,4000,NYI,STL,103,11.3,11.2
Connor Brown,W,4000,OTT,MIN,3,6.7,3.2
Colin Miller,D,4000,BUF,DAL,106,9.4,3.2
Wayne Simmonds,W,4000,NJ,FLA,3,8.5,6.4
Dmitry Orlov,D,4000,WAS,COL,108,7.6,16.0
Casey Mittelstadt,C,3900,BUF,DAL,3,7.6,3.2
Derick Brassard,C,3900,NYI,STL,3,7.2,3.2
Tyson Jost,W,3900,COL,WAS,3,8.0,9.6
