Player Name,Pos,Salary,Team,Proj FP,Actual FP
Giannis Antetokounmpo,PF,11200,MIL,52.2,40.2
Brad Beal,SG,10100,WAS,49.8,65.1
Andre Drummond,C,9900,CLE,49.4,45.3
Joel Embiid,C,9700,PHI,53.6,38.7
Damian Lillard,PG,9600,POR,46.2,33.9
Julius Randle,PF,9400,NYK,47.8,23.5
Domas Sabonis,PF,9200,IND,48.7,42.7
Nikola Vucevic,C,9000,ORL,44.9,47.1
C.J. McCollum,SG,8900,POR,40.7,47.7
Trae Young,PG,8800,ATL,43.3,44.6
Pascal Siakam,PF,8400,TOR,40.4,52.6
Malcolm Brogdon,PG,8400,IND,43.7,43.3
Fred Van Vleet,PG,8200,TOR,39.0,19.0
Gordon Hayward,SF,7800,CHA,38.1,42.1
Khris Middleton,SF,7800,MIL,39.5,36.5
Kyle Lowry,PG,7700,TOR,38.0,27.8
Devin Booker,SG,7600,PHO,37.9,41.6
Jrue Holiday,PG,7600,MIL,35.0,27.1
Myles Turner,C,7400,IND,34.7,31.2
LaMelo Ball,PG,7400,CHA,36.7,46.3
De'Aaron Fox,PG,7300,SAC,34.7,41.5
Chris Boucher,PF,7200,TOR,31.5,40.1
John Collins,PF,7200,ATL,34.0,20.9
Victor Oladipo,SG,7000,IND,35.2,45.6
Larry Nance Jr.,PF,7000,CLE,31.1,27.5
R.J. Barrett,SF,6900,NYK,32.6,28.3
Jonas Valanciunas,C,6900,MEM,34.5,24.9
Chris Paul,PG,6900,PHO,38.5,38.5
Collin Sexton,SG,6900,CLE,31.2,0.0
Richaun Holmes,C,6800,SAC,29.7,50.5
Terry Rozier,PG,6700,CHA,30.1,23.2
Deandre Ayton,C,6700,PHO,36.4,17.7
Aaron Gordon,PF,6600,ORL,34.6,44.0
Jusuf Nurkic,C,6400,POR,33.9,3.4
Clint Capela,C,6400,ATL,33.9,29.7
PJ Washington,PF,6300,CHA,31.9,24.0
De'Andre Hunter,SF,6300,ATL,26.9,26.9
Harrison Barnes,SF,6200,SAC,29.2,44.6
Mitchell Robinson,C,6200,NYK,31.5,36.2
Bobby Portis,PF,5900,MIL,22.0,28.0
Dillon Brooks,SG,5900,MEM,27.5,39.9
Tyus Jones,PG,5900,MEM,27.7,36.5
Marvin Bagley,PF,5700,SAC,27.0,23.4
Mikal Bridges,SF,5700,PHO,27.7,23.0
Devonte' Graham,SG,5600,CHA,28.4,39.9
Brandon Clarke,PF,5600,MEM,29.1,22.3
O.G. Anunoby,SF,5500,TOR,27.3,31.3
Elfrid Payton,PG,5500,NYK,29.4,31.2
Tyrese Haliburton,SG,5400,SAC,25.5,23.6
Kyle Anderson,SF,5400,MEM,27.2,31.7
Terrence Ross,SG,5400,ORL,28.1,15.1
Enes Kanter,C,5300,POR,22.0,24.2
Damyean Dotson,SG,5200,CLE,18.2,31.6
Tyrese Maxey,SG,5200,PHI,35.0,32.2
Cedi Osman,PF,5100,CLE,26.9,28.6
Buddy Hield,SG,5000,SAC,27.1,28.3
Austin Rivers,PG,4900,NYK,23.8,19.3
Rui Hachimura,SF,4900,WAS,27.5,28.3
Kevin Huerter,SG,4900,ATL,26.8,17.5
Norman Powell,SG,4800,TOR,19.2,15.1
Robert Covington,PF,4800,POR,24.7,23.6
Danny Green,SF,4800,PHI,26.7,8.1
Khem Birch,PF,4700,ORL,20.0,7.1
Bismack Biyombo,C,4700,CHA,22.7,16.6
Deni Avdija,SF,4600,WAS,21.0,11.5
Dave Bertans,PF,4600,WAS,23.2,22.4
Jae Crowder,PF,4600,PHO,22.8,15.2
De'Anthony Melton,PG,4600,MEM,20.5,15.4
Tony Bradley,PF,4600,PHI,0.0,23.1
Donte DiVincenzo,SG,4600,MIL,23.5,23.3
Justin Holiday,SF,4500,IND,23.6,19.0
Brook Lopez,C,4500,MIL,24.2,26.1
Cam Reddish,SF,4500,ATL,25.0,19.0
JaVale McGee,PF,4500,CLE,17.9,25.4
Cole Anthony,PG,4500,ORL,26.4,18.1
Dwight Howard,C,4400,PHI,18.2,25.2
Cameron Johnson,SF,4300,PHO,22.7,11.8
Gorgui Dieng,C,4300,MEM,18.8,0.0
Ishmael Smith,PG,4300,WAS,21.2,20.6
Miles Bridges,SF,4300,CHA,21.1,27.4
Hassan Whiteside,C,4200,SAC,0.0,9.4
Raul Neto,PG,4200,WAS,19.5,19.4
Garrison Mathews,SG,4100,WAS,0.0,20.6
