Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Kevin Durant,4,,SF,11200,BKN,LAC,1,120,31,27,99,107,-15%,23,22,20,40,41,38,55.3,52.0,42.1,61.8,36.5,47.2,4.2,38.2,36.8,3.3
Brad Beal,5,,SG,10800,WAS,POR,1,122,37,26,102,114,-4%,25,29,26,35,36,36,48.7,50.7,39.6,61.8,36.0,48.0,4.4,37.9,44.4,4.1
James Harden,4,,SG,10500,BKN,LAC,1,120,30,23,99,107,0%,17,13,16,39,38,38,46.8,49.6,36.2,62.9,36.5,46.9,4.5,43.1,57.2,5.4
Damian Lillard,14,,PG,10200,POR,@WAS,0,119,31,26,107,114,9%,20,20,20,32,35,36,49.2,45.9,33.8,58.0,37.5,52.9,5.2,39.4,46.4,4.5
Russell Westbrook,11,,PG,10000,WAS,POR,1,122,33,16,102,114,14%,23,18,19,31,30,34,39.1,45.6,31.9,59.3,34.5,46.8,4.7,32.9,42.4,4.2
Kawhi Leonard,17,,SF,9600,LAC,@BKN,1,122,29,28,104,110,-2%,15,19,18,31,34,34,49.4,46.1,35.1,57.1,35.0,47.7,5.0,39.3,64.5,6.7
Kyrie Irving,3,,PG,9500,BKN,LAC,1,120,29,25,99,107,-2%,18,17,20,36,38,36,41.8,45.1,37.3,52.9,36.5,44.0,4.6,36.6,56.0,5.9
Jayson Tatum,9,,PF,9500,BOS,@GSW,2,115,31,23,106,107,9%,22,22,22,37,36,36,42.0,45.2,38.3,52.2,36.0,45.4,4.8,38.4,38.3,4.0
Stephen Curry,9,,PG,9400,GSW,BOS,2,112,32,23,102,108,-18%,19,19,20,31,33,34,40.9,43.6,32.0,55.3,34.0,44.5,4.7,38.1,69.2,7.4
Domas Sabonis,13,,PF,9100,IND,MEM,1,113,24,20,103,104,0%,17,13,15,37,39,38,42.3,44.2,35.8,52.7,37.0,45.9,5.0,35,58.1,6.4
Rudy Gobert,7,,C,9100,UTA,DET,1,115,18,23,101,110,6%,7,11,9,26,29,30,43.9,40.0,29.4,50.7,31.5,40.8,4.5,29.5,26.4,2.9
Fred Van Vleet,10,,SG,8800,TOR,@ORL,1,111,24,17,101,109,7%,14,16,17,33,36,36,41.9,39.5,28.6,50.4,36.0,38.2,4.3,37.1,77.6,8.8
Nikola Vucevic,12,,C,8800,ORL,TOR,1,105,28,23,103,107,-3%,16,19,19,32,34,34,38.4,44.5,33.8,55.2,35.0,47.4,5.4,37.2,46.6,5.3
C.J. McCollum,,O,SG,8700,POR,@WAS,0,119,29,26,107,114,4%,21,19,21,38,34,35,42.7,44.6,35.4,53.8,0.0,0.0,0.0,,0.0,0.0
Jaylen Brown,9,,SF,8700,BOS,@GSW,2,115,31,26,106,107,2%,19,22,20,37,35,34,43.0,42.5,32.9,52.1,36.0,42.6,4.9,32.1,36.0,4.1
Paul George,15,,SG,8400,LAC,@BKN,1,122,29,23,104,110,-2%,18,16,16,30,32,34,39.7,40.8,30.7,50.8,35.5,43.4,5.2,35.8,42.8,5.1
Malcolm Brogdon,6,,PG,8400,IND,MEM,1,113,26,20,103,104,-4%,21,19,18,37,37,38,41.9,41.1,31.6,50.6,36.5,41.7,5.0,28.8,36.9,4.4
Pascal Siakam,6,,SF,8300,TOR,@ORL,1,111,25,16,101,109,6%,22,16,16,36,35,36,37.6,37.6,26.2,49.1,35.5,37.5,4.5,36.4,29.0,3.5
Donovan Mitchell,6,,SG,7800,UTA,DET,1,115,31,17,101,110,-1%,14,16,19,33,32,33,33.5,35.1,25.8,44.3,33.5,36.5,4.7,34.6,42.7,5.5
Ja Morant,4,,PG,7800,MEM,@IND,0,108,32,24,102,108,-6%,12,11,15,25,25,28,28.0,35.9,18.0,53.7,32.0,36.1,4.6,28.6,23.7,3.0
Kyle Lowry,10,,PG,7500,TOR,@ORL,1,111,23,15,101,109,7%,15,13,14,37,36,36,30.1,35.3,27.6,43.0,36.5,36.3,4.8,34.4,50.0,6.7
Myles Turner,7,,C,7400,IND,MEM,1,113,16,18,103,104,9%,10,10,10,33,32,32,37.2,37.3,28.1,46.5,32.5,37.7,5.1,31.6,50.7,6.9
Enes Kanter,14,,C,7000,POR,@WAS,0,119,18,24,107,114,7%,13,10,8,29,29,22,33.7,27.9,15.7,40.1,30.5,38.7,5.5,35.6,39.0,5.6
Mike Conley,5,,PG,7000,UTA,DET,1,115,25,20,101,110,-1%,14,13,13,30,30,30,33.6,33.1,24.1,42.1,30.5,31.7,4.5,32.2,33.3,4.8
Jerami Grant,6,,SF,6800,DET,@UTA,0,103,26,20,100,105,-7%,14,15,18,35,34,36,35.7,40.0,30.0,50.0,34.0,35.0,5.1,38.5,45.8,6.7
Andrew Wiggins,1,,SG,6800,GSW,BOS,2,112,22,16,102,108,-5%,14,14,14,27,28,31,31.8,31.4,22.3,40.5,31.0,31.0,4.6,38.2,23.9,3.5
Jonas Valanciunas,,O,C,6800,MEM,@IND,0,108,23,19,102,108,0%,13,12,11,25,27,28,33.4,33.9,25.1,42.7,0.0,0.0,0.0,,0.0,0.0
Evan Fournier,9,,SF,6400,ORL,TOR,1,105,25,18,103,107,2%,13,14,13,27,30,28,30.6,28.2,17.5,39.0,31.5,31.0,4.8,29,33.0,5.2
