Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Marc-Andre Fleury,1,,G,8900,VGK,TOR,1,60%,2.93,59.6,57.5,57.5,0.920,0.920,16.5,20.6,20.6,4.1,37.0,17.5,2.0,28.8,3.2
Andrei Vasilevskii,,,G,8900,TB,@STL,2,53%,2.90,58.8,59.6,59.6,0.901,0.901,12.3,16.9,16.9,2.7,31.0,18.8,2.1,16.8,1.9
Ben Bishop,1,,G,8900,DAL,VAN,2,57%,2.54,44.5,54.3,54.3,0.925,0.925,19.2,17.3,17.3,2.5,32.1,19.9,2.2,33.6,3.8
Matthew Murray,,,G,8800,PIT,NYI,2,54%,2.65,54.7,58.6,58.6,0.913,0.913,10.4,17.5,17.5,4.5,30.5,20.1,2.3,9.6,1.1
Carey Price,,,G,8800,MON,@CLS,2,52%,2.93,60.9,60.3,60.3,0.917,0.917,23.4,20.6,20.6,10.4,30.9,18.0,2.0,-3.2,-0.4
Tuukka Rask,1,,G,8700,BOS,@NJ,2,57%,2.54,60.7,60.7,60.7,0.927,0.927,14.1,22.7,22.7,9.3,36.2,18.5,2.1,28.0,3.2
David Rittich,,,G,8600,CGY,COL,1,54%,2.88,61.0,60.0,60.0,0.914,0.914,23.8,19.5,19.5,3.8,35.1,16.7,1.9,6.4,0.7
Frederik Andersen,,,G,8500,TOR,@VGK,2,40%,3.57,61.0,60.3,60.3,0.912,0.912,19.4,18.6,18.6,5.8,31.3,15.4,1.8,14.4,1.7
Connor Hellebuyck,,,G,8300,WPG,@NSH,2,37%,3.66,61.1,58.5,58.5,0.929,0.929,21.0,22.2,22.2,6.8,37.5,14.0,1.7,38.4,4.6
Jordan Binnington,,,G,8300,STL,TB,2,47%,3.10,61.8,61.0,61.0,0.919,0.919,18.9,19.2,19.2,8.7,29.6,15.0,1.8,21.6,2.6
Mikko Koskinen,,,G,8300,EDM,@SJ,2,44%,3.44,60.3,58.5,58.5,0.921,0.921,18.7,20.9,20.9,7.1,34.6,14.7,1.8,30.4,3.7
Petr Mrazek,,,G,8200,CAR,@CHI,2,54%,3.14,60.1,54.0,54.0,0.904,0.904,14.2,17.2,17.2,0.5,33.9,15.3,1.9,28.0,3.4
Semyon Varlamov,,,G,8100,NYI,@PIT,2,46%,2.85,60.7,57.3,57.3,0.917,0.917,22.2,20.6,20.6,6.8,34.4,18.4,2.3,17.6,2.2
Martin Jones,,,G,8100,SJ,EDM,2,56%,3.06,61.8,56.8,56.8,0.889,0.889,19.2,12.9,12.9,1.6,24.3,16.1,2.0,-0.8,-0.1
Philipp Grubauer,,Q,G,8000,COL,@CGY,9,46%,3.12,59.6,60.4,60.4,0.916,0.916,13.9,19.7,19.7,10.3,29.1,17.3,2.2,28.8,3.6
Sergei Bobrovsky,,,G,7800,FLA,PHI,2,56%,3.05,55.1,54.0,54.0,0.882,0.882,9.6,11.7,11.7,-1.4,24.9,18.7,2.4,32.0,4.1
Robin Lehner,1,,G,7600,CHI,CAR,1,46%,3.36,48.7,55.4,55.4,0.936,0.936,24.2,23.0,23.0,8.7,37.3,17.1,2.3,11.2,1.5
Carter Hart,,,G,7600,PHI,@FLA,2,44%,3.45,61.4,53.6,53.6,0.903,0.903,22.1,13.8,13.8,-2.4,30.1,14.6,1.9,-4.8,-0.6
Joonas Korpisalo,,,G,7500,CLS,MON,3,48%,3.07,59.9,57.9,57.9,0.897,0.897,17.0,14.3,14.3,3.9,24.8,15.4,2.1,28.0,3.7
Linus Ullmark,,,G,7500,BUF,MIN,1,50%,3.00,59.6,60.4,60.4,0.915,0.915,21.6,20.7,20.7,3.3,38.1,18.3,2.4,5.6,0.7
Jacob Markstrom,,,G,7400,VAN,@DAL,2,42%,2.96,60.1,60.5,60.5,0.914,0.914,11.0,16.4,16.4,4.8,27.9,16.8,2.3,-4.0,-0.5
Anders Nilsson,1,,G,7400,OTT,@DET,2,47%,3.09,55.1,54.3,54.3,0.925,0.925,23.5,20.6,20.6,4.3,36.8,18.2,2.5,28.0,3.8
Juuse Saros,4,,G,7400,NSH,WPG,2,63%,2.84,49.6,53.1,53.1,0.882,0.882,10.9,7.9,7.9,-3.5,19.3,19.3,2.6,10.4,1.4
Alex Stalock,,,G,7200,MIN,@BUF,2,50%,3.00,51.8,49.1,49.1,0.903,0.903,10.4,13.0,13.0,-3.8,29.8,16.4,2.3,32.0,4.4
Jonathan Bernier,1,,G,7200,DET,OTT,2,53%,2.91,54.6,55.3,55.3,0.892,0.892,14.2,12.2,12.2,1.5,23.0,18.6,2.6,7.2,1.0
MacKenzie Blackwood,,,G,7200,NJ,BOS,2,42%,2.96,60.0,58.2,58.2,0.904,0.904,21.3,16.2,16.2,-0.3,32.7,16.7,2.3,-1.6,-0.2
