Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ben Bishop,,,G,9200,DAL,NJ,2,65%,2.36,60.9,56.4,56.4,0.932,0.932,25.6,20.1,20.1,6.7,33.5,21.6,2.3,40.8,4.4
Frederik Andersen,,,G,8700,TOR,@VAN,2,54%,3.13,59.6,60.0,60.0,0.918,0.918,21.6,19.9,19.9,7.1,32.7,18.9,2.2,38.4,4.4
Andrei Vasilevskii,,,G,8600,TB,@FLA,0,50%,3.25,60.2,59.8,59.8,0.907,0.907,14.9,17.6,17.6,3.5,31.8,17.0,2.0,29.6,3.4
Antti Raanta,,,G,8500,ARI,CGY,1,57%,2.55,58.9,60.7,60.7,0.926,0.926,24.0,21.6,21.6,9.3,33.9,20.6,2.4,-0.8,-0.1
Mikko Koskinen,,,G,8400,EDM,CAR,1,47%,3.09,55.3,56.7,56.7,0.921,0.921,20.3,20.4,20.4,6.7,34.0,16.5,2.0,-3.2,-0.4
Marc-Andre Fleury,,,G,8400,VGK,CHI,1,66%,2.53,60.1,58.0,58.0,0.919,0.919,18.4,19.9,19.9,4.2,35.6,19.8,2.4,30.4,3.6
Carey Price,,,G,8300,MON,@PIT,3,41%,3.27,51.9,58.4,58.4,0.902,0.902,10.6,16.2,16.2,2.9,29.4,15.3,1.8,34.4,4.1
Tristan Jarry,,,G,8200,PIT,MON,2,59%,2.73,52.6,54.1,54.1,0.943,0.943,26.2,24.1,24.1,8.7,39.6,19.2,2.3,5.6,0.7
Jake Allen,,,G,8000,STL,@BUF,2,55%,2.63,59.1,59.2,59.2,0.927,0.927,25.9,21.2,21.2,6.4,36.1,17.6,2.2,10.4,1.3
Sergei Bobrovsky,,,G,7800,FLA,TB,1,50%,3.25,59.6,55.5,55.5,0.893,0.893,18.7,14.1,14.1,0.2,28.0,17.1,2.2,28.8,3.7
John Gibson,,,G,7700,ANH,@MIN,1,40%,3.02,60.7,58.9,58.9,0.909,0.909,12.2,16.1,16.1,0.8,31.4,17.1,2.2,21.6,2.8
Martin Jones,,,G,7600,SJ,@NSH,1,39%,3.60,51.8,56.4,56.4,0.889,0.889,10.7,13.2,13.2,0.5,25.8,11.9,1.6,15.2,2.0
Corey Crawford,,,G,7600,CHI,@VGK,1,34%,3.47,55.8,58.4,58.4,0.912,0.912,15.7,17.1,17.1,2.2,32.1,15.2,2.0,5.6,0.7
Jacob Markstrom,,Q,G,7500,VAN,TOR,2,46%,3.37,60.6,60.6,60.6,0.913,0.913,20.0,17.4,17.4,4.4,30.3,15.7,2.1,5.6,0.7
James Reimer,,,G,7500,CAR,@EDM,2,53%,2.91,60.1,57.1,57.1,0.918,0.918,23.2,18.3,18.3,3.6,32.9,16.0,2.1,26.4,3.5
Laurent Brossoit,1,,G,7400,WPG,DET,1,69%,2.44,52.0,55.6,55.6,0.881,0.881,14.1,11.3,11.3,-1.9,24.5,22.6,3.1,24.0,3.2
Linus Ullmark,,,G,7400,BUF,STL,1,45%,2.87,59.8,59.9,59.9,0.914,0.914,19.4,19.6,19.6,3.7,35.5,18.2,2.5,26.4,3.6
Juuse Saros,,,G,7300,NSH,SJ,2,61%,2.90,53.2,53.5,53.5,0.891,0.891,12.5,9.7,9.7,-0.5,19.9,18.8,2.6,27.2,3.7
Kaapo Kahkonen,,,G,7300,MIN,ANH,2,60%,2.48,60.0,60.0,60.0,0.950,0.950,34.4,34.4,34.4,27.6,41.2,18.1,2.5,16.8,2.3
Henrik Lundqvist,,,G,7300,NYR,@LA,1,47%,3.09,60.0,57.1,57.1,0.910,0.910,17.4,17.6,17.6,3.4,31.7,18.1,2.5,10.4,1.4
Cameron Talbot,,,G,7300,CGY,@ARI,0,42%,2.95,58.9,53.9,53.9,0.895,0.895,10.1,11.2,11.2,0.0,22.4,15.0,2.1,40.8,5.6
Jon Quick,,,G,7200,LA,NYR,2,53%,2.91,59.7,59.4,59.4,0.884,0.884,8.0,10.9,10.9,-2.2,24.0,17.4,2.4,31.2,4.3
MacKenzie Blackwood,,,G,7000,NJ,@DAL,2,35%,3.14,56.5,57.2,57.2,0.899,0.899,12.3,14.1,14.1,-0.9,29.1,15.2,2.2,18.4,2.6
Eric Comrie,,,G,7000,DET,@WPG,2,31%,3.56,8.2,8.2,8.2,1.000,1.000,3.2,3.2,3.2,3.2,3.2,8.5,1.2,0.0,0.0
