Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Marc-Andre Fleury,,,G,8900,VGK,@VAN,1,55%,2.84,59.1,58.2,58.2,0.918,0.918,16.8,19.8,19.8,5.0,34.7,17.2,1.9,3.2,0.4
Darcy Kuemper,1,,G,8800,ARI,MIN,1,61%,2.47,60.7,60.9,60.9,0.935,0.935,23.8,23.2,23.2,11.3,35.1,21.2,2.4,-8.0,-0.9
Andrei Vasilevskii,,,G,8800,TB,DAL,1,60%,2.48,60.4,59.9,59.9,0.908,0.908,24.0,18.1,18.1,4.7,31.6,21.3,2.4,-3.2,-0.4
Carey Price,,,G,8700,MON,@CGY,1,44%,3.16,59.7,58.6,58.6,0.908,0.908,26.2,17.3,17.3,3.6,31.1,16.1,1.9,19.2,2.2
Tuukka Rask,,,G,8300,BOS,NYI,1,64%,2.38,60.0,60.5,60.5,0.923,0.923,11.0,21.2,21.2,8.2,34.2,20.0,2.4,7.2,0.9
Semyon Varlamov,,,G,8200,NYI,@BOS,1,36%,3.12,41.4,53.2,53.2,0.923,0.923,17.0,19.2,19.2,5.5,32.8,16.1,2.0,25.6,3.1
Connor Hellebuyck,,,G,8100,WPG,CHI,1,61%,2.69,43.9,54.5,54.5,0.927,0.927,10.1,21.0,21.0,5.9,36.1,20.7,2.6,6.4,0.8
Philipp Grubauer,,,G,8000,COL,CAR,0,53%,2.93,51.4,55.7,55.7,0.913,0.913,17.8,17.8,17.8,5.6,29.9,18.9,2.4,21.6,2.7
Robin Lehner,,,G,7900,CHI,@WPG,0,39%,3.31,54.3,55.8,55.8,0.924,0.924,13.3,19.9,19.9,5.3,34.5,16.4,2.1,36.8,4.7
Anton Khudobin,,,G,7800,DAL,@TB,2,40%,3.02,56.4,56.7,56.7,0.927,0.927,23.7,19.9,19.9,6.6,33.1,15.7,2.0,36.0,4.6
Carter Hart,,,G,7800,PHI,BUF,1,56%,2.80,51.1,53.4,53.4,0.912,0.912,15.4,15.1,15.1,-0.2,30.4,18.7,2.4,20.8,2.7
David Rittich,,,G,7800,CGY,MON,1,56%,2.84,60.1,60.3,60.3,0.914,0.914,21.4,19.5,19.5,5.5,33.4,17.1,2.2,15.2,1.9
Joonas Korpisalo,,,G,7600,CLS,LA,1,57%,2.54,56.8,58.1,58.1,0.908,0.908,23.7,16.8,16.8,4.2,29.4,18.6,2.4,22.4,2.9
Jacob Markstrom,,,G,7600,VAN,VGK,1,45%,3.16,57.3,59.8,59.8,0.915,0.915,17.4,17.4,17.4,3.0,31.8,16.4,2.2,27.2,3.6
James Reimer,,,G,7600,CAR,@COL,1,47%,3.07,59.5,57.5,57.5,0.924,0.924,31.5,21.0,21.0,5.5,36.4,14.7,1.9,29.6,3.9
Devan Dubnyk,,Q,G,7500,MIN,@ARI,1,39%,3.03,55.7,53.7,53.7,0.893,0.893,15.5,11.4,11.4,1.9,21.0,15.2,2.0,20.0,2.7
Juuse Saros,,,G,7400,NSH,@OTT,1,57%,2.77,60.0,54.6,54.6,0.899,0.899,16.3,12.0,12.0,0.3,23.8,18.8,2.5,-4.8,-0.6
Jack Campbell,,,G,7300,LA,@CLS,1,42%,2.96,59.5,60.2,60.2,0.893,0.893,13.8,12.8,12.8,2.2,23.4,15.7,2.2,8.0,1.1
Carter Hutton,,,G,7200,BUF,@PHI,1,43%,3.20,60.6,60.4,60.4,0.901,0.901,4.2,15.8,15.8,-2.3,34.0,16.8,2.3,-5.6,-0.8
Marcus Hogberg,,,G,7100,OTT,NSH,1,42%,3.23,54.5,54.5,54.5,0.913,0.913,10.1,10.1,10.1,6.8,13.5,0.0,0.0,22.4,3.2
