Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Connor McDavid,C,8900,EDM,CGY,1,16.2,26.9
Auston Matthews,C,8600,TOR,VAN,1,16.0,32.0
Leon Draisaitl,C,8500,EDM,CGY,2,15.3,11.2
Mitchell Marner,W,7900,TOR,VAN,1,12.6,29.3
Sidney Crosby,C,7800,PIT,NYI,1,12.6,12.8
Johnny Gaudreau,W,7500,CGY,EDM,2,11.1,21.6
John Tavares,C,7400,TOR,VAN,2,11.9,9.6
Ryan Nugent-Hopkins,W,7400,EDM,CGY,1,10.9,14.9
Logan Couture,C,7300,SJ,ANH,1,10.1,13.6
Evgeni Malkin,C,7200,PIT,NYI,2,13.5,16.8
Brock Boeser,W,7200,VAN,TOR,1,10.6,17.3
Jake Guentzel,W,7100,PIT,NYI,1,13.4,24.8
Mathew Barzal,C,6900,NYI,PIT,1,11.0,8.5
Anders Lee,W,6900,NYI,PIT,1,9.5,17.3
J.T. Miller,W,6800,VAN,TOR,1,11.1,1.6
Elias Pettersson,C,6700,VAN,TOR,1,0.0,10.1
Sean Monahan,C,6600,CGY,EDM,2,10.0,20.8
Bo Horvat,C,6500,VAN,TOR,2,10.5,1.6
William Nylander,W,6500,TOR,VAN,2,10.4,6.4
Brent Burns,D,6500,SJ,ANH,24,11.0,3.2
Matthew Tkachuk,W,6200,CGY,EDM,1,11.1,9.6
Evander Kane,W,6100,SJ,ANH,1,10.4,9.6
Elias Lindholm,C,6000,CGY,EDM,1,10.3,15.2
Bryan Rust,W,5900,PIT,NYI,1,10.7,20.8
Jason Zucker,W,5800,PIT,NYI,2,8.7,1.6
Quinn Hughes,D,5800,VAN,TOR,30,9.2,11.7
Rickard Rakell,W,5700,ANH,SJ,3,9.2,9.6
Jordan Eberle,W,5600,NYI,PIT,2,8.9,35.2
Timo Meier,W,5600,SJ,ANH,3,10.1,6.4
Tomas Hertl,C,5600,SJ,ANH,2,10.2,1.6
Darnell Nurse,D,5500,EDM,CGY,35,8.9,20.0
Jakob Silfverberg,W,5400,ANH,SJ,2,7.8,3.2
Kris Letang,D,5400,PIT,NYI,37,10.8,9.6
Mark Giordano,D,5300,CGY,EDM,38,10.0,21.3
Morgan Rielly,D,5200,TOR,VAN,39,10.2,11.7
Tyson Barrie,D,5100,EDM,CGY,40,10.2,16.5
Kailer Yamamoto,W,5100,EDM,CGY,2,9.2,1.6
Brock Nelson,C,5000,NYI,PIT,2,10.0,12.8
