Player Name,Salary,Team,Opp,Proj FP,Actual FP
Robin Lehner,8500,VGK,ANH,20.0,0.0
Jack Campbell,8200,TOR,OTT,21.4,17.6
Alexander Georgiev,8200,NYR,NYI,18.9,38.4
Petr Mrazek,8100,CAR,DET,20.5,1.6
Mikko Koskinen,8000,EDM,MON,16.5,4.8
Ilya Sorokin,7900,NYI,NYR,19.0,1.6
Jacob Markstrom,7800,CGY,VAN,17.7,45.6
Carey Price,7500,MON,EDM,16.1,35.2
Cameron Talbot,7400,MIN,LA,18.8,24.0
Elvis Merzlikins,7300,CLS,NSH,16.7,2.4
Braden Holtby,7200,VAN,CGY,15.2,13.6
John Gibson,7200,ANH,VGK,14.2,16.8
Juuse Saros,6900,NSH,CLS,18.8,37.6
Jon Quick,6900,LA,MIN,15.9,16.0
Matthew Murray,6700,OTT,TOR,14.6,17.6
Jonathan Bernier,6600,DET,CAR,14.8,27.2
