Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,9000,BOS,OTT,22.4,28.0
Carey Price,8500,MON,DAL,18.2,16.8
Darcy Kuemper,8400,ARI,COL,19.3,46.4
Ben Bishop,8400,DAL,MON,18.5,36.0
Frederik Andersen,8300,TOR,PHI,18.1,29.6
Sergei Bobrovsky,8300,FLA,DET,22.4,37.6
Carter Hutton,8300,BUF,NYI,19.9,12.0
David Rittich,8300,CGY,CLS,17.0,54.4
Thatcher Demko,7900,VAN,SJ,15.1,23.2
Joonas Korpisalo,7800,CLS,CGY,14.8,12.8
Malcolm Subban,7700,VGK,WPG,18.9,12.0
Semyon Varlamov,7700,NYI,BUF,18.8,41.6
Pavel Francouz,7600,COL,ARI,16.3,8.0
Aaron Dell,7500,SJ,VAN,15.9,-1.6
Jake Allen,7400,STL,MIN,15.4,16.0
Brian Elliott,7400,PHI,TOR,13.8,6.4
Corey Crawford,7400,CHI,LA,17.8,16.0
Devan Dubnyk,7300,MIN,STL,18.8,4.0
James Reimer,7300,CAR,NJ,17.9,0.8
Jack Campbell,7300,LA,CHI,17.7,19.2
Jonathan Bernier,7200,DET,FLA,11.5,13.6
MacKenzie Blackwood,7100,NJ,CAR,12.9,19.2
Craig Anderson,7100,OTT,BOS,12.1,1.6
Laurent Brossoit,7100,WPG,VGK,12.8,18.4
