Player Name,Salary,Team,Opp,Proj FP,Actual FP
Matthew Murray,8600,PIT,COL,17.4,24.8
John Gibson,8500,ANH,BUF,20.3,28.8
Ben Bishop,8500,DAL,CLS,18.4,13.6
Carter Hutton,8400,BUF,ANH,18.5,0.0
Carter Hart,8300,PHI,EDM,16.2,-8.0
Philipp Grubauer,8200,COL,PIT,17.0,0.0
Ilya Samsonov,7900,WAS,TOR,15.4,23.2
Joonas Korpisalo,7800,CLS,DAL,16.8,28.0
Mikko Koskinen,7700,EDM,PHI,18.1,0.0
Martin Jones,7500,SJ,CAR,15.8,0.0
James Reimer,7500,CAR,SJ,13.1,-2.4
Michael Hutchinson,7300,TOR,WAS,16.3,6.4
