Player Name,Salary,Team,Opp,Proj FP,Actual FP
Robin Lehner,8700,VGK,STL,19.0,0.8
Connor Hellebuyck,8500,WPG,EDM,18.2,13.6
Tuukka Rask,8300,BOS,PIT,18.7,26.4
Philipp Grubauer,8300,COL,SJ,22.1,21.6
Kaapo Kahkonen,8100,MIN,LA,0,7.2
Anton Khudobin,8100,DAL,DET,23.8,24.0
Semyon Varlamov,8000,NYI,WAS,19.7,15.2
Brian Elliott,7900,PHI,NJ,20.5,18.4
Jacob Markstrom,7900,CGY,TOR,17.0,-2.4
Frederik Andersen,7800,TOR,CGY,18.1,18.4
Darcy Kuemper,7700,ARI,ANH,21.6,14.4
Tristan Jarry,7600,PIT,BOS,16.4,14.4
Vitek Vanecek,7500,WAS,NYI,16.7,29.6
Mikko Koskinen,7500,EDM,WPG,18.1,-2.4
Alexander Georgiev,7400,NYR,BUF,19.6,4.8
Joonas Korpisalo,7300,CLS,FLA,18.3,10.4
John Gibson,7300,ANH,ARI,18.6,44.8
Pekka Rinne,7200,NSH,CHI,20.1,18.4
Jordan Binnington,7200,STL,VGK,14.9,29.6
Scott Wedgewood,7100,NJ,PHI,0.0,4.8
Sergei Bobrovsky,7000,FLA,CLS,18.3,15.2
Linus Ullmark,7000,BUF,NYR,18.2,26.4
Martin Jones,6900,SJ,COL,11.2,-16.8
Malcolm Subban,6700,CHI,NSH,15.6,16.8
Cal Petersen,6700,LA,MIN,14.9,33.6
Thomas Greiss,6600,DET,DAL,16.5,8.0
