Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Luka Doncic,PG,DAL,vs CLE,20th,115.75,12100,30.4,71.3,56.7,9.4,1.65,59.41,15.41,11.67,15.2,35.4,19.9,34.4,35.50,47.93,47.93,100,,79,4,Y,28,57.40,4.7
LeBron James,SF,LAL,@ OKC,8th,106.75,11700,32,79.3,53.3,11.1,1.53,55.07,12.10,13.50,11.93,31.0,19.3,34.9,35.50,52.28,52.28,100,,75,4.5,Y,36,52.20,4.5
James Harden,SG,HOU,@ LAC,28th,110.75,11500,39.9,83.2,57.8,7.5,1.58,56.94,10.47,12.36,10.69,40.4,24.7,36.5,36.75,58.44,58.44,100,,79,5.1,Y,42,66.60,5.8
Anthony Davis,PF,LAL,@ OKC,9th,106.75,11300,42.7,80.3,51.5,3.4,1.48,53.20,11.93,10.75,11.93,30.4,18.5,34.8,36.00,58.78,58.78,100,,79,5.2,Y,35,58.70,5.2
Joel Embiid,C,PHI,vs SAS,7th,113.75,10100,36.1,75.9,45.7,3.1,1.54,55.52,9.38,11.37,8.79,33.0,16.6,29.6,33.75,53.15,53.15,100,,75,5.3,Y,28,44.30,4.4
Kyrie Irving,PG,BKN,vs SAC,16th,108.50,9900,0,25.3,48.3,7.2,1.43,51.42,10.90,12.67,0,32.4,22.9,33.8,0.00,0.00,0.00,100,,74,0,,,,
Bradley Beal,SG,WAS,vs CHA,22nd,120.25,9800,26.6,72.4,46.3,6.7,1.27,45.53,10.91,13.08,11.29,33.5,23.1,36.6,37.25,46.19,46.19,100,,72,4.7,Y,42,53.00,5.4
Kawhi Leonard,PF,LAC,vs HOU,18th,115.75,9800,33.5,63.7,50.4,5.7,1.53,54.95,11.76,8.63,11.11,36.3,21.3,33.0,34.00,46.41,46.41,100,,83,4.7,Y,28,42.70,4.4
Trae Young,PG,ATL,@ DET,29th,110.25,9700,17.5,75.7,44.9,8.6,1.33,48.00,12.19,16.62,12.27,33.8,19.8,33.7,36.25,42.44,42.44,100,,63,4.4,Y,32,26.20,2.7
Jimmy Butler,SG,MIA,@ CHI,16th,110.25,9700,29.8,56.2,44.5,7.0,1.30,46.88,10.64,7.53,10.71,25.2,13.1,34.2,36.25,41.09,41.09,100,,83,4.2,Y,34,52.50,5.4
Andre Drummond,C,DET,vs ATL,16th,116.25,9600,26.8,78.6,50.6,3.1,1.46,52.48,11.05,14.78,10.59,25.4,14.4,34.7,34.50,49.00,49.00,100,,71,5.1,Y,28,49.00,5.1
Clint Capela,C,HOU,@ LAC,21st,110.75,9100,20.1,66.5,39.3,0.9,1.26,45.50,9.72,13.25,9.32,16.3,9.9,31.1,34.50,39.95,39.95,100,,66,4.4,Y,41,42.80,4.7
Ben Simmons,PG,PHI,vs SAS,25th,113.75,9000,29.3,65.4,37.8,7.6,1.12,40.17,7.07,10.32,7.27,18.2,10.4,33.9,37.00,44.75,44.75,100,,73,5,Y,32,45.50,5.1
Nikola Jokic,C,DEN,vs BOS,10th,105.75,9000,27.1,64.9,39.0,5.8,1.27,45.90,6.17,10.81,5.23,25.5,14.7,30.6,30.50,43.30,43.30,100,,72,4.8,Y,35,61.20,6.8
Russell Westbrook,PG,HOU,@ LAC,14th,110.75,9000,30.7,78.5,44.0,6.9,1.33,47.87,13.01,13.66,12.47,31.9,19.2,33.1,34.50,51.21,51.21,100,,69,5.7,Y,34,37.00,4.1
D'Angelo Russell,SG,GSW,@ UTA,22nd,96.25,8800,0,37,39.3,6.7,1.25,45.02,14.98,18.49,0,31.5,18.7,31.4,0.00,0.00,0.00,100,,53,0,,,,
Donovan Mitchell,SG,UTA,vs GSW,17th,112.25,8700,21.7,52.9,40.1,3.9,1.15,41.37,8.66,8.92,7.64,30.9,20.2,34.9,31.75,35.03,35.03,100,,78,4,Y,35,43.80,5
Bam Adebayo,PF,MIA,@ CHI,19th,110.25,8600,25,54.2,39.5,4.5,1.23,44.15,6.20,8.35,5.86,18.3,8.2,32.2,34.00,37.51,37.51,100,,79,4.4,Y,33,49.80,5.8
Rudy Gobert,C,UTA,vs GSW,20th,112.25,8600,22.8,64.7,37.4,1.1,1.07,38.57,11.11,11.96,9.88,15.4,7.2,34.9,32.00,40.75,40.75,100,,68,4.7,Y,35,53.30,6.2
Paul George,SF,LAC,vs HOU,18th,115.75,8600,30.5,64.9,40.9,4.8,1.49,53.51,24.59,9.82,22.88,38.3,16.5,27.5,33.50,45.22,45.22,100,,76,5.3,Y,32,42.10,4.9
Kristaps Porzingis,PF,DAL,vs CLE,24th,115.75,8500,22,65.2,36.8,1.6,1.17,42.26,12.82,12.35,11.75,27.0,16.3,31.4,33.00,40.48,40.48,100,,66,4.8,Y,28,39.40,4.6
Kevin Love,PF,CLE,@ DAL,19th,105.75,8300,23.2,55.4,38.5,2.8,1.18,42.46,8.81,9.20,7.71,23.2,12.2,32.6,31.50,37.00,37.00,100,,76,4.5,Y,25,14.90,1.8
De'Aaron Fox,PG,SAC,@ BKN,30th,106.50,8000,0,20.4,33.2,6.9,1.03,37.27,8.23,10.20,0,28.4,14.2,32.1,0.00,0.00,0.00,100,,69,0,,,,
Jayson Tatum,PF,BOS,@ DEN,14th,100.75,8000,20.4,48,37.8,2.4,1.10,39.48,9.19,7.88,8.68,27.3,18.6,34.4,34.00,32.24,32.24,100,,79,4,Y,32,25.90,3.2
DeMar DeRozan,SG,SAS,@ PHI,9th,106.75,7800,27.4,56.7,36.3,4.8,1.06,38.25,7.99,8.36,7.99,26.0,15.5,34.1,36.00,39.97,39.97,100,,77,5.1,Y,33,41.40,5.3
Blake Griffin,PF,DET,vs ATL,7th,116.25,7700,32.7,44.2,30.7,4.3,1.10,39.47,7.06,3.29,6.13,35.2,15.3,28.0,31.25,37.62,37.62,100,,89,4.9,Y,33,33.10,4.3
Marvin Bagley III,PF,SAC,@ BKN,30th,106.50,7700,0,0,31.0,0.0,1.11,39.86,0.00,0.00,0,25.8,16.0,28.0,0.00,0.00,0.00,100,,0,0,,,,
LaMarcus Aldridge,PF,SAS,@ PHI,13th,106.75,7600,21.7,63.8,35.5,2.5,1.10,39.41,12.42,12.04,11.73,22.4,14.3,32.4,34.00,39.71,39.71,100,,66,5.2,Y,36,29.20,3.8
Kemba Walker,PG,BOS,@ DEN,8th,100.75,7600,22.9,60.8,37.6,4.8,1.11,40.03,11.81,10.83,11.24,27.8,17.6,33.8,34.25,39.10,39.10,100,,71,5.1,Y,12,11.70,1.5
Buddy Hield,SG,SAC,@ BKN,26th,106.50,7500,21.7,61.3,29.1,1.8,0.91,32.83,10.89,11.31,11.87,27.6,16.8,31.9,39.25,38.63,38.63,100,,61,5.2,Y,32,20.70,2.8
Spencer Dinwiddie,SG,BKN,vs SAC,16th,108.50,7500,16.6,55.7,30.3,5.1,1.09,39.29,9.11,11.16,8.86,28.5,14.1,27.8,35.00,33.37,33.37,100,,63,4.4,Y,28,36.70,4.9
Devonte' Graham,SG,CHA,@ WAS,28th,114.25,7400,15.7,51.6,32.0,6.9,0.99,35.57,10.26,10.26,9.98,24.8,14.2,32.4,35.00,31.07,31.07,100,,68,4.2,Y,36,41.70,5.6
Bogdan Bogdanovic,SG,SAC,@ BKN,26th,106.50,7300,0,26.1,28.3,4.8,1.02,36.72,12.29,13.03,0,23.1,11.8,27.8,0.00,0.00,0.00,100,,54,0,,,,
Mike Conley,PG,UTA,vs GSW,7th,112.25,7300,16.2,53.6,26.0,4.4,0.85,30.50,11.51,10.66,9.51,25.0,13.4,30.6,29.75,32.23,32.23,100,,59,4.4,Y,31,39.80,5.5
Tobias Harris,SF,PHI,vs SAS,29th,113.75,7200,23,52.7,35.2,3.6,1.02,36.78,9.78,8.48,9.58,21.5,14.2,34.4,35.25,35.74,35.74,100,,76,5,Y,34,46.20,6.4
Chris Paul,PG,OKC,vs LAL,4th,102.75,7200,19.4,51.9,33.2,5.6,1.09,39.35,9.47,9.29,8.02,21.8,10.7,30.4,30.50,33.36,33.36,100,,72,4.6,Y,32,35.30,4.9
Terry Rozier,PG,CHA,@ WAS,28th,114.25,7100,14.8,51.9,28.9,4.4,0.91,32.77,11.44,10.60,10.41,25.2,14.3,31.8,32.75,30.72,30.72,100,,63,4.3,Y,34,28.90,4.1
Zach LaVine,SG,CHI,vs MIA,10th,106.25,7100,15,57.5,32.6,4.1,1.03,37.12,12.65,12.14,11.16,29.1,17.3,31.6,31.75,33.22,33.22,100,,63,4.7,Y,29,24.60,3.5
Al Horford,PF,PHI,vs SAS,7th,113.75,7000,22.7,54.5,34.2,4.0,1.10,39.48,9.73,9.09,8.78,20.6,13.3,31.2,32.50,36.29,36.29,100,,73,5.2,Y,35,36.80,5.3
Shai Gilgeous-Alexander,SG,OKC,vs LAL,4th,102.75,7000,12.3,51.8,32.0,2.9,0.92,32.97,11.12,11.27,10.81,25.4,16.0,34.9,35.00,29.23,29.23,100,,65,4.2,Y,36,42.40,6.1
Jamal Murray,PG,DEN,vs BOS,18th,105.75,7000,10.8,57.2,34.8,5.2,1.05,37.94,14.36,13.28,12.66,25.7,16.0,33.0,31.75,30.67,30.67,100,,62,4.4,Y,38,39.70,5.7
Montrezl Harrell,C,LAC,vs HOU,23rd,115.75,7000,17.4,60.8,35.4,2.7,1.18,42.46,11.70,12.40,9.43,23.8,12.7,30.0,29.00,35.97,35.97,100,,65,5.1,,35,33.40,4.8
Jabari Parker,PF,ATL,@ DET,21st,110.25,6900,14.5,58,30.7,1.6,1.10,39.72,10.20,12.45,9.14,24.2,13.4,27.8,32.25,33.13,33.13,100,,59,4.8,Y,21,24.30,3.5
Thomas Bryant,C,WAS,vs CHA,20th,120.25,6900,18.7,50.7,32.4,2.8,1.14,40.87,7.92,9.15,6.16,18.9,10.6,28.5,28.00,32.44,32.44,100,,72,4.7,Y,34,37.20,5.4
Jarrett Allen,PF,BKN,vs SAC,17th,108.50,6900,12.2,50,27.6,0.9,1.08,38.75,11.43,10.79,8.57,15.3,6.2,25.6,27.00,28.41,28.41,100,,61,4.1,Y,25,28.30,4.1
Draymond Green,PF,GSW,@ UTA,1st,96.25,6900,0,21.9,29.1,5.4,0.99,35.49,8.85,10.93,0,15.7,8.7,29.5,0.00,0.00,0.00,100,,62,0,,,,
Lou Williams,SG,LAC,vs HOU,30th,115.75,6900,23.8,56.6,34.9,5.7,1.07,38.50,11.33,9.36,9.91,30.0,17.3,32.6,31.50,37.83,37.83,100,,73,5.5,,33,37.60,5.4
Lauri Markkanen,PF,CHI,vs MIA,28th,106.25,6800,15.2,54,29.0,1.6,0.96,34.40,12.04,11.07,10.54,22.2,11.8,30.3,31.50,31.82,31.82,100,,62,4.7,Y,24,17.90,2.6
Tristan Thompson,C,CLE,@ DAL,6th,105.75,6800,10.3,54.8,35.1,2.2,1.11,39.93,11.43,12.71,9.21,19.6,11.6,31.6,29.00,29.34,29.34,100,,64,4.3,Y,26,28.60,4.2
Wendell Carter Jr.,C,CHI,vs MIA,2nd,106.25,6700,16.7,49,28.5,0.8,1.01,36.51,9.26,9.22,7.91,17.4,8.5,28.1,30.75,30.51,30.51,100,,68,4.6,Y,26,16.70,2.5
Jaylen Brown,SF,BOS,@ DEN,11th,100.75,6700,14.3,50.2,32.8,2.2,1.00,35.88,9.67,10.27,9.27,23.2,15.0,32.9,34.50,29.70,29.70,100,,69,4.4,Y,36,42.00,6.3
Paul Millsap,PF,DEN,vs BOS,26th,105.75,6600,13.5,45.6,27.5,1.4,1.04,37.34,13.17,9.18,9.97,20.0,9.3,26.5,27.25,27.23,27.23,100,,67,4.1,Y,32,32.00,4.8
Richaun Holmes,PF,SAC,@ BKN,5th,106.50,6500,19.4,60.6,27.1,0.7,1.02,36.82,10.37,11.78,9.51,15.7,7.5,26.5,33.00,37.04,37.04,100,,57,5.7,Y,26,29.60,4.6
Dejounte Murray,PG,SAS,@ PHI,13th,106.75,6400,14.7,52.9,28.5,4.5,1.27,45.85,15.62,10.91,10.85,23.1,8.8,22.4,25.00,31.04,31.04,100,,62,4.9,Y,23,28.40,4.4
Marcus Smart,SG,BOS,@ DEN,11th,100.75,6400,18.8,40.3,28.3,5.1,0.88,31.64,6.72,6.13,6.39,16.7,11.2,32.2,34.25,27.99,27.99,100,,78,4.4,Y,32,28.70,4.5
Josh Richardson,SG,PHI,vs SAS,3rd,113.75,6300,0,15.1,28.0,3.8,0.84,30.31,8.33,7.55,0,21.0,12.6,33.3,0.00,0.00,0.00,100,,73,0,,,,
Bojan Bogdanovic,SF,UTA,vs GSW,17th,112.25,6300,12.3,41.5,28.8,1.8,0.89,31.96,8.85,8.33,7.19,26.5,15.4,32.5,29.25,24.81,24.81,100,,71,3.9,Y,35,26.50,4.2
Caris LeVert,SG,BKN,vs SAC,12th,108.50,6200,0,15.3,27.7,4.0,0.88,31.67,5.18,7.64,0,25.4,15.6,31.4,0.00,0.00,0.00,100,,72,0,,,,
Luke Kennard,SF,DET,vs ATL,15th,116.25,6100,15.9,43.3,28.3,4.2,0.83,29.74,7.27,7.83,7.27,20.5,13.1,34.2,36.00,27.63,27.63,100,,72,4.5,Y,31,35.30,5.8
Danilo Gallinari,SF,OKC,vs LAL,3rd,102.75,6100,21.6,42.4,28.2,1.6,0.95,34.27,6.07,5.93,5.06,24.4,12.4,29.6,30.00,30.54,30.54,100,,79,5,Y,32,26.30,4.3
Larry Nance Jr.,SF,CLE,@ DAL,12th,105.75,6100,12.6,39.3,24.2,1.2,0.96,34.59,10.39,7.64,6.71,15.4,7.3,25.2,23.25,24.03,24.03,100,,68,3.9,,20,11.00,1.8
Will Barton,SF,DEN,vs BOS,19th,105.75,6100,13.2,39.7,31.7,2.7,1.00,36.04,5.51,7.57,4.52,19.0,12.1,31.6,29.50,24.57,24.57,100,,76,4,Y,34,21.70,3.6
Justise Winslow,SF,MIA,@ CHI,10th,110.25,6000,0,27.4,32.2,4.8,0.89,32.02,10.71,13.69,0,20.7,14.4,36.2,0.00,0.00,0.00,100,,57,0,,,,
Alec Burks,SF,GSW,@ UTA,10th,96.25,6000,8.9,49.4,25.0,2.5,0.92,33.14,10.08,11.56,9.17,21.2,10.5,27.2,32.75,26.25,26.25,100,,54,4.4,Y,35,42.70,7.1
Eric Paschall,PF,GSW,@ UTA,1st,96.25,6000,11,50.4,26.0,1.3,0.83,29.92,9.27,11.26,9.33,20.9,12.5,31.3,36.25,27.85,27.85,100,,57,4.6,Y,30,29.90,5
