Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Christian Djoos,,,D,3700,DET,@TB,1,D1,P1,1.98,16.9,16.3,16.3,1.8,1.6,1.6,8.0,6.4,6.4,1.7,11.1,5.0,1.4,6.4,1.7
Frank Vatrano,1,,W,3700,FLA,NSH,0,L3,P2,3.15,13.6,14.0,14.0,3.2,3.0,3.0,5.4,7.2,7.2,1.4,13.0,8.8,2.4,0.0,0.0
Barclay Goodrow,,,W,3700,TB,DET,1,L3,,3.52,14.4,13.9,13.9,1.0,1.1,1.1,6.1,6.8,6.8,1.5,12.1,5.8,1.6,30.4,8.2
Dan DeKeyser,,,D,3700,DET,@TB,1,,,1.98,15.2,15.5,15.5,0.8,0.8,0.8,5.9,4.4,4.4,-0.4,9.2,0.0,0.0,0.0,0.0
Sean Walker,,D,D,3700,LA,@VGK,2,,,2.43,16.0,16.3,16.3,1.4,1.0,1.0,8.1,6.9,6.9,1.4,12.5,0.0,0.0,0.0,0.0
MacKenzie Weegar,,,D,3700,FLA,NSH,0,D1,,3.15,23.5,23.5,23.5,2.2,2.0,2.0,6.7,6.9,6.9,1.9,11.8,6.5,1.8,16.0,4.3
Nicolas Deslauriers,,,W,3700,ANH,SJ,2,L4,,2.76,10.9,11.3,11.3,0.6,1.4,1.4,5.9,7.8,7.8,-1.2,16.8,4.1,1.1,3.2,0.9
Oskar Lindblom,1,,W,3700,PHI,BOS,1,L2,P2,2.55,15.6,15.5,15.5,1.2,1.5,1.5,4.5,6.8,6.8,0.7,12.8,8.2,2.2,3.2,0.9
Mario Ferraro,,,D,3700,SJ,@ANH,7,D2,P2,2.74,21.6,21.9,21.9,1.6,1.8,1.8,8.6,8.7,8.7,3.7,13.6,4.4,1.2,3.2,0.9
Jack Studnicka,,D,W,3600,BOS,@PHI,1,,,2.95,13.9,13.5,13.5,1.2,1.0,1.0,4.6,3.9,3.9,-2.6,10.3,0.0,0.0,0.0,0.0
