Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,9000,BOS,STL,19.5,40.8
Matthew Murray,8700,PIT,DAL,18.3,40.0
Ben Bishop,8500,DAL,PIT,19.1,11.2
Carey Price,8400,MON,TOR,18.0,27.2
Ryan Miller,8200,ANH,COL,16.9,32.0
Jordan Binnington,8100,STL,BOS,14.1,8.8
David Rittich,8100,CGY,WPG,16.9,26.4
Joonas Korpisalo,7800,CLS,PHI,13.6,7.2
Curtis McElhinney,7800,TB,NSH,20.3,17.6
Connor Hellebuyck,7600,WPG,CGY,17.0,31.2
Pavel Francouz,7600,COL,ANH,21.2,1.6
Brian Elliott,7600,PHI,CLS,19.5,13.6
Alex Stalock,7400,MIN,LA,18.7,32.0
Juuse Saros,7400,NSH,TB,14.5,26.4
Jon Quick,7200,LA,MIN,16.3,-2.4
Michael Hutchinson,7200,TOR,MON,15.6,6.4
