Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Nikola Jokic,10,,C,11200,DEN,@PHO,0,109,31,32,99,108,-2%,24,21,17,34,36,35,63.5,57.7,46.6,68.7,34.5,52.3,4.7,42,61.4,5.5
Luka Doncic,20,,PG,10800,DAL,HOU,0,115,36,26,104,106,4%,22,22,21,37,36,35,54.9,54.0,38.2,69.8,36.0,57.8,5.4,29.5,44.0,4.1
Kevin Durant,11,,SF,10700,BKN,MIA,2,120,31,28,102,109,14%,23,22,20,43,38,36,58.3,52.0,41.1,62.8,36.5,49.5,4.6,36.9,43.8,4.1
Karl-Anthony Towns,,O,C,10500,MIN,NOR,9,104,27,27,100,110,-4%,17,16,16,36,33,33,50.6,50.6,48.6,52.6,0.0,0.0,0.0,,0.0,0.0
Joel Embiid,5,,C,10200,PHI,@DET,0,111,30,31,101,110,4%,17,16,16,32,30,31,51.6,50.1,33.1,67.0,31.5,47.1,4.6,35.1,57.3,5.6
James Harden,9,,SG,10200,BKN,MIA,0,120,30,23,102,109,4%,14,17,17,44,40,38,50.7,49.8,37.0,62.7,37.0,50.2,4.9,38.5,30.9,3.0
LeBron James,12,,SF,9900,LAL,@CHI,1,118,33,24,107,111,3%,21,18,18,38,33,33,43.3,44.9,37.0,52.9,34.0,48.3,4.9,28.5,39.2,4.0
Anthony Davis,12,,PF,9800,LAL,@CHI,1,118,26,25,107,111,-8%,17,14,16,37,33,33,49.1,46.5,36.0,57.0,34.0,48.4,4.9,28.4,56.7,5.8
Stephen Curry,5,,PG,9700,GSW,@UTA,1,111,32,23,101,105,-15%,18,20,20,33,35,34,42.1,44.4,32.1,56.8,35.5,44.5,4.6,27.1,41.9,4.3
Kyrie Irving,6,,PG,9400,BKN,MIA,0,120,31,27,102,109,2%,26,22,21,40,36,34,50.1,46.9,38.5,55.4,34.5,43.8,4.7,36.4,46.7,5.0
Zach LaVine,10,,SG,9300,CHI,LAL,0,109,29,22,103,103,3%,14,16,18,37,38,36,48.5,43.3,30.7,56.0,36.0,43.7,4.7,36.2,35.0,3.8
Christian Wood,,O,PF,9100,HOU,@DAL,2,108,26,23,101,105,2%,17,18,18,32,33,34,44.6,44.0,34.6,53.5,0.0,0.0,0.0,,0.0,0.0
Victor Oladipo,2,O,SG,8800,HOU,@DAL,0,108,34,16,101,105,0%,19,20,18,33,33,33,39.4,38.0,30.2,45.7,0.0,0.0,0.0,,0.0,0.0
Bam Adebayo,23,,PF,8700,MIA,@BKN,0,112,24,23,104,109,4%,14,11,11,34,32,32,40.0,39.4,29.7,49.2,34.0,46.7,5.4,37.9,62.5,7.2
Kristaps Porzingis,4,O,PF,8700,DAL,HOU,0,115,25,23,104,106,-3%,15,16,16,33,32,30,39.8,37.6,28.9,46.4,0.0,0.0,0.0,,0.0,0.0
Jimmy Butler,,O,SF,8600,MIA,@BKN,8,112,26,22,104,109,-10%,19,12,13,35,28,29,34.9,37.1,18.5,55.7,0.0,0.0,0.0,,0.0,0.0
Donovan Mitchell,13,,SG,8500,UTA,GSW,1,118,32,19,107,108,1%,17,18,20,34,33,34,40.5,36.8,29.1,44.5,35.0,40.1,4.7,27.5,41.4,4.9
Jerami Grant,6,,SF,8500,DET,PHI,0,105,26,21,105,104,-7%,19,19,19,38,36,37,44.3,41.3,31.2,51.4,36.0,40.6,4.8,35.3,33.3,3.9
Rudy Gobert,10,,C,8400,UTA,GSW,1,118,17,21,107,108,2%,8,7,8,30,29,30,37.3,38.8,31.8,45.7,32.5,41.8,5.0,24.1,33.8,4.0
D'Angelo Russell,,O,SG,8100,MIN,NOR,0,104,31,17,100,110,1%,13,18,17,26,30,31,37.6,34.4,21.1,47.8,0.0,0.0,0.0,,0.0,0.0
Ben Simmons,13,,PG,7900,PHI,@DET,0,111,21,16,101,110,-3%,8,7,9,35,34,34,38.3,38.8,31.5,46.2,34.0,39.6,5.0,34.5,51.3,6.5
Zion Williamson,17,,PF,7900,NOR,@MIN,1,113,28,24,104,110,-5%,17,18,17,35,35,34,38.6,38.7,31.0,46.4,34.5,41.3,5.2,37.9,40.7,5.2
Deandre Ayton,4,,C,7800,PHO,DEN,0,107,19,20,101,110,-14%,14,12,11,36,33,31,39.9,35.0,24.0,46.0,34.5,39.3,5.0,37.6,37.1,4.8
Brandon Ingram,10,,SF,7700,NOR,@MIN,1,113,28,20,104,110,-6%,16,17,18,34,35,36,32.1,39.4,28.7,50.1,35.0,40.1,5.2,36.6,33.8,4.4
John Wall,3,,PG,7600,HOU,@DAL,6,108,26,16,101,105,-22%,13,13,15,32,33,34,30.4,35.4,23.4,47.3,31.5,36.6,4.8,20.7,19.2,2.5
Tobias Harris,7,,SF,7500,PHI,@DET,0,111,22,19,101,110,-1%,15,15,15,41,36,34,33.6,36.3,25.8,46.8,34.0,34.6,4.6,34.1,23.8,3.2
Mike Conley,3,,PG,7500,UTA,GSW,1,118,25,20,107,108,-4%,11,11,13,30,29,30,34.6,33.0,23.5,42.5,30.5,32.5,4.3,26.9,26.7,3.6
Devin Booker,,O,SG,7200,PHO,DEN,0,107,29,15,101,110,-6%,20,20,18,37,36,37,36.8,34.2,26.0,42.3,0.0,0.0,0.0,,0.0,0.0
Andrew Wiggins,3,,SG,7000,GSW,@UTA,1,111,22,14,101,105,5%,13,14,14,32,33,33,32.8,32.0,22.9,41.1,32.5,30.4,4.3,25.3,31.0,4.4
Chris Paul,19,,PG,6900,PHO,DEN,0,107,23,16,101,110,11%,12,11,12,35,34,33,33.2,33.8,25.6,42.0,32.0,36.9,5.3,42,55.3,8.0
Jamal Murray,5,,PG,6800,DEN,@PHO,0,109,25,15,99,108,-7%,15,19,16,31,35,35,35.4,32.1,19.2,45.0,34.5,30.8,4.5,43.3,41.7,6.1
Michael Porter,1,,SF,6700,DEN,@PHO,0,109,21,25,99,108,-16%,13,12,12,30,27,27,33.8,33.8,20.5,47.2,22.0,23.4,3.5,35.1,30.2,4.5
Lauri Markkanen,4,,PF,6700,CHI,LAL,0,109,22,19,103,103,-3%,15,14,13,32,30,30,28.9,30.3,21.0,39.6,31.5,30.7,4.6,35.9,22.9,3.4
Malik Beasley,8,,SF,6500,MIN,NOR,0,104,24,16,100,110,1%,13,17,16,30,32,32,32.6,30.0,21.2,38.8,33.5,32.7,5.0,31.4,27.7,4.3
Kendrick Nunn,9,,SG,6500,MIA,@BKN,0,112,23,15,104,109,-10%,14,11,9,37,28,22,27.9,20.0,2.4,37.6,33.5,30.4,4.7,32.4,30.5,4.7
Blake Griffin,,O,PF,6300,DET,PHI,0,105,19,12,105,104,-7%,9,10,12,34,33,34,25.8,28.2,18.3,38.0,0.0,0.0,0.0,,0.0,0.0
Jordan Clarkson,5,,SG,6200,UTA,GSW,1,118,27,21,107,108,1%,15,15,14,27,28,25,32.6,28.0,21.6,34.3,26.5,27.9,4.5,18.6,19.9,3.2
Dennis Schroder,3,,PG,6200,LAL,@CHI,1,118,23,12,107,111,-3%,13,12,13,33,31,31,26.8,27.2,18.8,35.6,31.5,27.7,4.5,25.6,15.6,2.5
Tyler Herro,,O,SG,6100,MIA,@BKN,2,112,24,13,104,109,-10%,21,16,14,36,34,34,32.5,30.0,18.8,41.3,0.0,0.0,0.0,,0.0,0.0
Will Barton,,,SF,6100,DEN,@PHO,0,109,19,13,99,108,-3%,9,10,10,29,31,29,26.7,25.1,16.9,33.3,28.0,22.9,3.8,20.8,7.4,1.2
Coby White,6,,PG,6100,CHI,LAL,0,109,23,11,103,103,-12%,14,13,14,32,35,35,29.4,29.8,19.5,40.2,33.0,29.8,4.9,32.1,26.4,4.3
Derrick Rose,1,O,SG,6100,DET,PHI,0,105,30,18,105,104,4%,13,11,13,24,23,25,26.1,28.3,19.1,37.4,0.0,0.0,0.0,,0.0,0.0
Wendell Carter,,O,C,5900,CHI,LAL,4,109,19,17,103,103,-5%,7,9,9,24,27,27,30.0,28.0,19.2,36.7,0.0,0.0,0.0,,0.0,0.0
Goran Dragic,14,,PG,5700,MIA,@BKN,0,112,27,15,104,109,-2%,14,13,12,31,29,28,27.4,27.4,19.1,35.6,31.0,31.3,5.5,30.5,29.7,5.2
Montrezl Harrell,1,,C,5700,LAL,@CHI,1,118,19,23,107,111,-8%,8,9,9,27,25,25,28.2,26.4,19.8,33.1,25.0,27.4,4.8,29,16.0,2.8
Delon Wright,4,,PG,5600,DET,PHI,0,105,16,14,105,104,7%,11,8,7,27,27,27,27.9,23.4,13.0,33.8,30.0,28.3,5.1,35.7,27.4,4.9
Kelly Oubre,4,,SF,5600,GSW,@UTA,1,111,21,9,101,105,7%,11,12,12,31,32,28,31.9,25.8,17.1,34.6,31.5,28.4,5.1,24.3,7.9,1.4
Mikal Bridges,9,,SF,5500,PHO,DEN,0,107,16,19,101,110,-6%,11,12,10,37,33,33,34.7,29.9,21.8,38.1,35.0,29.8,5.4,36.3,22.0,4.0
Kelly Olynyk,2,,C,5500,MIA,@BKN,0,112,17,12,104,109,4%,8,8,9,24,27,28,20.6,24.5,15.0,34.0,26.5,26.1,4.7,21.7,27.2,4.9
Shake Milton,,,PG,5500,PHI,@DET,0,111,24,18,101,110,-3%,9,13,11,24,29,26,30.4,25.3,12.4,38.3,23.5,20.2,3.7,21.7,14.1,2.6
Lonzo Ball,5,,PG,5400,NOR,@MIN,1,113,21,9,104,110,8%,13,12,12,25,32,32,22.2,25.8,14.8,36.8,29.0,25.7,4.8,29.8,34.3,6.4
Steven Adams,7,,C,5400,NOR,@MIN,1,113,14,17,104,110,18%,9,7,7,31,32,32,27.7,29.9,22.7,37.0,31.5,31.1,5.8,23.3,8.6,1.6
Tim Hardaway Jr.,9,,SG,5400,DAL,HOU,0,115,21,15,104,106,4%,13,14,14,36,34,32,23.7,26.4,17.1,35.7,35.0,29.5,5.5,30.6,17.4,3.2
Willie Cauley-Stein,1,,C,5300,DAL,HOU,0,115,14,15,104,106,5%,7,7,4,17,22,19,19.5,17.5,7.2,27.9,28.0,28.6,5.4,18.3,12.6,2.4
Ricky Rubio,3,,PG,5300,MIN,NOR,0,104,17,11,100,110,5%,6,5,6,20,25,24,24.8,20.5,12.8,28.2,26.0,25.8,4.9,28.5,26.9,5.1
Eric Gordon,13,,SF,5200,HOU,@DAL,0,108,23,15,101,105,0%,18,13,13,35,29,28,20.9,24.1,14.6,33.6,33.5,28.9,5.6,30.3,37.6,7.2
Bojan Bogdanovic,1,,SF,5100,UTA,GSW,1,118,20,10,107,108,-4%,11,11,12,29,29,30,23.4,20.4,11.2,29.6,30.5,22.7,4.5,26,33.4,6.5
Draymond Green,5,,PF,5100,GSW,@UTA,1,111,14,9,101,105,-5%,5,5,4,21,26,26,21.0,21.6,14.0,29.3,29.5,26.1,5.1,24.7,15.8,3.1
Eric Bledsoe,11,,PG,5100,NOR,@MIN,1,113,20,12,104,110,8%,11,10,10,26,27,29,20.7,23.2,13.5,33.0,29.0,25.4,5.0,34.2,40.5,7.9
Mason Plumlee,1,,C,5100,DET,PHI,0,105,16,16,105,104,-12%,7,8,6,24,27,27,24.8,27.4,18.7,36.2,25.5,26.5,5.2,19.5,15.0,2.9
Otto Porter,,O,SF,5000,CHI,LAL,0,109,20,18,103,103,1%,10,10,10,23,25,25,25.1,26.3,15.2,37.4,0.0,0.0,0.0,,0.0,0.0
David Nwaba,,,SG,5000,HOU,@DAL,0,108,15,12,101,105,0%,9,8,7,22,24,24,24.2,18.8,9.6,27.9,23.0,17.6,3.5,26.9,27.9,5.6
Dorian Finney-Smith,,O,SF,4900,DAL,HOU,15,115,13,12,104,106,0%,10,8,8,35,30,29,23.2,22.3,12.6,31.9,0.0,0.0,0.0,,0.0,0.0
DeMarcus Cousins,17,,C,4900,HOU,@DAL,0,108,27,10,101,105,4%,10,9,7,24,20,16,22.3,20.8,9.7,31.8,29.5,41.4,8.4,29.8,51.9,10.6
Duncan Robinson,2,,SF,4900,MIA,@BKN,0,112,15,12,104,109,-10%,8,10,10,36,36,33,23.1,22.4,15.5,29.3,35.5,25.2,5.1,41.8,23.5,4.8
Naz Reid,8,,C,4800,MIN,NOR,0,104,19,18,100,110,-3%,8,7,8,27,25,21,23.8,22.3,12.1,32.4,26.0,28.1,5.9,27.4,29.8,6.2
Monte Morris,1,,PG,4800,DEN,@PHO,0,109,17,17,99,108,-3%,11,9,9,27,27,26,22.1,22.1,14.0,30.3,24.0,18.4,3.8,36.3,21.3,4.4
James Wiseman,3,,C,4800,GSW,@UTA,1,111,23,15,101,105,-5%,10,10,9,25,23,21,25.8,23.8,15.9,31.7,24.0,25.1,5.2,24.8,26.0,5.4
Talen Horton-Tucker,,,SG,4800,LAL,@CHI,4,118,21,14,107,111,-3%,3,5,6,8,15,16,15.6,15.5,6.4,24.6,0.0,0.0,0.0,21.2,13.4,2.8
Josh Hart,,,SF,4800,NOR,@MIN,1,113,12,12,104,110,13%,5,6,6,25,28,28,20.8,22.0,15.8,28.3,25.5,20.1,4.2,28.5,13.6,2.8
Royce O'Neale,2,,PF,4800,UTA,GSW,1,118,9,10,107,108,-4%,6,5,5,34,33,33,18.2,21.5,12.3,30.7,33.5,22.5,4.7,26.5,17.3,3.6
Trey Burke,,,PG,4800,DAL,HOU,0,115,20,14,104,106,6%,13,11,10,26,27,23,21.6,18.9,10.0,27.8,26.5,20.8,4.3,23.8,24.7,5.1
DeAndre Jordan,1,,C,4800,BKN,MIA,0,120,12,14,102,109,-14%,6,5,3,25,28,21,25.6,19.4,10.8,28.1,24.5,21.9,4.6,20.6,23.6,4.9
Nickeil Alexander-Walker,4,,SG,4700,NOR,@MIN,1,113,25,15,104,110,13%,10,12,9,24,27,20,27.0,19.3,6.7,31.8,20.0,19.1,4.1,21.1,13.1,2.8
Paul Millsap,,,PF,4700,DEN,@PHO,0,109,18,17,99,108,-3%,9,7,7,23,22,24,26.1,21.2,13.1,29.3,22.0,18.6,4.0,19.9,13.1,2.8
Gary Harris,2,,SG,4600,DEN,@PHO,0,109,15,10,99,108,-3%,11,11,9,32,30,31,23.6,19.1,12.0,26.3,31.0,18.4,4.0,36.6,15.6,3.4
Jarred Vanderbilt,12,,PF,4600,MIN,NOR,0,104,14,17,100,110,0%,7,4,4,22,22,19,19.1,21.0,10.1,31.9,25.5,26.0,5.7,21.2,38.2,8.3
Jeff Green,3,,PF,4600,BKN,MIA,0,120,10,11,102,109,14%,9,7,5,36,34,24,22.1,14.6,6.5,22.8,28.0,16.9,3.7,26.1,20.5,4.5
