Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Connor McDavid,C,8800,EDM,VAN,1,16.2,9.6
Nathan MacKinnon,C,8700,COL,STL,1,15.7,6.4
Steven Stamkos,W,8400,TB,CHI,1,13.3,37.5
Auston Matthews,C,8400,TOR,MON,1,16.0,20.8
Leon Draisaitl,C,8400,EDM,VAN,2,15.3,9.6
Sidney Crosby,C,8200,PIT,PHI,1,12.6,17.3
Patrick Kane,W,8100,CHI,TB,1,14.0,6.4
Brayden Point,C,7900,TB,CHI,1,11.5,27.4
Mikko Rantanen,W,7900,COL,STL,1,12.0,8.0
Evgeni Malkin,C,7700,PIT,PHI,2,13.5,6.4
Jake Guentzel,W,7700,PIT,PHI,1,13.4,1.6
John Tavares,C,7600,TOR,MON,2,11.9,36.5
Mitchell Marner,W,7600,TOR,MON,1,12.6,11.7
Brendan Gallagher,W,7300,MON,TOR,1,10.5,4.8
Claude Giroux,W,7300,PHI,PIT,2,10.2,12.8
Sean Couturier,C,7200,PHI,PIT,1,10.8,11.2
Victor Hedman,D,6800,TB,CHI,25,10.7,28.2
Ryan O'Reilly,C,6800,STL,COL,1,9.9,9.6
Gabriel Landeskog,W,6700,COL,STL,2,11.0,8.0
David Perron,W,6600,STL,COL,1,9.1,3.2
William Nylander,W,6600,TOR,MON,2,10.4,38.9
Brock Boeser,W,6600,VAN,EDM,1,10.6,30.4
Jakub Voracek,W,6600,PHI,PIT,3,8.6,1.6
Kris Letang,D,6600,PIT,PHI,32,10.8,6.4
Jason Zucker,W,6400,PIT,PHI,2,8.7,3.2
Nazem Kadri,C,6400,COL,STL,2,8.4,1.6
Travis Konecny,W,6300,PHI,PIT,1,10.3,18.4
Bo Horvat,C,6200,VAN,EDM,2,10.5,26.4
Cale Makar,D,6100,COL,STL,38,10.0,6.4
Mike Hoffman,W,6000,STL,COL,2,10.0,0.0
Brayden Schenn,C,5800,STL,COL,1,9.0,3.2
Tomas Tatar,W,5700,MON,TOR,1,9.5,15.7
Jaden Schwartz,W,5700,STL,COL,2,9.0,14.4
Morgan Rielly,D,5600,TOR,MON,43,10.2,18.4
Kevin Hayes,C,5600,PHI,PIT,2,8.4,23.2
Ondrej Palat,W,5500,TB,CHI,1,7.9,15.7
Dominik Kubalik,W,5500,CHI,TB,2,8.6,0.0
Alex DeBrincat,W,5500,CHI,TB,1,10.5,3.2
Quinn Hughes,D,5500,VAN,EDM,49,9.2,22.4
Shea Weber,D,5400,MON,TOR,50,9.6,11.7
Bryan Rust,W,5400,PIT,PHI,2,10.7,3.2
Nick Suzuki,C,5400,MON,TOR,2,8.2,22.1
Ivan Provorov,D,5300,PHI,PIT,53,8.7,1.6
Torey Krug,D,5200,STL,COL,55,9.4,6.4
Alex Killorn,W,5200,TB,CHI,2,7.1,20.8
Duncan Keith,D,5100,CHI,TB,57,7.6,8.0
Tyler Toffoli,W,5000,MON,TOR,3,8.7,4.8
Colton Parayko,D,4900,STL,COL,59,8.4,6.4
Zach Hyman,W,4900,TOR,MON,3,8.5,13.3
Tanner Pearson,W,4800,VAN,EDM,2,8.2,20.8
Kailer Yamamoto,W,4800,EDM,VAN,2,9.2,20.0
Anthony Cirelli,C,4700,TB,CHI,2,8.2,28.0
Samuel Girard,D,4700,COL,STL,65,7.0,13.3
Jonathan Drouin,W,4600,MON,TOR,2,7.8,26.1
Dylan Strome,C,4600,CHI,TB,1,8.8,13.6
Darnell Nurse,D,4600,EDM,VAN,69,8.9,18.4
Zachary Sanford,W,4600,STL,COL,3,6.6,14.4
Brandon Saad,W,4600,COL,STL,2,7.4,0.0
Phillip Danault,C,4500,MON,TOR,1,7.8,1.6
Ryan McDonagh,D,4500,TB,CHI,74,6.2,4.8
Jeff Petry,D,4400,MON,TOR,77,8.0,24.5
Nate Schmidt,D,4400,VAN,EDM,78,7.9,8.0
Joel Armia,W,4300,MON,TOR,3,7.1,0.0
J.T. Compher,C,4200,COL,STL,3,6.9,13.3
Yanni Gourde,C,4200,TB,CHI,3,6.4,3.2
Devon Toews,D,4200,COL,STL,88,7.4,1.6
Joe Thornton,W,4200,TOR,MON,1,5.1,3.2
Blake Coleman,W,4200,TB,CHI,3,6.9,4.8
Alexander Kerfoot,W,4100,TOR,MON,3,6.4,0.0
Kyle Turris,C,4100,EDM,VAN,3,5.9,3.2
Joel Farabee,W,4000,PHI,PIT,2,6.3,43.4
Zack Kassian,W,4000,EDM,VAN,1,5.3,11.2
Dominik Kahun,W,3900,EDM,VAN,2,6.8,16.0
Josh Anderson,W,3900,MON,TOR,2,7.3,35.2
Robert Thomas,C,3900,STL,COL,2,7.5,16.0
John Marino,D,3900,PIT,PHI,106,6.1,1.6
Brandon Tanev,W,3800,PIT,PHI,3,5.8,23.2
Ethan Bear,D,3800,EDM,VAN,113,6.1,12.8
Mattias Janmark,W,3800,CHI,TB,3,5.2,1.6
T.J. Brodie,D,3700,TOR,MON,121,5.7,4.8
Andrew Shaw,W,3700,CHI,TB,3,6.4,9.6
Joonas Donskoi,W,3600,COL,STL,3,6.5,1.6
Evan Rodrigues,W,3600,PIT,PHI,1,5.0,4.8
Jimmy Vesey,W,3600,TOR,MON,2,5.4,15.2
Tyler Bozak,C,3600,STL,COL,3,5.8,11.2
Ilya Mikheyev,W,3600,TOR,MON,3,8.2,8.0
Nolan Patrick,C,3500,PHI,PIT,3,6.9,17.3
Oskar Lindblom,W,3500,PHI,PIT,1,8.2,14.4
Brandon Sutter,C,3500,VAN,EDM,3,5.1,6.4
Jake Virtanen,W,3500,VAN,EDM,1,8.3,1.6
Jared McCann,W,3500,PIT,PHI,3,7.7,14.4
Barclay Goodrow,W,3500,TB,CHI,3,5.8,1.6
Lucas Wallmark,C,3400,CHI,TB,3,5.4,3.2
Tyler Motte,W,3400,VAN,EDM,3,4.8,4.8
Mark Jankowski,C,3300,PIT,PHI,3,4.4,21.6
Jordan Kyrou,W,3300,STL,COL,3,5.0,16.8
Jay Beagle,C,3200,VAN,EDM,3,3.0,1.6
Josh Archibald,W,3200,EDM,VAN,3,5.1,1.6
Nils Hoglander,W,3000,VAN,EDM,2,0.0,18.4
Mathieu Joseph,W,3000,TB,CHI,2,3.5,16.8
Pius Suter,W,3000,CHI,TB,2,0.0,6.4
Brandon Pirri,W,3000,CHI,TB,2,6.3,3.2
