Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Giannis Antetokounmpo,SF,MIL,vs UTA,11th,117.75,12500,41.6,80,60.6,6.4,1.86,66.98,9.79,10.98,8.91,36.1,19.5,32.6,32.75,58.08,58.08,100,,82,4.6,Y,38,81.80,6.5
Anthony Davis,PF,LAL,@ SAS,24th,113.25,11800,43.6,79.2,52.0,3.6,1.49,53.72,11.24,10.17,10.93,29.9,18.3,34.9,35.00,58.81,58.81,100,,80,5,Y,33,54.40,4.6
Karl-Anthony Towns,C,MIN,@ ATL,17th,120.00,11600,30.6,79.1,52.0,3.6,1.57,56.40,16.47,13.85,14.98,27.7,17.4,33.2,32.75,51.42,51.42,100,,73,4.4,Y,32,56.60,4.9
LeBron James,SF,LAL,@ SAS,30th,113.25,11400,35.5,80.4,52.7,10.8,1.50,53.90,11.85,12.82,11.93,31.3,19.8,35.2,36.25,54.77,54.77,100,,76,4.8,Y,35,57.60,5.1
Joel Embiid,C,PHI,@ TOR,11th,106.75,10200,33.1,69.6,45.8,3.0,1.57,56.57,9.22,10.43,8.07,32.7,16.2,29.2,31.50,48.74,48.74,100,,77,4.8,Y,32,14.60,1.4
Kyrie Irving,PG,BKN,@ CLE,20th,108.00,9900,0,25.3,48.3,7.2,1.43,51.42,10.90,12.67,0,32.4,22.9,33.8,0.00,0.00,0.00,100,,74,0,,,,
Andre Drummond,C,DET,vs ORL,6th,105.50,9800,24.9,74.2,49.8,3.1,1.45,52.07,11.22,14.09,10.6,25.6,14.3,34.4,34.00,46.04,46.04,100,,72,4.7,Y,30,30.10,3.1
Trae Young,PG,ATL,vs MIN,21st,116.00,9700,15.9,73.7,44.5,8.7,1.30,47.00,12.20,16.50,11.61,32.8,19.5,34.1,34.25,40.67,40.67,100,,63,4.2,Y,35,50.70,5.2
Jimmy Butler,SG,MIA,vs CHA,21st,111.25,9600,25.2,56.3,43.7,6.7,1.29,46.50,10.96,8.88,10.43,25.0,12.8,33.8,34.25,38.56,38.56,100,,80,4,Y,31,38.10,4
Damian Lillard,PG,POR,@ CHI,1st,113.50,9500,30,63.8,47.3,7.2,1.24,44.73,8.82,9.65,8.82,28.6,19.9,38.1,36.00,44.46,44.46,100,,80,4.7,Y,27,38.40,4
Pascal Siakam,SF,TOR,vs PHI,12th,105.75,9300,23.6,58.7,43.7,4.1,1.18,42.56,9.14,10.03,9.71,29.4,20.3,36.9,38.25,38.64,38.64,100,,77,4.2,Y,40,45.90,4.9
Domantas Sabonis,PF,IND,vs MEM,18th,113.00,8900,30.1,58.1,41.3,3.6,1.21,43.39,9.76,7.99,9.29,25.1,15.2,34.2,34.25,42.13,42.13,100,,81,4.7,Y,33,42.60,4.8
Kevin Love,PF,CLE,vs BKN,3rd,109.00,8800,0,21.5,36.8,2.7,1.15,41.29,10.03,10.75,0,23.2,11.9,32.1,0.00,0.00,0.00,100,,71,0,,,,
Bam Adebayo,PF,MIA,vs CHA,30th,111.25,8800,21.6,56.2,38.8,4.3,1.22,43.80,8.03,9.89,7.42,18.9,8.4,31.9,33.25,36.41,36.41,100,,75,4.1,Y,34,44.10,5
Donovan Mitchell,SG,UTA,@ MIL,9th,108.75,8700,26.6,57.1,41.0,3.9,1.17,42.15,8.39,8.71,8.39,31.4,20.8,35.0,36.00,39.69,39.69,100,,79,4.6,Y,34,26.70,3.1
Ben Simmons,PG,PHI,@ TOR,29th,106.75,8600,25.6,60.1,38.1,7.9,1.14,41.15,7.16,9.85,6.76,18.4,10.1,33.3,34.00,40.40,40.40,100,,74,4.7,Y,41,40.80,4.7
D'Angelo Russell,SG,GSW,vs OKC,19th,102.75,8600,0,37,39.3,6.7,1.25,45.02,14.98,18.49,0,31.5,18.7,31.4,0.00,0.00,0.00,100,,53,0,,,,
