Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ben Bishop,1,,G,9000,DAL,VGK,1,56%,2.58,52.5,55.0,55.0,0.926,0.926,22.7,18.4,18.4,4.0,32.7,19.6,2.2,24.8,2.8
Andrei Vasilevskii,1,,G,8700,TB,BUF,1,68%,2.66,59.2,59.6,59.6,0.908,0.908,18.4,18.0,18.0,4.3,31.7,21.6,2.5,26.4,3.0
David Rittich,,,G,8200,CGY,@PIT,1,41%,2.98,60.6,60.1,60.1,0.911,0.911,11.4,18.6,18.6,3.0,34.1,14.8,1.8,16.0,2.0
Thatcher Demko,,,G,7900,VAN,@PHI,1,43%,3.20,59.3,60.0,60.0,0.916,0.916,17.0,19.4,19.4,7.6,31.2,16.0,2.0,17.6,2.2
Martin Jones,,,G,7900,SJ,@LA,1,52%,2.93,61.4,57.2,57.2,0.889,0.889,17.8,13.1,13.1,1.3,24.9,16.1,2.0,26.4,3.3
Henrik Lundqvist,,,G,7800,NYR,MIN,1,48%,3.32,55.1,56.2,56.2,0.909,0.909,9.8,17.2,17.2,2.6,31.8,17.3,2.2,24.8,3.2
Thomas Greiss,1,,G,7800,NYI,@ANH,1,53%,2.66,61.6,58.1,58.1,0.934,0.934,27.7,24.4,24.4,13.6,35.1,19.8,2.5,4.0,0.5
Carter Hutton,,,G,7800,BUF,@TB,0,32%,3.84,60.2,60.4,60.4,0.909,0.909,9.4,18.2,18.2,-0.3,36.7,12.9,1.7,-0.8,-0.1
John Gibson,,,G,7700,ANH,NYI,1,47%,2.84,59.7,58.4,58.4,0.908,0.908,8.2,16.2,16.2,0.8,31.6,18.7,2.4,40.8,5.3
Tristan Jarry,1,,G,7700,PIT,CGY,2,59%,2.52,54.5,55.4,55.4,0.945,0.945,21.8,22.4,22.4,9.2,35.6,22.0,2.9,29.6,3.8
Malcolm Subban,,,G,7700,VGK,@DAL,1,43%,2.92,52.7,52.7,52.7,0.888,0.888,7.0,7.0,7.0,-1.6,15.7,15.1,2.0,3.2,0.4
Joonas Korpisalo,,,G,7600,CLS,OTT,1,60%,2.72,60.1,58.1,58.1,0.897,0.897,20.6,15.1,15.1,4.8,25.4,18.3,2.4,40.0,5.3
Jon Quick,,,G,7500,LA,SJ,1,48%,3.07,59.5,59.2,59.2,0.884,0.884,20.8,11.8,11.8,-2.0,25.7,16.2,2.2,0.8,0.1
Jake Allen,,,G,7400,STL,@NSH,1,43%,2.94,60.1,60.1,60.1,0.893,0.893,15.7,15.7,15.7,5.2,26.2,14.9,2.0,21.6,2.9
Craig Anderson,,,G,7400,OTT,@CLS,2,40%,3.28,53.3,54.8,54.8,0.901,0.901,14.7,13.1,13.1,1.4,24.8,16.4,2.2,10.4,1.4
Juuse Saros,,,G,7400,NSH,STL,1,56%,2.56,46.2,51.2,51.2,0.891,0.891,10.4,9.2,9.2,-1.6,19.9,19.5,2.6,22.4,3.0
Carter Hart,,,G,7400,PHI,VAN,1,56%,2.80,56.3,52.8,52.8,0.898,0.898,12.3,12.5,12.5,-3.3,28.2,18.7,2.5,20.8,2.8
Alex Stalock,,,G,7300,MIN,@NYR,1,52%,3.18,52.4,52.0,52.0,0.908,0.908,16.2,15.0,15.0,-0.8,30.8,15.9,2.2,10.4,1.4
