Player Name,Salary,Team,Opp,Proj FP,Actual FP
Ben Bishop,9000,DAL,VGK,19.6,24.8
Andrei Vasilevskii,8700,TB,BUF,21.6,26.4
David Rittich,8200,CGY,PIT,14.8,16.0
Thatcher Demko,7900,VAN,PHI,16.0,17.6
Martin Jones,7900,SJ,LA,16.1,26.4
Henrik Lundqvist,7800,NYR,MIN,17.3,24.8
Thomas Greiss,7800,NYI,ANH,19.8,4.0
Carter Hutton,7800,BUF,TB,12.9,-0.8
John Gibson,7700,ANH,NYI,18.7,40.8
Tristan Jarry,7700,PIT,CGY,22.0,29.6
Malcolm Subban,7700,VGK,DAL,15.1,3.2
Joonas Korpisalo,7600,CLS,OTT,18.3,40.0
Jon Quick,7500,LA,SJ,16.2,0.8
Jake Allen,7400,STL,NSH,14.9,21.6
Craig Anderson,7400,OTT,CLS,16.4,10.4
Juuse Saros,7400,NSH,STL,19.5,22.4
Carter Hart,7400,PHI,VAN,18.7,20.8
Alex Stalock,7300,MIN,NYR,15.9,10.4
