Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Nathan MacKinnon,,,C,8900,COL,@CHI,1,L1,P1,2.96,23.4,21.5,21.5,5.0,5.0,5.0,26.4,22.9,22.9,10.5,35.4,18.6,2.1,39.7,4.5
Alexander Ovechkin,,,W,8800,WAS,TB,1,L1,P1,3.33,20.1,21.1,21.1,3.8,4.8,4.8,11.0,18.8,18.8,5.5,32.2,17.0,1.9,25.3,2.9
Patrick Kane,,,W,8700,CHI,COL,2,L2,P1,3.04,22.8,21.3,21.3,5.2,3.6,3.6,20.4,18.5,18.5,7.6,29.4,17.5,2.0,16.8,1.9
Auston Matthews,,,C,8600,TOR,@BUF,1,L1,P1,3.54,18.6,19.7,19.7,2.8,3.7,3.7,11.3,18.6,18.6,5.6,31.6,18.1,2.1,9.6,1.1
Evgeni Malkin,,,C,8500,PIT,@CLS,1,L1,P1,3.09,20.4,18.3,18.3,4.2,3.9,3.9,25.8,19.5,19.5,5.1,34.0,15.4,1.8,20.8,2.4
Nikita Kucherov,,,W,8200,TB,@WAS,1,L1,P1,3.17,17.7,18.5,18.5,3.0,2.5,2.5,18.6,15.5,15.5,2.1,28.9,18.8,2.3,38.9,4.7
Jack Eichel,,,C,8100,BUF,TOR,1,L1,P1,2.96,22.6,21.5,21.5,3.4,3.6,3.6,19.1,19.2,19.2,3.5,34.9,17.5,2.2,44.8,5.5
Tyler Seguin,,,W,8100,DAL,STL,2,L1,P1,2.72,17.7,19.3,19.3,3.8,3.5,3.5,16.9,13.7,13.7,3.0,24.4,16.8,2.1,8.0,1.0
Sidney Crosby,,,C,8000,PIT,@CLS,13,,,3.09,19.0,20.5,20.5,3.4,2.7,2.7,12.0,14.3,14.3,3.3,25.3,0.0,0.0,0.0,0.0
Anze Kopitar,,,C,7900,LA,@SJ,1,L1,P1,2.72,23.4,20.9,20.9,2.2,2.1,2.1,15.9,15.2,15.2,6.0,24.3,13.1,1.7,1.6,0.2
Jake Guentzel,,,W,7800,PIT,@CLS,1,L1,P1,3.09,20.2,20.8,20.8,3.6,3.4,3.4,25.4,16.5,16.5,6.1,26.9,15.1,1.9,32.8,4.2
Claude Giroux,,,W,7800,PHI,DET,1,L2,P1,3.64,18.2,19.3,19.3,3.2,3.4,3.4,16.8,13.3,13.3,3.1,23.5,13.3,1.7,3.2,0.4
Steven Stamkos,,Q,C,7700,TB,@WAS,1,L2,P1,3.17,14.3,17.7,17.7,2.2,2.7,2.7,16.1,15.4,15.4,4.8,25.9,15.9,2.1,3.2,0.4
Mitchell Marner,,,W,7700,TOR,@BUF,18,,,3.54,19.8,19.7,19.7,2.0,2.7,2.7,10.2,14.6,14.6,4.0,25.2,0.0,0.0,0.0,0.0
Evander Kane,,,W,7600,SJ,LA,1,L1,P1,3.28,22.8,20.3,20.3,3.2,3.7,3.7,9.9,16.2,16.2,3.3,29.0,13.1,1.7,4.8,0.6
Patrik Laine,,,W,7600,WPG,@ANH,1,L1,P2,2.68,18.7,19.2,19.2,2.2,3.2,3.2,15.3,15.3,15.3,4.3,26.3,13.7,1.8,19.7,2.6
Evgeny Kuznetsov,,,C,7600,WAS,TB,1,L1,P1,3.33,19.9,18.3,18.3,2.0,2.6,2.6,10.9,14.5,14.5,4.0,24.9,13.1,1.7,26.9,3.5
Mikko Rantanen,,Q,W,7500,COL,@CHI,38,,,2.96,18.0,18.9,18.9,2.2,2.7,2.7,15.6,18.3,18.3,7.9,28.6,0.0,0.0,0.0,0.0
Sebastian Aho,,,C,7500,CAR,NSH,1,L1,P1,3.42,19.5,19.5,19.5,4.0,3.2,3.2,18.2,14.2,14.2,4.0,24.4,15.4,2.1,0.0,0.0
Mark Scheifele,,,C,7400,WPG,@ANH,1,L1,P1,2.68,20.8,21.6,21.6,2.0,2.2,2.2,9.8,13.1,13.1,4.3,21.9,14.2,1.9,8.0,1.1
John Carlson,,,D,7400,WAS,TB,1,D1,P1,3.33,24.9,25.3,25.3,2.0,2.7,2.7,12.4,19.5,19.5,9.1,30.0,13.8,1.9,11.2,1.5
Filip Forsberg,,,W,7400,NSH,@CAR,1,L1,P1,3.08,18.7,18.1,18.1,3.4,3.9,3.9,9.8,15.8,15.8,8.5,23.2,14.6,2.0,14.4,1.9
Brayden Point,,,C,7400,TB,@WAS,1,L1,P1,3.17,19.8,18.4,18.4,2.4,2.2,2.2,16.2,13.0,13.0,0.7,25.4,14.8,2.0,26.9,3.6
