Player Name,Salary,Team,Opp,Proj FP,Actual FP
Andrei Vasilevskii,8600,TB,NYI,18.7,0.8
Jordan Binnington,8100,STL,CLS,19.3,21.6
Jacob Markstrom,8000,VAN,ANH,17.4,13.6
Philipp Grubauer,8000,COL,DAL,20.7,13.6
Braden Holtby,7900,WAS,BUF,19.6,31.2
John Gibson,7900,ANH,VAN,18.6,39.2
Thomas Greiss,7700,NYI,TB,17.4,30.4
Carter Hart,7500,PHI,NJ,15.6,18.4
Anton Khudobin,7500,DAL,COL,16.4,38.4
Petr Mrazek,7500,CAR,DET,20.3,23.2
Linus Ullmark,7500,BUF,WAS,13.9,-1.6
Connor Hellebuyck,7400,WPG,SJ,15.0,44.8
Martin Jones,7300,SJ,WPG,16.7,0.8
Jimmy Howard,7300,DET,CAR,12.9,-7.2
Elvis Merzlikins,7100,CLS,STL,14.9,2.4
MacKenzie Blackwood,7100,NJ,PHI,17.1,10.4
