Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Marc-Andre Fleury,1,,G,8900,VGK,BOS,3,55%,2.62,59.9,59.9,59.9,0.965,0.965,30.0,30.0,30.0,22.6,37.4,18.1,2.0,8.8,1.0
Sergei Bobrovsky,1,,G,8600,FLA,CAR,2,54%,3.13,59.3,59.3,59.3,0.891,0.891,14.8,14.8,14.8,-0.5,30.1,18.1,2.1,-8.0,-0.9
Ben Bishop,,,G,8600,DAL,@WAS,1,42%,2.96,58.2,58.2,58.2,0.900,0.900,8.0,8.0,8.0,5.7,10.3,16.4,1.9,23.2,2.7
Tuukka Rask,1,,G,8500,BOS,@VGK,2,45%,2.88,59.8,59.8,59.8,0.966,0.966,30.4,30.4,30.4,30.4,30.4,15.7,1.8,24.8,2.9
Pekka Rinne,2,,G,8400,NSH,SJ,2,62%,2.66,60.0,60.0,60.0,0.917,0.917,21.6,21.6,21.6,21.6,21.6,20.1,2.4,30.4,3.6
Matthew Murray,1,,G,8400,PIT,WPG,2,61%,2.91,58.8,58.8,58.8,0.930,0.930,NaN,NaN,NaN,NaN,NaN,19.9,2.4,-1.6,-0.2
John Gibson,1,,G,8200,ANH,@DET,2,52%,2.71,60.0,60.0,60.0,0.971,0.971,NaN,NaN,NaN,NaN,NaN,19.8,2.4,32.8,4.0
Braden Holtby,1,,G,8100,WAS,DAL,2,57%,2.54,63.4,63.4,63.4,0.900,0.900,NaN,NaN,NaN,NaN,NaN,19.9,2.5,0.0,0.0
Semyon Varlamov,3,,G,7700,NYI,EDM,1,61%,2.68,58.8,58.8,58.8,0.929,0.929,12.8,12.8,12.8,12.8,12.8,20.9,2.7,-4.0,-0.5
David Rittich,1,,G,7700,CGY,LA,2,68%,2.47,59.6,59.6,59.6,0.938,0.938,26.4,26.4,26.4,-3.0,55.8,20.0,2.6,0.0,0.0
Martin Jones,,,G,7600,SJ,@NSH,2,38%,3.34,50.0,50.0,50.0,0.862,0.862,4.0,4.0,4.0,-2.8,10.8,12.8,1.7,0.0,0.0
Connor Hellebuyck,,,G,7400,WPG,@PIT,1,39%,3.59,59.1,59.1,59.1,0.839,0.839,0.8,0.8,0.8,0.8,0.8,14.5,2.0,0.0,0.0
James Reimer,1,,G,7300,CAR,@FLA,1,46%,3.37,64.0,64.0,64.0,0.941,0.941,29.6,29.6,29.6,29.6,29.6,13.3,1.8,0.0,0.0
Mikko Koskinen,,,G,7300,EDM,@NYI,2,39%,3.32,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,14.6,2.0,24.0,3.3
Jack Campbell,,,G,7300,LA,@CGY,2,32%,3.53,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,12.3,1.7,20.8,2.8
Jimmy Howard,,,G,7200,DET,ANH,1,48%,2.79,59.7,59.7,59.7,0.929,0.929,NaN,NaN,NaN,NaN,NaN,18.6,2.6,8.8,1.2
