Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF,LAL,@ PHX,4th,112.00,11700,45.7,78.1,53.5,3.2,1.53,55.07,12.32,9.25,12.06,31.4,19.3,35.0,35.25,59.59,59.59,100,,83,5.1,Y,38,52.40,4.5
LeBron James,SF,LAL,@ PHX,2nd,112.00,11500,29.2,84.7,53.2,11.0,1.52,54.51,12.31,15.88,12.05,30.6,18.8,35.1,35.25,52.98,52.98,100,,70,4.6,Y,37,42.90,3.7
Joel Embiid,C,PHI,vs CLE,27th,115.50,10800,33.8,71.2,45.5,3.0,1.64,59.25,8.60,10.70,7.47,33.6,15.0,27.7,31.25,49.82,49.82,100,,76,4.6,Y,35,59.20,5.5
Damian Lillard,PG,POR,@ SAC,14th,111.75,10500,36.1,61.4,52.1,6.8,1.35,48.75,7.06,7.25,7.45,30.2,22.3,38.5,38.00,46.93,46.93,100,,86,4.5,Y,38,43.30,4.1
Andre Drummond,C,DET,@ MIA,9th,102.75,10400,26,77.9,54.1,3.4,1.54,55.34,10.71,14.81,10.56,26.3,15.2,35.2,35.50,48.23,48.23,100,,73,4.6,Y,28,33.80,3.3
Kyrie Irving,PG,BKN,@ UTA,12th,106.75,9900,25.5,72.3,50.1,7.2,1.50,54.06,10.68,13.39,10.38,32.3,22.4,33.3,35.00,45.55,45.55,100,,73,4.6,Y,37,40.10,4.1
Trae Young,PG,ATL,@ DEN,7th,99.75,9600,8.9,79.3,44.4,8.4,1.37,49.22,14.96,20.12,14.65,34.6,19.8,32.5,35.25,39.06,39.06,100,,55,4.1,Y,41,60.30,6.3
Domantas Sabonis,PF,IND,vs OKC,7th,107.00,9500,30.9,60.9,43.4,4.1,1.21,43.72,10.16,8.58,10.3,23.9,15.3,35.8,36.50,43.72,43.72,100,,80,4.6,Y,29,41.20,4.3
Jimmy Butler,SG,MIA,vs DET,24th,111.75,9400,29.8,59.7,43.7,5.5,1.35,48.67,11.85,8.54,12.51,26.2,13.3,32.3,38.00,42.58,42.58,100,,80,4.5,Y,39,49.10,5.2
Nikola Jokic,C,DEN,vs ATL,14th,109.75,9000,29.2,70.5,40.3,6.0,1.29,46.48,6.09,11.81,5.46,25.5,14.7,31.2,32.25,46.89,46.89,100,,71,5.2,Y,31,44.70,5
Devin Booker,SG,PHX,vs LAL,2nd,109.00,8800,24.7,56.1,36.6,5.4,1.07,38.64,9.51,8.96,8.85,28.2,17.1,34.1,33.50,38.14,38.14,100,,76,4.3,Y,39,36.10,4.1
Malcolm Brogdon,PG,IND,vs OKC,25th,107.00,8700,18.4,49.6,41.8,8.9,1.24,44.64,9.46,8.91,8.74,27.2,16.0,33.7,33.25,31.79,31.79,100,,79,3.7,Y,25,31.70,3.6
Blake Griffin,PF,DET,@ MIA,21st,102.75,8600,0,0,32.4,6.0,1.35,48.60,0.00,0.00,0,33.9,12.0,24.0,0.00,0.00,0.00,100,,0,0,,,,
Kevin Love,PF,CLE,@ PHI,11th,104.50,8500,26.9,54.2,40.7,3.7,1.24,44.60,8.62,7.78,7.78,22.5,11.6,32.9,32.50,38.61,38.61,100,,81,4.5,Y,31,29.10,3.4
Hassan Whiteside,C,POR,@ SAC,16th,111.75,8500,27.9,62.9,37.0,0.8,1.33,47.78,11.91,10.00,9.93,21.0,10.4,27.9,30.00,42.87,42.87,100,,73,5,Y,21,25.90,3
Donovan Mitchell,SG,UTA,vs BKN,28th,112.75,8400,22,53.2,39.9,4.3,1.16,41.85,8.63,8.91,7.67,30.5,18.9,34.3,32.00,35.36,35.36,100,,78,4.2,Y,38,41.20,4.9
Bam Adebayo,PF,MIA,vs DET,10th,111.75,8200,27.7,57.6,38.8,4.9,1.22,43.75,6.05,8.53,6.26,18.1,7.6,31.9,37.25,40.51,40.51,100,,78,4.9,Y,28,33.80,4.1
Rudy Gobert,C,UTA,vs BKN,30th,112.75,8200,23.1,63,33.5,1.0,0.98,35.18,10.75,11.41,9.41,15.1,6.4,34.3,31.50,40.17,40.17,100,,66,4.9,Y,38,49.00,6
De'Aaron Fox,PG,SAC,vs POR,18th,110.75,8200,0,20.4,33.2,6.9,1.03,37.27,8.23,10.20,0,28.4,14.2,32.1,0.00,0.00,0.00,100,,69,0,,,,
Ben Simmons,PG,PHI,vs CLE,24th,115.50,8000,21,64.3,36.5,6.9,1.14,41.26,6.83,12.37,6.12,19.6,11.3,31.9,32.25,39.52,39.52,100,,66,4.9,Y,35,38.00,4.8
Tristan Thompson,C,CLE,@ PHI,12th,104.50,8000,19.5,52.4,40.3,2.6,1.20,43.28,8.23,9.40,7.54,19.3,13.1,33.6,33.00,33.60,33.60,100,,77,4.2,Y,33,31.40,3.9
Zach LaVine,SG,CHI,vs NYK,8th,108.75,7900,16.3,59.3,33.4,4.1,1.04,37.29,13.04,12.28,11.86,28.5,17.0,32.2,32.75,34.76,34.76,100,,63,4.4,Y,31,34.90,4.4
Marvin Bagley III,PF,SAC,vs POR,18th,110.75,7800,0,0,31.0,0.0,1.11,39.86,0.00,0.00,0,25.8,16.0,28.0,0.00,0.00,0.00,100,,0,0,,,,
Shai Gilgeous-Alexander,SG,OKC,@ IND,20th,106.00,7700,17.1,51.4,35.4,3.4,1.00,35.96,10.31,9.81,10.52,25.4,16.8,35.4,36.75,31.81,31.81,100,,72,4.1,Y,28,17.20,2.2
Julius Randle,PF,NYK,@ CHI,12th,102.75,7700,23,57.2,31.9,3.9,0.96,34.33,9.33,9.77,8.42,25.1,13.5,33.4,32.50,37.64,37.64,100,,69,4.9,Y,37,32.70,4.2
