Player Name,Salary,Team,Opp,Proj FP,Actual FP
Marc-Andre Fleury,9000,VGK,WAS,14.2,7.2
David Rittich,8700,CGY,STL,17.5,8.0
Matthew Murray,8600,PIT,CHI,22.0,27.2
Carey Price,8600,MON,LA,20.1,28.8
Frederik Andersen,8500,TOR,PHI,20.6,16.0
Jordan Binnington,8400,STL,CGY,14.0,25.6
Darcy Kuemper,8400,ARI,MIN,20.3,0.0
Braden Holtby,8000,WAS,VGK,17.0,28.0
Joonas Korpisalo,7500,CLS,COL,14.4,9.6
Juuse Saros,7400,NSH,SJ,18.0,20.8
Martin Jones,7400,SJ,NSH,14.6,27.2
Brian Elliott,7400,PHI,TOR,13.4,34.4
Pavel Francouz,7400,COL,CLS,19.4,35.2
Corey Crawford,7400,CHI,PIT,15.2,15.2
Anders Nilsson,7300,OTT,CAR,14.8,38.4
Devan Dubnyk,7300,MIN,ARI,16.0,25.6
James Reimer,7200,CAR,OTT,17.5,4.8
Jon Quick,7200,LA,MON,12.1,15.2
