Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Carl Hagelin,W,3500,WAS,VGK,3,0.0,0.0
Michael Raffl,W,3400,PHI,TOR,3,5.4,1.6
Matthew Nieto,W,3400,COL,CLS,1,6.7,12.8
Warren Foegele,W,3400,CAR,OTT,1,5.9,1.6
Ryan Hartman,W,3400,MIN,ARI,3,7.4,13.6
Luke Kunin,C,3400,MIN,ARI,3,8.2,0.0
Pierre-Edouard Bellemare,C,3400,COL,CLS,3,5.2,1.6
Cody Eakin,C,3400,VGK,WAS,3,7.6,10.1
Marcus Sorensen,W,3300,SJ,NSH,3,6.6,1.6
Zachary Sanford,W,3300,STL,CGY,2,6.4,3.2
David Kampf,C,3300,CHI,PIT,3,5.8,4.8
Nicholas Paul,W,3300,OTT,CAR,2,9.5,12.8
Ryan Donato,W,3300,MIN,ARI,3,10.3,1.6
Barrett Hayton,W,3300,ARI,MIN,1,7.6,0.0
Vincent Hinostroza,W,3300,ARI,MIN,2,9.8,18.4
Paul Byron,W,3300,MON,LA,3,8.7,3.2
Sonny Milano,W,3300,CLS,COL,3,7.6,3.2
Lucas Wallmark,C,3300,CAR,OTT,3,6.8,1.6
Trevor Moore,W,3300,TOR,PHI,3,5.6,4.8
Alan Quine,W,3200,CGY,STL,3,5.3,1.6
Matt Calvert,W,3200,COL,CLS,3,7.1,1.6
Tyler Ennis,W,3200,OTT,CAR,3,6.5,11.2
Blake Lizotte,C,3200,LA,MON,3,4.0,26.9
Rocco Grimaldi,W,3100,NSH,SJ,3,6.7,3.2
Carl Grundstrom,W,3100,LA,MON,3,6.0,8.0
Ryan Poehling,W,3100,MON,LA,3,6.2,1.6
Kirby Dach,W,3100,CHI,PIT,3,4.6,0.0
Michael Grabner,W,3100,ARI,MIN,2,7.3,13.6
Jacob De La Rose,C,3000,STL,CGY,3,4.8,0.0
Austin Wagner,W,3000,LA,MON,3,5.9,11.2
