Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jack Eichel,2,,C,8400,BUF,FLA,1,L1,P1,3.15,21.5,21.5,21.5,4.0,4.0,4.0,25.2,25.2,25.2,-0.4,50.9,17.5,2.1,9.6,1.1
Jeff Skinner,1,,W,7700,BUF,FLA,1,L2,P1,3.15,17.7,17.7,17.7,4.5,4.5,4.5,19.1,19.1,19.1,9.4,28.9,13.3,1.7,9.6,1.2
Aleksander Barkov,3,,C,7700,FLA,@BUF,2,L1,P1,3.35,21.4,21.4,21.4,2.0,2.0,2.0,12.1,12.1,12.1,0.6,23.6,16.4,2.1,6.4,0.8
Cam Atkinson,1,,W,7600,CLS,ANH,3,L1,P1,2.92,19.2,19.2,19.2,4.7,4.7,4.7,16.9,16.9,16.9,4.9,28.8,13.1,1.7,8.0,1.1
Mike Hoffman,,,W,7400,FLA,@BUF,2,L1,P1,3.35,18.8,18.8,18.8,4.0,4.0,4.0,28.8,28.8,28.8,13.7,43.8,12.5,1.7,26.4,3.6
Sebastian Aho,3,,C,7300,CAR,NYI,2,L1,P1,3.06,19.2,19.2,19.2,4.8,4.8,4.8,11.0,11.0,11.0,3.8,18.2,15.4,2.1,6.4,0.9
Jonathan Huberdeau,3,,W,7100,FLA,@BUF,2,L1,P1,3.35,19.8,19.8,19.8,2.0,2.0,2.0,12.2,12.2,12.2,5.3,19.2,14.4,2.0,12.8,1.8
Teuvo Teravainen,2,,W,6600,CAR,NYI,2,L1,P2,3.06,18.1,18.1,18.1,3.3,3.3,3.3,17.1,17.1,17.1,8.5,25.7,12.4,1.9,18.4,2.8
Victor Olofsson,,,W,6400,BUF,FLA,1,L1,P1,3.15,18.5,18.5,18.5,3.3,3.3,3.3,20.1,20.1,20.1,11.7,28.5,8.7,1.4,1.6,0.3
Anders Lee,,,W,6300,NYI,@CAR,2,L1,P1,2.44,17.1,17.1,17.1,1.0,1.0,1.0,6.7,6.7,6.7,-0.8,14.1,11.3,1.8,3.2,0.5
Ryan Getzlaf,,,C,6300,ANH,@CLS,0,L1,P2,2.58,17.1,17.1,17.1,1.5,1.5,1.5,9.0,9.0,9.0,3.2,14.8,11.5,1.8,1.6,0.3
Mathew Barzal,,,C,6300,NYI,@CAR,2,L1,P1,2.44,17.5,17.5,17.5,2.3,2.3,2.3,8.5,8.5,8.5,-0.8,17.9,13.0,2.1,4.8,0.8
Evgeni Dadonov,2,,W,6300,FLA,@BUF,2,L3,P1,3.35,16.8,16.8,16.8,5.0,5.0,5.0,12.7,12.7,12.7,4.8,20.6,12.4,2.0,23.2,3.7
Rasmus Dahlin,,,D,6300,BUF,FLA,1,D1,P1,3.15,18.6,18.6,18.6,1.3,1.3,1.3,18.4,18.4,18.4,12.8,24.0,11.1,1.8,4.8,0.8
Jakob Silfverberg,1,,W,6200,ANH,@CLS,0,L2,P1,2.58,17.5,17.5,17.5,2.3,2.3,2.3,9.4,9.4,9.4,-0.9,19.7,10.9,1.8,15.6,2.5
Sam Reinhart,,,W,6200,BUF,FLA,1,L1,P1,3.15,20.6,20.6,20.6,2.3,2.3,2.3,16.3,16.3,16.3,7.9,24.6,11.9,1.9,1.6,0.3
Vincent Trocheck,,,C,6200,FLA,@BUF,2,L2,P2,3.35,19.0,19.0,19.0,3.3,3.3,3.3,13.7,13.7,13.7,2.4,25.1,14.1,2.3,17.6,2.8
Rickard Rakell,2,,W,6000,ANH,@CLS,0,L2,P1,2.58,18.0,18.0,18.0,4.0,4.0,4.0,10.2,10.2,10.2,1.0,19.4,13.4,2.2,14.8,2.5
Keith Yandle,1,,D,5900,FLA,@BUF,2,D2,P1,3.35,20.2,20.2,20.2,4.0,4.0,4.0,14.5,14.5,14.5,3.5,25.4,10.8,1.8,4.8,0.8
Jordan Staal,,,C,5800,CAR,NYI,2,L2,P1,3.06,18.0,18.0,18.0,2.0,2.0,2.0,10.2,10.2,10.2,-0.4,20.8,9.5,1.6,12.8,2.2
Gustav Nyquist,1,,W,5600,CLS,ANH,3,L1,P1,2.92,15.8,15.8,15.8,1.3,1.3,1.3,7.2,7.2,7.2,-1.5,15.9,10.8,1.9,6.4,1.1
Seth Jones,1,,D,5600,CLS,ANH,3,D1,P1,2.92,25.8,25.8,25.8,3.0,3.0,3.0,11.2,11.2,11.2,4.2,18.2,12.9,2.3,19.2,3.4
Dougie Hamilton,2,,D,5500,CAR,NYI,2,D1,P2,3.06,22.8,22.8,22.8,2.5,2.5,2.5,19.2,19.2,19.2,7.6,30.8,11.7,2.1,28.0,5.1
Jordan Eberle,,,W,5400,NYI,@CAR,2,L1,P2,2.44,17.1,17.1,17.1,1.7,1.7,1.7,3.2,3.2,3.2,0.4,6.0,9.5,1.8,21.8,4.0
Andrei Svechnikov,1,,W,5400,CAR,NYI,2,L2,P2,3.06,17.0,17.0,17.0,3.0,3.0,3.0,17.6,17.6,17.6,5.5,29.7,11.1,2.1,24.8,4.6
Nino Niederreiter,3,,W,5300,CAR,NYI,2,L1,P1,3.06,15.4,15.4,15.4,1.8,1.8,1.8,4.8,4.8,4.8,0.7,8.9,11.2,2.1,24.0,4.5
Zachary Werenski,,,D,5200,CLS,ANH,3,D2,P2,2.92,21.8,21.8,21.8,2.3,2.3,2.3,12.0,12.0,12.0,6.0,18.0,10.9,2.1,4.8,0.9
Erik Haula,,,C,5200,CAR,NYI,2,L3,P2,3.06,18.2,18.2,18.2,3.3,3.3,3.3,15.3,15.3,15.3,10.1,20.4,9.8,1.9,18.4,3.5
Brock Nelson,,,C,5200,NYI,@CAR,2,L2,P2,2.44,16.7,16.7,16.7,3.7,3.7,3.7,12.0,12.0,12.0,4.4,19.6,9.8,1.9,27.4,5.3
Nick Foligno,,,W,5200,CLS,ANH,3,L3,P2,2.92,15.5,15.5,15.5,4.0,4.0,4.0,16.4,16.4,16.4,5.9,27.0,9.1,1.8,0.0,0.0
Anthony Beauvillier,,,W,5100,NYI,@CAR,2,L3,P2,2.44,15.6,15.6,15.6,3.0,3.0,3.0,19.5,19.5,19.5,13.2,25.8,9.1,1.8,0.0,0.0
Josh Bailey,,,W,5100,NYI,@CAR,2,L2,P2,2.44,16.2,16.2,16.2,0.3,0.3,0.3,7.9,7.9,7.9,-5.8,21.6,9.6,1.9,8.5,1.7
Pierre-Luc Dubois,1,,C,5000,CLS,ANH,3,L1,P1,2.92,16.9,16.9,16.9,1.0,1.0,1.0,5.0,5.0,5.0,-1.1,11.0,11.4,2.3,18.4,3.7
Oliver Bjorkstrand,,,W,5000,CLS,ANH,3,L2,P2,2.92,15.7,15.7,15.7,2.7,2.7,2.7,9.0,9.0,9.0,-1.0,19.0,9.6,1.9,3.2,0.6
Marcus Johansson,1,,C,5000,BUF,FLA,1,L2,P2,3.15,16.0,16.0,16.0,0.8,0.8,0.8,12.9,12.9,12.9,3.0,22.8,9.0,1.8,1.6,0.3
