Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Connor McDavid,,,C,9300,EDM,@COL,2,L1,P1,3.11,22.7,22.3,22.3,3.8,3.5,3.5,26.3,23.8,23.8,7.3,40.3,19.2,2.1,6.4,0.7
David Pastrnak,1,,W,9200,BOS,@OTT,0,L1,P1,3.26,18.7,19.0,19.0,5.2,4.1,4.1,27.3,24.6,24.6,10.2,39.0,17.6,1.9,3.2,0.3
Nathan MacKinnon,2,,C,8800,COL,EDM,3,L1,P1,3.39,22.8,21.4,21.4,3.6,4.8,4.8,20.8,22.4,22.4,10.0,34.8,18.6,2.1,36.0,4.1
Leon Draisaitl,0,,W,8800,EDM,@COL,2,L1,P1,3.11,23.3,22.9,22.9,3.0,3.2,3.2,17.7,23.0,23.0,10.7,35.3,16.4,1.9,1.6,0.2
Alexander Ovechkin,,,W,8800,WAS,FLA,3,L1,P1,3.86,19.8,21.1,21.1,4.0,4.8,4.8,11.4,18.8,18.8,5.2,32.4,17.0,1.9,20.0,2.3
Artemi Panarin,,,W,8500,NYR,CAR,1,L1,P1,3.00,21.6,20.6,20.6,2.6,3.0,3.0,22.7,18.3,18.3,10.5,26.2,13.9,1.6,21.3,2.5
Brad Marchand,,,W,8500,BOS,@OTT,0,L1,P1,3.26,19.2,19.5,19.5,1.8,2.6,2.6,22.7,21.6,21.6,6.9,36.2,16.4,1.9,16.8,2.0
Evgeni Malkin,,,C,8500,PIT,VAN,1,L1,P1,3.31,19.5,18.1,18.1,3.8,3.7,3.7,19.8,16.5,16.5,7.1,25.9,15.4,1.8,58.6,6.9
Auston Matthews,,,C,8400,TOR,@DET,3,L1,P1,3.78,19.2,19.8,19.8,2.8,3.6,3.6,13.7,19.0,19.0,5.9,32.2,18.1,2.2,8.0,1.0
Aleksander Barkov,0,,C,8300,FLA,@WAS,2,L1,P1,3.14,20.5,20.2,20.2,3.2,2.8,2.8,13.9,16.1,16.1,5.9,26.2,16.4,2.0,17.6,2.1
Nikita Kucherov,,,W,8200,TB,STL,1,L1,P1,3.24,16.1,18.3,18.3,2.2,2.3,2.3,19.1,14.3,14.3,1.7,26.8,18.8,2.3,39.7,4.8
Jack Eichel,0,,C,8100,BUF,CGY,1,L1,P1,2.64,22.4,21.5,21.5,3.6,3.5,3.5,19.9,19.3,19.3,3.2,35.3,17.5,2.2,17.6,2.2
Sidney Crosby,,,C,8000,PIT,VAN,11,,,3.31,19.0,20.5,20.5,3.4,2.7,2.7,12.0,14.3,14.3,3.3,25.3,0.0,0.0,0.0,0.0
Patrice Bergeron,,Q,C,8000,BOS,@OTT,0,,,3.26,18.2,18.9,18.9,2.8,3.4,3.4,17.2,16.6,16.6,6.1,27.1,0.0,0.0,0.0,0.0
Anze Kopitar,,,C,7900,LA,NYI,1,L1,P1,2.59,23.2,20.9,20.9,2.2,2.2,2.2,15.4,15.3,15.3,6.0,24.5,13.1,1.7,12.8,1.6
Patrik Laine,1,,W,7900,WPG,@SJ,3,L1,P2,3.06,18.8,19.2,19.2,2.0,3.3,3.3,14.1,14.6,14.6,3.9,25.2,13.7,1.7,31.7,4.0
Evgeny Kuznetsov,,,C,7900,WAS,FLA,3,L1,P1,3.86,19.9,18.2,18.2,1.8,2.5,2.5,12.0,14.5,14.5,3.8,25.3,13.1,1.7,12.8,1.6
Claude Giroux,,,W,7800,PHI,@CLS,1,L2,P1,2.71,18.2,19.3,19.3,3.4,3.4,3.4,14.6,13.2,13.2,2.8,23.6,13.3,1.7,15.7,2.0
Jake Guentzel,,,W,7800,PIT,VAN,1,L1,P1,3.31,19.6,20.9,20.9,3.6,3.4,3.4,22.1,15.3,15.3,6.6,24.0,15.1,1.9,45.3,5.8
Mitchell Marner,,,W,7700,TOR,@DET,16,,,3.78,19.8,19.7,19.7,2.0,2.7,2.7,10.2,14.6,14.6,4.0,25.2,0.0,0.0,0.0,0.0
Jonathan Huberdeau,,,W,7700,FLA,@WAS,2,L1,P1,3.14,19.9,19.0,19.0,2.2,2.3,2.3,14.8,16.1,16.1,4.7,27.5,14.4,1.9,12.8,1.7
Steven Stamkos,,Q,C,7700,TB,STL,1,,,3.24,14.3,17.7,17.7,2.2,2.7,2.7,16.1,15.4,15.4,4.8,25.9,0.0,0.0,0.0,0.0
Evander Kane,,,W,7600,SJ,WPG,1,L1,P1,3.44,21.6,20.1,20.1,2.6,3.6,3.6,9.0,16.6,16.6,3.6,29.6,13.1,1.7,6.4,0.8
Mikko Rantanen,,Q,W,7500,COL,EDM,36,,,3.39,18.0,18.9,18.9,2.2,2.7,2.7,15.6,18.3,18.3,7.9,28.6,0.0,0.0,0.0,0.0
Mark Scheifele,1,,C,7500,WPG,@SJ,3,L1,P1,3.06,20.7,21.7,21.7,1.6,2.0,2.0,12.0,12.7,12.7,3.9,21.5,14.2,1.9,21.6,2.9
Elias Pettersson,,,C,7500,VAN,@PIT,1,L1,P1,2.69,19.3,18.9,18.9,2.6,2.5,2.5,15.8,16.0,16.0,3.6,28.3,14.6,1.9,23.7,3.2
Sebastian Aho,,,C,7500,CAR,@NYR,2,L1,P1,3.50,19.4,19.4,19.4,3.4,3.2,3.2,17.2,14.6,14.6,4.3,24.8,15.4,2.1,4.8,0.6
Filip Forsberg,1,,W,7500,NSH,VGK,1,L1,P1,3.43,18.9,18.1,18.1,3.2,3.8,3.8,9.4,16.3,16.3,9.0,23.6,14.6,1.9,8.0,1.1
John Carlson,1,,D,7400,WAS,FLA,3,D1,P1,3.86,24.5,25.3,25.3,2.4,2.8,2.8,14.7,20.1,20.1,9.7,30.4,13.8,1.9,6.4,0.9
Brock Boeser,,,W,7400,VAN,@PIT,1,L1,P1,2.69,20.6,19.6,19.6,3.6,3.0,3.0,14.9,14.3,14.3,2.5,26.0,14.5,2.0,11.7,1.6
Brayden Point,,,C,7300,TB,STL,1,L1,P1,3.24,19.1,18.2,18.2,2.4,2.2,2.2,12.1,12.5,12.5,0.0,24.9,14.8,2.0,23.7,3.2
John Tavares,,,C,7300,TOR,@DET,3,L2,P1,3.78,19.0,18.5,18.5,2.4,2.2,2.2,7.0,12.0,12.0,3.7,20.3,16.9,2.3,29.6,4.1
Mark Stone,1,,W,7300,VGK,@NSH,1,L2,P2,3.07,18.9,19.7,19.7,2.2,2.7,2.7,13.0,13.7,13.7,5.0,22.4,14.5,2.0,28.0,3.8
Logan Couture,,,C,7200,SJ,WPG,1,L1,P1,3.44,19.5,18.8,18.8,3.4,2.6,2.6,19.6,14.3,14.3,3.9,24.7,13.9,1.9,1.6,0.2
Johnny Gaudreau,0,,W,7200,CGY,@BUF,1,L1,P1,2.86,19.5,19.8,19.8,2.8,2.7,2.7,8.1,11.3,11.3,2.5,20.1,16.3,2.3,3.2,0.4
Ryan O'Reilly,,,C,7100,STL,@TB,1,L2,P1,2.76,20.4,20.6,20.6,1.2,1.8,1.8,5.9,11.6,11.6,-1.3,24.5,13.1,1.8,10.1,1.4
Teuvo Teravainen,,,W,7100,CAR,@NYR,2,L1,P1,3.50,19.9,19.3,19.3,4.4,2.9,2.9,22.3,15.5,15.5,6.7,24.3,12.4,1.7,4.8,0.7
Brent Burns,,,D,7100,SJ,WPG,1,D1,P1,3.44,23.1,25.3,25.3,1.8,2.8,2.8,7.4,14.0,14.0,6.0,22.0,14.9,2.1,6.4,0.9
Jeff Skinner,,,W,7100,BUF,CGY,1,L2,P1,2.64,16.6,17.6,17.6,3.0,3.6,3.6,7.2,12.2,12.2,2.1,22.3,13.3,1.9,6.4,0.9
Anthony Mantha,,Q,W,7100,DET,TOR,2,,,2.72,17.9,18.9,18.9,3.2,3.7,3.7,14.9,16.3,16.3,2.1,30.5,0.0,0.0,0.0,0.0
Mika Zibanejad,,Q,C,7100,NYR,CAR,1,,,3.00,19.3,20.9,20.9,1.8,3.0,3.0,8.1,18.1,18.1,-2.6,38.8,0.0,0.0,18.9,2.7
Cam Atkinson,,,W,7000,CLS,PHI,1,L1,P2,2.79,18.6,19.0,19.0,2.8,3.5,3.5,12.3,12.2,12.2,5.0,19.3,13.1,1.9,1.6,0.2
Gabriel Landeskog,,Q,W,7000,COL,EDM,31,,,3.39,19.2,20.4,20.4,2.4,2.4,2.4,6.6,10.9,10.9,1.6,20.3,0.0,0.0,0.0,0.0
Sean Couturier,,,C,7000,PHI,@CLS,1,L1,P2,2.71,20.5,19.3,19.3,4.0,3.0,3.0,17.1,13.2,13.2,4.8,21.6,14.9,2.1,0.0,0.0
