Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,9000,BOS,OTT,17.9,34.4
Andrei Vasilevskii,8700,TB,STL,19.8,7.2
Jordan Binnington,8600,STL,TB,13.9,25.6
Anders Nilsson,8600,OTT,BOS,16.8,7.2
Braden Holtby,8500,WAS,FLA,18.0,29.6
Matthew Murray,8400,PIT,VAN,20.8,-8.0
Darcy Kuemper,8300,ARI,ANH,20.3,24.8
Mikko Koskinen,8300,EDM,COL,15.0,20.8
Connor Hellebuyck,8300,WPG,SJ,15.7,33.6
Petr Mrazek,8200,CAR,NYR,16.2,5.6
David Rittich,8200,CGY,BUF,17.7,31.2
Frederik Andersen,8200,TOR,DET,22.1,40.0
Semyon Varlamov,7900,NYI,LA,20.7,8.8
Thatcher Demko,7900,VAN,PIT,15.0,-2.4
John Gibson,7800,ANH,ARI,17.8,8.0
Henrik Lundqvist,7800,NYR,CAR,15.9,36.8
Sergei Bobrovsky,7700,FLA,WAS,13.4,-3.2
Joonas Korpisalo,7700,CLS,PHI,17.4,3.2
Philipp Grubauer,7700,COL,EDM,18.4,23.2
Malcolm Subban,7600,VGK,NSH,13.2,24.8
Brian Elliott,7400,PHI,CLS,17.7,26.4
Aaron Dell,7400,SJ,WPG,15.9,0.8
Jon Quick,7400,LA,NYI,16.3,27.2
Juuse Saros,7400,NSH,VGK,17.5,4.8
Linus Ullmark,7400,BUF,CGY,18.4,8.8
Jimmy Howard,7100,DET,TOR,12.8,-3.2
