Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Connor McDavid,C,9300,EDM,COL,1,19.2,6.4
David Pastrnak,W,9200,BOS,OTT,1,17.6,3.2
Nathan MacKinnon,C,8800,COL,EDM,1,18.6,36.0
Leon Draisaitl,W,8800,EDM,COL,1,16.4,1.6
Alexander Ovechkin,W,8800,WAS,FLA,1,17.0,20.0
Artemi Panarin,W,8500,NYR,CAR,1,13.9,21.3
Brad Marchand,W,8500,BOS,OTT,1,16.4,16.8
Evgeni Malkin,C,8500,PIT,VAN,1,15.4,58.6
Auston Matthews,C,8400,TOR,DET,1,18.1,8.0
Aleksander Barkov,C,8300,FLA,WAS,1,16.4,17.6
Nikita Kucherov,W,8200,TB,STL,1,18.8,39.7
Jack Eichel,C,8100,BUF,CGY,1,17.5,17.6
Anze Kopitar,C,7900,LA,NYI,1,13.1,12.8
Patrik Laine,W,7900,WPG,SJ,1,13.7,31.7
Evgeny Kuznetsov,C,7900,WAS,FLA,1,13.1,12.8
Claude Giroux,W,7800,PHI,CLS,2,13.3,15.7
Jake Guentzel,W,7800,PIT,VAN,1,15.1,45.3
Jonathan Huberdeau,W,7700,FLA,WAS,1,14.4,12.8
Evander Kane,W,7600,SJ,WPG,1,13.1,6.4
Mark Scheifele,C,7500,WPG,SJ,1,14.2,21.6
Elias Pettersson,C,7500,VAN,PIT,1,14.6,23.7
Sebastian Aho,C,7500,CAR,NYR,1,15.4,4.8
Filip Forsberg,W,7500,NSH,VGK,1,14.6,8.0
John Carlson,D,7400,WAS,FLA,33,13.8,6.4
Brock Boeser,W,7400,VAN,PIT,1,14.5,11.7
Brayden Point,C,7300,TB,STL,1,14.8,23.7
John Tavares,C,7300,TOR,DET,2,16.9,29.6
Mark Stone,W,7300,VGK,NSH,2,14.5,28.0
Logan Couture,C,7200,SJ,WPG,1,13.9,1.6
Johnny Gaudreau,W,7200,CGY,BUF,1,16.3,3.2
Ryan O'Reilly,C,7100,STL,TB,2,13.1,10.1
Teuvo Teravainen,W,7100,CAR,NYR,1,12.4,4.8
Brent Burns,D,7100,SJ,WPG,42,14.9,6.4
Jeff Skinner,W,7100,BUF,CGY,2,13.3,6.4
Cam Atkinson,W,7000,CLS,PHI,1,13.1,1.6
Sean Couturier,C,7000,PHI,CLS,1,14.9,0.0
T.J. Oshie,W,6900,WAS,FLA,2,10.8,1.6
Dylan Larkin,C,6900,DET,TOR,1,16.1,3.2
David Krejci,C,6800,BOS,OTT,1,10.1,3.2
Matt Duchene,C,6800,NSH,VGK,2,12.0,23.2
Erik Karlsson,D,6800,SJ,WPG,53,14.6,4.8
Dougie Hamilton,D,6700,CAR,NYR,54,11.7,18.1
Sean Monahan,C,6700,CGY,BUF,1,14.7,8.0
Andrei Svechnikov,W,6700,CAR,NYR,1,11.1,18.1
David Perron,W,6700,STL,TB,2,10.0,8.0
Kris Letang,D,6600,PIT,VAN,58,13.3,36.0
Kyle Connor,W,6600,WPG,SJ,1,13.6,24.8
Mathew Barzal,C,6600,NYI,LA,1,13.0,6.4
Jakob Silfverberg,W,6600,ANH,ARI,2,10.9,6.4
Phil Kessel,W,6600,ARI,ANH,1,14.0,3.2
Jonathan Audy-Marchessault,W,6500,VGK,NSH,2,13.5,1.6
Max Pacioretty,W,6500,VGK,NSH,1,12.0,26.4
Travis Konecny,W,6500,PHI,CLS,2,11.1,10.1
Brady Tkachuk,W,6400,OTT,BOS,2,13.0,3.2
Victor Hedman,D,6400,TB,STL,70,13.2,1.6
Drew Doughty,D,6400,LA,NYI,71,11.5,1.6
William Karlsson,C,6400,VGK,NSH,1,11.8,6.4
Victor Olofsson,W,6300,BUF,CGY,1,8.7,15.2
Blake Wheeler,C,6300,WPG,SJ,2,14.3,21.3
Brayden Schenn,C,6200,STL,TB,1,11.5,17.3
Roman Josi,D,6200,NSH,VGK,77,13.8,20.8
Rickard Rakell,W,6100,ANH,ARI,1,13.4,8.0
Bo Horvat,C,6100,VAN,PIT,2,13.0,16.0
Evgeni Dadonov,W,6100,FLA,WAS,3,12.4,9.6
Matthew Tkachuk,W,6100,CGY,BUF,2,14.1,23.2
Ryan Getzlaf,C,6100,ANH,ARI,1,11.5,11.2
Jean-Gabriel Pageau,C,6000,OTT,BOS,1,9.0,3.2
Alex Pietrangelo,D,6000,STL,TB,84,12.2,9.6
Elias Lindholm,W,6000,CGY,BUF,1,12.2,15.2
Jakub Voracek,W,6000,PHI,CLS,1,12.8,3.2
Zachary Werenski,D,6000,CLS,PHI,87,10.9,4.8
Brock Nelson,C,5900,NYI,LA,2,9.8,14.4
Derick Brassard,W,5900,NYI,LA,2,7.2,13.6
Torey Krug,D,5900,BOS,OTT,90,12.0,6.4
Jakub Vrana,W,5800,WAS,FLA,2,9.9,11.2
Patric Hornqvist,W,5800,PIT,VAN,3,10.5,3.2
Vincent Trocheck,C,5800,FLA,WAS,2,14.1,28.0
Oscar Klefbom,D,5700,EDM,COL,94,11.7,8.0
James Neal,W,5700,EDM,COL,2,10.3,6.4
William Nylander,W,5700,TOR,DET,1,11.7,26.4
Timo Meier,W,5700,SJ,WPG,2,14.9,9.6
Mike Hoffman,W,5700,FLA,WAS,1,12.5,20.0
Pierre-Luc Dubois,C,5700,CLS,PHI,1,11.4,6.4
Morgan Rielly,D,5600,TOR,DET,100,13.4,25.6
Dustin Brown,W,5600,LA,NYI,1,10.0,24.8
Mark Giordano,D,5600,CGY,BUF,102,13.1,12.8
Chris Kreider,W,5500,NYR,CAR,2,11.3,3.2
Gustav Nyquist,W,5500,CLS,PHI,2,10.8,12.8
Anthony Beauvillier,W,5500,NYI,LA,2,9.1,4.8
Thomas Chabot,D,5500,OTT,BOS,106,13.3,18.4
Adam Henrique,C,5500,ANH,ARI,2,9.2,1.6
Keith Yandle,D,5500,FLA,WAS,108,10.8,17.6
Clayton Keller,W,5500,ARI,ANH,1,12.1,11.7
Ryan Strome,C,5500,NYR,CAR,1,7.8,4.8
Sam Reinhart,W,5500,BUF,CGY,1,11.9,9.6
Ryan Johansen,C,5500,NSH,VGK,1,10.5,12.8
Pavel Buchnevich,W,5500,NYR,CAR,2,10.3,3.2
Ondrej Palat,W,5500,TB,STL,1,9.0,3.2
Nick Schmaltz,W,5400,ARI,ANH,1,10.1,0.0
Alexander Edler,D,5400,VAN,PIT,116,12.2,12.8
Kaapo Kakko,W,5400,NYR,CAR,3,12.5,4.8
Anders Lee,W,5400,NYI,LA,1,11.3,6.4
Seth Jones,D,5400,CLS,PHI,119,12.9,21.6
Jaden Schwartz,W,5400,STL,TB,1,11.6,18.1
Kevin Hayes,C,5400,PHI,CLS,3,10.9,9.6
Reilly Smith,W,5400,VGK,NSH,1,11.3,23.2
J.T. Miller,W,5300,VAN,PIT,2,9.7,27.7
Jordan Eberle,W,5300,NYI,LA,1,9.5,4.8
Tyler Bertuzzi,W,5300,DET,TOR,1,10.5,6.4
Andre Burakovsky,W,5300,COL,EDM,1,7.8,6.4
Jeff Carter,W,5300,LA,NYI,2,11.2,18.9
Ivan Provorov,D,5200,PHI,CLS,129,10.3,11.7
Oliver Bjorkstrand,W,5200,CLS,PHI,2,9.6,9.6
Kevin Shattenkirk,D,5200,TB,STL,131,8.4,10.1
Anthony Duclair,W,5100,OTT,BOS,2,8.7,6.4
Cale Makar,D,5100,COL,EDM,134,9.0,8.0
Josh Bailey,W,5100,NYI,LA,3,9.6,3.2
Jordan Staal,C,5000,CAR,NYR,2,9.5,4.8
Derek Stepan,C,5000,ARI,ANH,3,10.9,4.8
Bryan Rust,W,5000,PIT,VAN,1,9.0,49.8
Alex Galchenyuk,W,5000,PIT,VAN,2,11.1,1.6
Mikael Granlund,W,5000,NSH,VGK,2,11.6,23.2
Joonas Donskoi,W,5000,COL,EDM,1,8.1,19.2
Nazem Kadri,C,5000,COL,EDM,2,11.0,18.4
Andreas Athanasiou,W,4900,DET,TOR,3,12.1,3.2
Alex Killorn,W,4900,TB,STL,3,8.1,1.6
Tom Wilson,W,4900,WAS,FLA,1,10.4,4.8
Jake DeBrusk,W,4900,BOS,OTT,2,11.2,3.2
Oliver Ekman-Larsson,D,4900,ARI,ANH,148,10.3,13.3
Nikolaj Ehlers,W,4900,WPG,SJ,2,11.7,1.6
Cam Fowler,D,4900,ANH,ARI,150,8.7,20.8
Nick Foligno,W,4800,CLS,PHI,3,9.1,20.0
Ryan Ellis,D,4800,NSH,VGK,152,11.4,18.4
Rasmus Ristolainen,D,4800,BUF,CGY,153,11.5,4.8
Andreas Johnson,W,4800,TOR,DET,1,9.9,42.1
Aaron Ekblad,D,4800,FLA,WAS,155,10.3,4.8
Tyler Toffoli,W,4800,LA,NYI,2,10.4,6.4
Lars Eller,C,4700,WAS,FLA,2,8.4,18.4
Kevin Labanc,W,4700,SJ,WPG,2,9.8,4.8
Jacob Muzzin,D,4700,TOR,DET,160,9.7,4.8
Anthony Cirelli,C,4700,TB,STL,3,8.5,23.2
Alex Goligoski,D,4700,ARI,ANH,162,8.5,20.0
Nino Niederreiter,W,4700,CAR,NYR,3,11.2,0.0
Quinn Hughes,D,4600,VAN,PIT,165,7.2,30.4
Tanner Pearson,W,4600,VAN,PIT,3,8.5,9.6
Charlie Coyle,C,4600,BOS,OTT,2,9.3,1.6
Connor Brown,W,4600,OTT,BOS,1,6.7,4.8
Danton Heinen,W,4600,BOS,OTT,3,8.6,4.8
Nate Schmidt,D,4600,VGK,NSH,173,9.6,20.8
Filip Chytil,C,4600,NYR,CAR,2,7.9,6.4
Brett Connolly,W,4600,FLA,WAS,2,8.6,20.0
Filip Hronek,D,4500,DET,TOR,177,8.2,1.6
Boone Jenner,C,4500,CLS,PHI,2,10.4,6.4
Ryan Pulock,D,4500,NYI,LA,179,11.3,6.4
Tyson Barrie,D,4500,TOR,DET,181,12.4,29.6
J.T. Compher,W,4500,COL,EDM,2,9.7,8.0
Paul Stastny,C,4500,VGK,NSH,3,10.3,13.6
Jared McCann,C,4500,PIT,VAN,2,9.8,11.2
Sam Steel,C,4400,ANH,ARI,3,8.0,15.2
Zack Kassian,W,4400,EDM,COL,1,6.1,3.2
Mikael Backlund,C,4400,CGY,BUF,2,10.1,14.4
Kasperi Kapanen,W,4400,TOR,DET,3,9.3,11.7
Tyler Johnson,W,4400,TB,STL,2,9.7,3.2
Joshua Morrissey,D,4400,WPG,SJ,194,9.6,1.6
Charles McAvoy,D,4400,BOS,OTT,195,10.3,11.2
Oskar Lindblom,W,4400,PHI,CLS,1,9.7,3.2
Alex Iafallo,W,4400,LA,NYI,1,8.0,23.2
Conor Garland,W,4300,ARI,ANH,2,8.8,4.8
Jacob Trouba,D,4300,NYR,CAR,200,13.2,8.0
Shea Theodore,D,4300,VGK,NSH,201,11.0,3.2
Dominik Kahun,W,4300,PIT,VAN,3,8.6,15.2
