Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tuukka Rask,1,,G,9000,BOS,CHI,1,69%,2.43,60.4,60.6,60.6,0.933,0.933,29.4,24.7,24.7,12.8,36.6,20.4,2.3,5.6,0.6
Ben Bishop,,,G,8800,DAL,WPG,1,59%,2.51,60.5,55.9,55.9,0.928,0.928,22.4,18.6,18.6,5.3,31.9,20.3,2.3,32.8,3.7
Andrei Vasilevskii,0,,G,8700,TB,MIN,1,66%,2.54,60.7,59.8,59.8,0.908,0.908,20.6,17.9,17.9,5.1,30.8,21.8,2.5,-7.2,-0.8
Darcy Kuemper,,,G,8600,ARI,@PHI,1,42%,2.97,63.0,60.9,60.9,0.936,0.936,21.6,23.1,23.1,9.9,36.3,16.9,2.0,30.4,3.5
Connor Hellebuyck,,,G,8500,WPG,@DAL,1,41%,2.99,50.0,56.6,56.6,0.936,0.936,25.4,23.6,23.6,9.1,38.2,17.1,2.0,16.8,2.0
Malcolm Subban,,,G,8300,VGK,@NYI,1,47%,2.82,60.7,56.7,56.7,0.909,0.909,24.2,15.6,15.6,2.0,29.2,16.0,1.9,10.4,1.3
Semyon Varlamov,,,G,7800,NYI,VGK,1,53%,2.68,45.7,53.7,53.7,0.922,0.922,15.2,18.6,18.6,5.9,31.3,19.9,2.6,28.8,3.7
David Rittich,,,G,7800,CGY,BUF,4,60%,2.48,61.8,60.3,60.3,0.915,0.915,21.9,19.4,19.4,4.6,34.3,19.0,2.4,20.8,2.7
Alexander Georgiev,,,G,7700,NYR,@CLS,2,44%,3.18,53.6,53.2,53.2,0.912,0.912,17.8,19.1,19.1,1.9,36.2,17.4,2.3,40.0,5.2
Alex Stalock,,,G,7700,MIN,@TB,1,34%,3.46,61.5,54.0,54.0,0.912,0.912,19.4,16.4,16.4,1.6,31.2,12.6,1.6,20.0,2.6
Pavel Francouz,,,G,7700,COL,@MON,0,51%,3.20,43.5,51.0,51.0,0.924,0.924,17.6,18.7,18.7,3.3,34.0,17.2,2.2,34.4,4.5
Linus Ullmark,,,G,7600,BUF,@CGY,2,40%,3.02,59.7,60.0,60.0,0.917,0.917,22.7,20.3,20.3,3.9,36.8,17.0,2.2,4.0,0.5
Petr Mrazek,,,G,7600,CAR,SJ,1,60%,2.72,59.2,55.4,55.4,0.901,0.901,12.2,15.9,15.9,0.4,31.3,17.7,2.3,26.4,3.5
Brian Elliott,,,G,7600,PHI,ARI,1,57%,2.53,54.8,52.3,52.3,0.916,0.916,20.8,17.2,17.2,4.3,30.1,19.8,2.6,4.0,0.5
Robin Lehner,,Q,G,7600,CHI,@BOS,2,31%,3.57,53.7,54.2,54.2,0.929,0.929,20.0,19.9,19.9,3.9,36.0,14.4,1.9,29.6,3.9
Joonas Korpisalo,,,G,7400,CLS,NYR,1,56%,2.82,59.2,58.3,58.3,0.902,0.902,18.2,15.9,15.9,4.4,27.5,17.4,2.4,0.8,0.1
Aaron Dell,,,G,7200,SJ,@CAR,1,40%,3.28,48.6,49.0,49.0,0.893,0.893,7.8,11.1,11.1,-3.8,26.0,13.1,1.8,13.6,1.9
Cayden Primeau,,,G,7000,MON,COL,1,49%,3.30,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,13.9,2.0,13.6,1.9
