Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,9000,BOS,MIN,20.5,21.6
Marc-Andre Fleury,8900,VGK,EDM,19.0,5.6
Andrei Vasilevskii,8700,TB,ANH,22.1,32.8
Jordan Binnington,8600,STL,NSH,17.9,19.2
Carey Price,8400,MON,NYR,20.4,-1.6
Petr Mrazek,8300,CAR,FLA,16.2,20.8
Frederik Andersen,8100,TOR,COL,18.1,27.2
Mike Smith,8100,EDM,VGK,14.3,24.0
Martin Jones,7900,SJ,NYI,15.8,29.6
Philipp Grubauer,7900,COL,TOR,17.1,-7.2
Semyon Varlamov,7900,NYI,SJ,18.1,11.2
Ryan Miller,7700,ANH,TB,14.2,-7.2
Sergei Bobrovsky,7700,FLA,CAR,15.2,12.0
Anton Khudobin,7700,DAL,CHI,20.6,38.4
Alexander Georgiev,7500,NYR,MON,13.9,22.4
Robin Lehner,7500,CHI,DAL,17.3,28.0
Juuse Saros,7400,NSH,STL,16.9,23.2
Alex Stalock,7300,MIN,BOS,13.7,7.2
Laurent Brossoit,7300,WPG,CLS,18.8,9.6
Elvis Merzlikins,7200,CLS,WPG,15.7,5.6
Jonathan Bernier,7100,DET,NJ,15.8,7.2
Louis Domingue,7000,NJ,DET,0.0,23.2
