Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Carey Price,,,G,8500,MON,@ARI,3,46%,3.12,58.9,60.3,60.3,0.907,0.907,18.6,18.1,18.1,6.5,29.8,16.5,1.9,33.6,4.0
Sergei Bobrovsky,,,G,8300,FLA,@COL,1,45%,3.41,52.2,52.3,52.3,0.870,0.870,9.0,9.2,9.2,-3.3,21.7,15.9,1.9,21.6,2.6
Jordan Binnington,2,,G,8100,STL,MIN,2,62%,2.43,60.8,60.7,60.7,0.912,0.912,18.2,17.6,17.6,8.7,26.5,19.5,2.4,36.0,4.4
Philipp Grubauer,,,G,8000,COL,FLA,3,55%,3.09,61.2,60.7,60.7,0.920,0.920,19.4,22.6,22.6,13.0,32.2,18.5,2.3,11.2,1.4
Jacob Markstrom,1,,G,8000,VAN,@LA,1,52%,2.96,62.0,61.0,61.0,0.920,0.920,24.8,20.1,20.1,5.5,34.8,18.0,2.3,16.8,2.1
Joonas Korpisalo,1,,G,7800,CLS,EDM,3,57%,2.77,61.0,60.5,60.5,0.896,0.896,17.4,15.6,15.6,6.7,24.4,17.7,2.3,-9.6,-1.2
Mike Smith,,,G,7800,EDM,@CLS,0,42%,3.23,53.3,55.2,55.2,0.914,0.914,14.7,16.6,16.6,5.1,28.0,15.5,2.0,26.4,3.4
Curtis McElhinney,1,,G,7800,TB,@NJ,0,54%,3.12,60.7,60.7,60.7,0.915,0.915,15.2,15.2,15.2,12.3,18.1,17.7,2.3,16.8,2.2
Antti Raanta,,,G,7700,ARI,MON,1,54%,2.88,61.1,61.1,61.1,0.922,0.922,22.7,22.7,22.7,12.3,33.0,18.9,2.5,9.6,1.2
Devan Dubnyk,,Q,G,7300,MIN,@STL,0,38%,3.07,47.0,50.3,50.3,0.880,0.880,10.2,9.6,9.6,-0.1,19.3,14.9,2.0,11.2,1.5
Jon Quick,,,G,7200,LA,VAN,2,48%,3.04,59.6,59.3,59.3,0.849,0.849,12.3,5.6,5.6,-10.4,21.6,16.3,2.3,15.2,2.1
Cory Schneider,,,G,7000,NJ,TB,4,46%,3.38,55.1,55.1,55.1,0.876,0.876,6.2,6.2,6.2,0.7,11.7,15.3,2.2,-15.2,-2.2
