Player Name,Salary,Team,Opp,Proj FP,Actual FP
Michael Hutchinson,8600,TOR,OTT,0,27.2
Jaroslav Halak,8500,BOS,NJ,21.3,6.4
Semyon Varlamov,8300,NYI,PIT,18.1,14.4
Darcy Kuemper,8000,ARI,LA,21.2,13.6
Carter Hart,7800,PHI,NYR,16.7,16.8
Kaapo Kahkonen,7700,MIN,ANH,0,20.8
Vitek Vanecek,7600,WAS,BUF,19.4,25.6
Jordan Binnington,7500,STL,SJ,19.8,28.0
Tristan Jarry,7400,PIT,NYI,18.2,32.8
Elvis Merzlikins,7300,CLS,NSH,17.8,45.6
MacKenzie Blackwood,7200,NJ,BOS,15.1,24.0
Linus Ullmark,7100,BUF,WAS,15.6,2.4
Alexander Georgiev,7000,NYR,PHI,19.6,20.0
John Gibson,6900,ANH,MIN,18.6,7.2
Martin Jones,6800,SJ,STL,13.8,21.6
Juuse Saros,6800,NSH,CLS,17.6,7.2
Jon Quick,6700,LA,ARI,15.2,20.0
Marcus Hogberg,6600,OTT,TOR,12.8,-0.8
