Player Name,Pos,Salary,Team,Proj FP,Actual FP
James Harden,SG,11400,HOU,53.3,41.5
Giannis Antetokounmpo,PF,11200,MIL,54.7,51.6
Russell Westbrook,PG,10700,WAS,50.9,24.8
LeBron James,SF,10200,LAL,52.5,42.9
Brad Beal,SG,10100,WAS,46.7,47.1
Stephen Curry,PG,9700,GSW,47.3,63.9
Kawhi Leonard,SF,9600,LAC,48.3,37.6
Julius Randle,PF,9400,NYK,46.9,43.9
Jayson Tatum,SF,9400,BOS,48.9,40.0
Christian Wood,PF,9000,HOU,38.5,48.0
Nikola Vucevic,C,8800,ORL,46.6,43.9
Paul George,SG,8800,LAC,45.4,39.3
Brandon Ingram,SF,8800,NOR,43.5,40.6
John Wall,PG,8500,HOU,38.5,23.6
Rudy Gobert,C,8400,UTA,40.3,38.8
Zach LaVine,SG,8100,CHI,40.3,59.0
Gordon Hayward,SF,8000,CHA,38.8,40.9
Donovan Mitchell,SG,8000,UTA,37.2,50.5
Pascal Siakam,PF,8000,TOR,40.3,49.8
Jaylen Brown,SG,8000,BOS,42.1,51.1
Shai Gilgeous-Alexander,SG,7900,OKC,38.7,47.5
Fred Van Vleet,SG,7800,TOR,44.6,48.1
De'Aaron Fox,PG,7800,SAC,32.5,33.7
Zion Williamson,PF,7800,NOR,39.4,37.1
Jerami Grant,SF,7800,DET,32.6,47.0
Devin Booker,SG,7600,PHO,35.7,31.5
Khris Middleton,SF,7400,MIL,38.9,47.0
Chris Paul,PG,7300,PHO,37.1,30.9
Jrue Holiday,PG,7200,MIL,34.6,36.3
Deandre Ayton,C,7200,PHO,35.7,33.4
Terry Rozier,PG,7100,CHA,27.5,38.3
Jarrett Allen,C,7000,BKN,36.2,32.2
Mike Conley,PG,7000,UTA,32.3,33.6
LaMelo Ball,PG,6900,CHA,32.2,37.5
Richaun Holmes,C,6800,SAC,32.0,25.0
Caris LeVert,SG,6800,BKN,42.7,53.0
Jonas Valanciunas,C,6700,MEM,35.4,20.8
Darius Bazley,PF,6700,OKC,29.1,14.4
Coby White,PG,6600,CHI,33.4,22.1
R.J. Barrett,SF,6500,NYK,33.8,36.4
Steven Adams,C,6500,NOR,30.1,29.4
Andrew Wiggins,SG,6500,GSW,30.3,27.7
Thomas Bryant,C,6400,WAS,31.3,25.6
Lonzo Ball,PG,6300,NOR,31.4,15.9
Chris Boucher,PF,6200,TOR,24.8,50.0
Mason Plumlee,C,6100,DET,25.2,33.7
Harrison Barnes,SF,6100,SAC,29.0,37.8
Dillon Brooks,SG,6000,MEM,29.1,27.8
Derrick Rose,SG,6000,DET,25.8,15.5
Marcus Smart,PG,5900,BOS,33.0,29.5
Kyle Anderson,SF,5900,MEM,29.7,25.8
O.G. Anunoby,SF,5800,TOR,29.3,16.4
PJ Washington,PF,5800,CHA,27.1,32.3
Eric Gordon,SF,5800,HOU,23.2,13.9
Mitchell Robinson,C,5800,NYK,30.7,27.5
Marvin Bagley,PF,5800,SAC,26.9,25.8
Terrence Ross,SG,5700,ORL,32.7,8.7
George Hill,PG,5600,OKC,24.3,12.9
Wendell Carter,C,5600,CHI,26.2,34.9
Otto Porter,SF,5600,CHI,27.9,6.2
Mikal Bridges,SF,5500,PHO,27.0,22.1
Blake Griffin,PF,5500,DET,25.7,38.9
Elfrid Payton,PG,5500,NYK,31.8,24.7
Tyrese Haliburton,SG,5400,SAC,25.9,37.4
Eric Bledsoe,SG,5300,NOR,26.3,22.2
DeMarcus Cousins,C,5300,HOU,22.6,21.0
Jordan Clarkson,SG,5300,UTA,25.0,38.2
Saddiq Bey,SF,5300,DET,15.8,16.8
Montrezl Harrell,C,5300,LAL,28.3,34.8
Serge Ibaka,PF,5300,LAC,26.1,32.4
Kelly Oubre,SF,5300,GSW,26.4,12.0
Dennis Schroder,SG,5300,LAL,32.1,31.6
Al Horford,C,5200,OKC,26.7,25.6
Buddy Hield,SG,5200,SAC,28.0,32.0
Tyus Jones,PG,5200,MEM,26.2,41.8
Devonte' Graham,SG,5100,CHA,26.5,35.2
Bismack Biyombo,C,5100,CHA,24.5,20.2
Josh Jackson,SF,5100,DET,24.8,10.4
Draymond Green,PF,5100,GSW,26.8,16.1
Dave Bertans,PF,5100,WAS,24.7,21.3
Brandon Clarke,PF,5100,MEM,27.3,46.1
Cole Anthony,PG,5000,ORL,27.2,23.9
Bobby Portis,PF,5000,MIL,22.1,10.6
Miles Bridges,SF,5000,CHA,21.1,24.3
Joe Harris,SF,4900,BKN,25.3,19.4
Delon Wright,PG,4900,DET,16.6,30.0
Donte DiVincenzo,SG,4800,MIL,24.4,30.5
Bojan Bogdanovic,PF,4800,UTA,23.0,27.5
James Wiseman,C,4800,GSW,21.6,21.2
Rui Hachimura,SF,4800,WAS,21.9,32.5
Brook Lopez,C,4700,MIL,23.5,23.6
Luguentz Dort,SG,4700,OKC,20.5,17.1
Gorgui Dieng,C,4600,MEM,22.9,11.3
Austin Rivers,PG,4500,NYK,22.4,27.0
Royce O'Neale,PF,4500,UTA,21.2,47.6
Wayne Ellington,SG,4500,DET,0.0,0.0
Payton Pritchard,PG,4500,BOS,20.5,19.4
Nicolas Batum,PF,4400,LAC,20.7,32.2
Josh Hart,SG,4400,NOR,20.8,33.6
Jae Crowder,PF,4400,PHO,23.1,11.3
Patrick Williams,SF,4300,CHI,17.1,25.6
Dario Saric,PF,4300,PHO,14.9,21.2
Jeff Teague,PG,4300,BOS,18.6,11.6
Daniel Theis,C,4300,BOS,28.4,25.7
Jordan Poole,PG,4200,GSW,0.0,0.0
Cameron Johnson,SF,4200,PHO,18.7,28.0
Justin Jackson,SF,4200,OKC,0.0,0.0
Raul Neto,PG,4200,WAS,11.5,2.5
Deni Avdija,SF,4200,WAS,13.8,3.9
Taurean Waller-Prince,PF,4200,BKN,18.8,24.8
P.J. Tucker,PF,4200,HOU,17.4,33.3
Thaddeus Young,PF,4100,CHI,19.0,31.9
Isaiah Roby,PF,4100,OKC,10.0,4.0
Timothe Luwawu,SF,4100,BKN,18.9,7.1
Kyle Kuzma,PF,4100,LAL,24.1,7.7
Hamidou Diallo,SG,4100,OKC,17.6,41.2
Aron Baynes,C,4000,TOR,0.0,0.0
Louis Williams,PG,4000,LAC,18.6,7.2
Derrick Favors,C,4000,UTA,16.6,15.7
Hassan Whiteside,C,4000,SAC,0.0,0.0
Marc Gasol,C,4000,LAL,19.3,22.8
Brad Wanamaker,PG,4000,GSW,12.1,21.2
Mike Muscala,PF,4000,OKC,17.0,12.8
Eric Paschall,PF,4000,GSW,16.9,20.7
Damion Lee,SG,4000,GSW,14.7,15.2
Bruce Brown,SG,3900,BKN,18.9,9.2
Luke Kennard,SG,3900,LAC,13.2,15.3
Dwayne Bacon,SG,3900,ORL,20.9,11.7
Ivica Zubac,C,3900,LAC,17.5,8.3
J.J. Redick,SG,3900,NOR,13.7,18.7
DeAndre Jordan,C,3900,BKN,21.9,12.5
Sterling Brown,SG,3900,HOU,0.0,15.0
Jeff Green,PF,3800,BKN,19.1,25.8
James Ennis,SF,3800,ORL,19.3,14.6
De'Anthony Melton,PG,3800,MEM,20.1,25.5
Cory Joseph,PG,3800,SAC,17.4,15.9
Desmond Bane,SG,3800,MEM,16.8,15.4
Malik Monk,SG,3800,CHA,0.0,0.0
Cameron Payne,PG,3800,PHO,16.1,15.9
Reggie Jackson,SG,3800,LAC,9.9,0.0
Ishmael Smith,PG,3800,WAS,14.7,21.1
Gary Clark,PF,3800,ORL,19.0,5.8
Patrick Beverley,PG,3800,LAC,21.0,19.7
Nickeil Alexander-Walker,SG,3800,NOR,12.8,7.2
Isaiah Stewart,PF,3800,DET,13.2,9.8
Matt Thomas,SG,3800,TOR,0.0,3.0
Marcus Morris,PF,3800,LAC,16.9,4.9
Jae'Sean Tate,SF,3800,HOU,12.5,16.2
Sviatoslav Mykhailiuk,SG,3800,DET,12.7,9.5
Immanuel Quickley,PG,3700,NYK,12.0,13.2
Kevon Looney,C,3700,GSW,10.9,4.4
Isaac Bonga,SF,3700,WAS,0.0,2.7
D.J. Augustin,PG,3700,MIL,14.2,1.5
Theo Maledon,PG,3700,OKC,13.0,14.5
Khem Birch,PF,3700,ORL,19.1,20.0
Nemanja Bjelica,PF,3700,SAC,16.2,3.7
Langston Galloway,SG,3700,PHO,0.0,19.4
Norman Powell,SF,3700,TOR,25.9,29.4
David Nwaba,SG,3700,HOU,18.5,10.4
Chris Chiozza,PG,3600,BKN,13.4,3.0
Caleb Martin,SF,3600,CHA,12.0,10.6
Reggie Bullock,SG,3600,NYK,19.4,17.4
Troy Brown,SF,3600,WAS,0.0,0.0
Wesley Matthews,SF,3600,LAL,15.2,20.9
Guillermo Hernangomez,C,3600,NOR,0.0,0.0
Alex Caruso,PG,3600,LAL,15.7,16.9
Ben McLemore,SG,3600,HOU,0.0,23.6
Denzel Valentine,SF,3600,CHI,17.9,11.3
Saben Lee,PG,3500,DET,0.0,0.0
Udoka Azubuike,C,3500,UTA,0.0,2.0
Adam Mokoka,SG,3500,CHI,0.0,4.7
Nicolo Melli,PF,3500,NOR,0.0,1.5
