Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF,LAL,vs UTA,12th,109.75,12000,56.7,56.7,49.3,5.0,1.33,47.97,0.00,0.00,0,36.1,21.0,37.0,34.00,56.68,56.68,100,,0,4.7,Y,32,50.40,4.2
Karl-Anthony Towns,C,MIN,@ CHA,24th,115.25,11500,52.1,52.1,72.3,3.0,1.85,66.74,0.00,0.00,0,26.3,22.0,39.0,34.00,52.07,52.07,100,,0,4.5,Y,28,83.00,7.2
LeBron James,SF,LAL,vs UTA,17th,109.75,11200,50.3,50.3,43.0,8.0,1.19,43.00,0.00,0.00,0,31.7,19.0,36.0,34.50,50.32,50.32,100,,0,4.5,Y,31,57.40,5.1
Nikola Jokic,C,DEN,vs PHX,13th,115.75,10800,48.7,48.7,34.6,2.0,1.44,51.90,0.00,0.00,0,33.8,14.0,24.0,32.25,48.71,48.71,100,,0,4.5,Y,41,61.80,5.7
Luka Doncic,PG,DAL,@ NOP,4th,112.50,10000,44,44,49.3,3.0,1.45,52.20,0.00,0.00,0,36.8,19.0,34.0,34.25,44.00,44.00,100,,0,4.4,Y,38,55.00,5.5
Kyrie Irving,PG,BKN,vs NYK,8th,118.75,9700,45,45,73.1,7.0,1.92,69.25,0.00,0.00,0,36.8,33.0,38.0,33.50,44.95,44.95,100,,0,4.6,Y,31,40.90,4.2
Damian Lillard,PG,POR,@ SAC,16th,114.25,9600,44.8,44.8,48.8,8.0,1.28,46.23,0.00,0.00,0,30.6,21.0,38.0,36.25,44.76,44.76,100,,0,4.7,Y,34,54.50,5.7
Bradley Beal,SG,WAS,@ OKC,28th,105.25,9500,41.1,41.1,46.7,9.0,1.46,52.54,0.00,0.00,0,37.7,25.0,32.0,35.25,41.09,41.09,100,,0,4.3,Y,35,31.70,3.3
Pascal Siakam,SF,TOR,@ BOS,25th,105.75,8900,37.5,37.5,62.1,5.0,1.63,58.83,0.00,0.00,0,32.4,26.0,38.0,37.25,37.50,37.50,100,,0,4.2,Y,36,40.60,4.6
Julius Randle,PF,NYK,@ BKN,24th,110.75,8800,39.7,39.7,55.2,6.0,1.58,56.78,0.00,0.00,0,25.6,18.0,35.0,32.00,39.69,39.69,100,,0,4.5,Y,39,27.20,3.1
Devin Booker,SG,PHX,@ DEN,18th,103.75,8800,40.6,40.6,39.4,10.0,1.23,44.33,0.00,0.00,0,25.6,17.0,32.0,35.75,40.63,40.63,100,,0,4.6,Y,41,34.50,3.9
Rudy Gobert,C,UTA,@ LAL,3rd,106.75,8800,44.5,44.5,22.8,0.0,0.60,21.60,0.00,0.00,0,13.0,6.0,38.0,34.75,44.49,44.49,100,,0,5.1,Y,32,26.30,3
Jrue Holiday,SG,NOP,vs DAL,10th,114.50,8700,42.1,42.1,27.8,6.0,0.68,24.41,0.00,0.00,0,18.8,15.0,41.0,34.75,42.07,42.07,100,,0,4.8,Y,33,30.80,3.5
Deandre Ayton,C,PHX,@ DEN,22nd,103.75,8600,0,0,46.2,0.0,1.40,50.40,0.00,0.00,0,17.0,14.0,33.0,0.00,0.00,0.00,100,,0,0,,,,
Kristaps Porzingis,PF,DAL,@ NOP,3rd,112.50,8500,41.4,41.4,32.8,2.0,1.13,40.72,0.00,0.00,0,34.9,16.0,29.0,31.50,41.36,41.36,100,,0,4.9,Y,29,45.30,5.3
Donovan Mitchell,SG,UTA,@ LAL,7th,106.75,8500,38.8,38.8,52.9,3.0,1.47,52.90,0.00,0.00,0,30.1,22.0,36.0,35.75,38.76,38.76,100,,0,4.6,Y,34,45.50,5.4
Chris Paul,PG,OKC,vs WAS,26th,113.25,8400,35.9,35.9,38.1,3.0,1.27,45.72,0.00,0.00,0,25.9,15.0,30.0,31.00,35.92,35.92,100,,0,4.3,Y,30,9.40,1.1
Kemba Walker,PG,BOS,vs TOR,19th,107.75,8200,40.7,40.7,14.4,2.0,0.42,15.25,0.00,0.00,0,28.0,18.0,34.0,34.75,40.65,40.65,100,,0,5,Y,36,42.20,5.1
Lauri Markkanen,PF,CHI,@ MEM,17th,113.00,8200,36.8,36.8,60.4,2.0,1.78,63.95,0.00,0.00,0,34.4,25.0,34.0,33.75,36.75,36.75,100,,0,4.5,Y,32,24.70,3
Zach LaVine,SG,CHI,@ MEM,27th,113.00,8000,37,37,37.7,7.0,1.26,45.24,0.00,0.00,0,28.8,17.0,30.0,33.50,36.96,36.96,100,,0,4.6,Y,33,60.20,7.5
Hassan Whiteside,C,POR,@ SAC,10th,114.25,8000,40.1,40.1,40.8,0.0,1.57,56.49,0.00,0.00,0,20.1,7.0,26.0,27.50,40.14,40.14,100,,0,5,Y,26,41.30,5.2
De'Aaron Fox,PG,SAC,vs POR,12th,113.25,8000,38.6,38.6,11.7,5.0,0.43,15.60,0.00,0.00,0,19.7,7.0,27.0,33.25,38.62,38.62,100,,0,4.8,Y,34,39.70,5
Danilo Gallinari,SF,OKC,vs WAS,22nd,113.25,7900,34.1,34.1,34.4,2.0,1.23,44.23,0.00,0.00,0,25.3,13.0,28.0,31.25,34.06,34.06,100,,0,4.3,Y,30,29.00,3.7
Marvin Bagley III,PF,SAC,vs POR,12th,113.25,7900,0,0,31.0,0.0,1.11,39.86,0.00,0.00,0,25.8,16.0,28.0,0.00,0.00,0.00,100,,0,0,,,,
Kyle Lowry,PG,TOR,@ BOS,5th,105.75,7600,35.7,35.7,39.0,6.0,0.87,31.20,0.00,0.00,0,19.4,15.0,45.0,36.25,35.74,35.74,100,,0,4.7,Y,40,46.30,6.1
Jayson Tatum,PF,BOS,vs TOR,14th,107.75,7600,33.5,33.5,38.0,2.0,1.03,36.97,0.00,0.00,0,30.8,22.0,37.0,35.25,33.53,33.53,100,,0,4.4,Y,35,50.80,6.7
Brandon Ingram,SF,NOP,vs DAL,13th,114.50,7500,29.3,29.3,42.5,5.0,1.21,43.71,0.00,0.00,0,24.0,19.0,35.0,32.25,29.32,29.32,100,,0,3.9,Y,31,45.10,6
Jaren Jackson Jr.,PF,MEM,vs CHI,10th,111.00,7400,31.6,31.6,26.6,0.0,0.89,31.92,0.00,0.00,0,24.0,12.0,30.0,31.50,31.64,31.64,100,,0,4.3,Y,32,41.20,5.6
Mike Conley,PG,UTA,@ LAL,6th,106.75,7300,34.4,34.4,13.5,5.0,0.50,18.00,0.00,0.00,0,32.0,16.0,27.0,31.25,34.43,34.43,100,,0,4.7,Y,31,18.30,2.5
Steven Adams,C,OKC,vs WAS,14th,113.25,7200,32,32,20.2,2.0,0.72,25.97,0.00,0.00,0,19.8,8.0,28.0,32.25,31.95,31.95,100,,0,4.4,Y,29,28.80,4
Ja Morant,PG,MEM,vs CHI,7th,111.00,7100,32.2,32.2,24.8,4.0,0.99,35.71,0.00,0.00,0,30.1,12.0,25.0,28.75,32.20,32.20,100,,0,4.5,Y,28,26.10,3.7
Jamal Murray,PG,DEN,vs PHX,6th,115.75,7100,32.1,32.1,30.0,6.0,0.88,31.76,0.00,0.00,0,22.4,14.0,34.0,32.00,32.06,32.06,100,,0,4.5,Y,41,42.90,6
Mitchell Robinson,C,NYK,@ BKN,30th,110.75,7000,25,25,,,,,,,0,,,,20.50,25.04,25.04,100,,0,3.6,Y,17,27.90,4
Ricky Rubio,PG,PHX,@ DEN,13th,103.75,7000,30.5,30.5,42.7,11.0,1.42,51.24,0.00,0.00,0,23.7,12.0,30.0,30.75,30.45,30.45,100,,0,4.4,Y,36,33.10,4.7
Buddy Hield,SG,SAC,vs POR,10th,113.25,7000,33.2,33.2,32.0,2.0,1.03,37.16,0.00,0.00,0,31.0,19.0,31.0,32.75,33.18,33.18,100,,0,4.7,Y,32,25.50,3.6
Caris LeVert,SG,BKN,vs NYK,8th,118.75,6900,33,33,36.0,4.0,0.97,35.03,0.00,0.00,0,26.0,19.0,37.0,31.00,32.98,32.98,100,,0,4.8,Y,24,20.40,3
Gordon Hayward,SF,BOS,vs TOR,14th,107.75,6800,29.2,29.2,33.0,2.0,0.94,33.94,0.00,0.00,0,24.9,15.0,35.0,33.50,29.20,29.20,100,,0,4.3,Y,37,24.60,3.6
Jarrett Allen,PF,BKN,vs NYK,11th,118.75,6800,32.7,32.7,36.3,1.0,1.01,36.30,0.00,0.00,0,8.1,6.0,36.0,29.75,32.72,32.72,100,,0,4.8,Y,25,21.20,3.1
Lonzo Ball,PG,NOP,vs DAL,10th,114.50,6800,26.1,26.1,20.5,5.0,0.82,29.52,0.00,0.00,0,13.1,7.0,25.0,27.75,26.14,26.14,100,,0,3.8,Y,33,36.10,5.3
Shai Gilgeous-Alexander,SG,OKC,vs WAS,26th,113.25,6800,30.1,30.1,31.9,1.0,0.86,31.04,0.00,0.00,0,31.5,23.0,37.0,34.75,30.14,30.14,100,,0,4.4,Y,36,55.40,8.1
Andrew Wiggins,SG,MIN,@ CHA,24th,115.25,6700,28.9,28.9,29.6,0.0,0.82,29.60,0.00,0.00,0,28.9,27.0,36.0,32.25,28.89,28.89,100,,0,4.3,Y,33,28.80,4.3
Thomas Bryant,C,WAS,@ OKC,9th,105.25,6700,34.8,34.8,28.7,3.0,0.93,33.33,0.00,0.00,0,19.2,9.0,31.0,32.00,34.82,34.82,100,,0,5.2,Y,31,50.20,7.5
C.J. McCollum,SG,POR,@ SAC,19th,114.25,6700,33.7,33.7,18.1,3.0,0.50,18.10,0.00,0.00,0,26.2,18.0,36.0,34.50,33.72,33.72,100,,0,5,Y,34,26.90,4
Fred VanVleet,SG,TOR,@ BOS,5th,105.75,6600,29.5,29.5,54.5,7.0,1.24,44.59,0.00,0.00,0,18.2,18.0,44.0,36.00,29.47,29.47,100,,0,4.5,Y,42,25.00,3.8
Terry Rozier,PG,CHA,vs MIN,20th,110.25,6600,28.7,28.7,16.8,6.0,0.56,20.16,0.00,0.00,0,20.3,10.0,30.0,31.75,28.74,28.74,100,,0,4.4,Y,18,28.20,4.3
PJ Washington,PF,CHA,vs MIN,7th,110.25,6600,31.7,31.7,35.3,1.0,0.93,33.44,0.00,0.00,0,24.2,17.0,38.0,34.25,31.72,31.72,100,,0,4.8,Y,29,25.00,3.8
Cody Zeller,C,CHA,vs MIN,27th,110.25,6600,0,0,29.9,1.0,0.85,30.75,0.00,0.00,0,16.5,11.0,35.0,0.00,0.00,0.00,100,,0,0,,,,
