Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Ezekiel Elliott,8,,RB,9000,DAL,NYG,31.8,DAL by 9.5,-11%,-11%,1%,0.0,0.0,0.0,0.0,0.0,16.0,17.5,18.9,4.3,3.9,9.0,7.8,5.1,0.5,5.1,38,16.8,19.2,19.2,14.2,24.2,18.9,2.1,23.0,2.6
Patrick Mahomes,5,,QB,9000,KC,LV,34.5,KC by 13,0%,15%,-7%,39.3,37.5,36.1,5.3,7.6,6.0,4.5,3.8,0.8,6.0,0.0,0.0,0.0,0.0,0.0,56,29.2,27.0,27.0,17.8,36.3,25.6,2.8,30.7,3.4
Lamar Jackson,4,,QB,8900,BAL,CIN,32.0,BAL by 13,-3%,33%,-9%,24.3,24.5,29.4,4.5,7.9,10.7,9.8,9.3,1.5,6.0,0.0,0.0,0.0,0.0,0.0,62,19.3,21.3,21.3,14.9,27.8,24.7,2.8,14.5,1.6
DeAndre Hopkins,6,,WR,8700,ARI,@NYJ,26.8,ARI by 7,-4%,8%,-9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.0,11.5,10.7,1.5,8.6,18,14.4,16.3,16.3,10.1,22.5,15.8,1.8,22.1,2.5
Dak Prescott,8,O,QB,8700,DAL,NYG,31.8,DAL by 9.5,-11%,-11%,-15%,54.0,50.3,36.7,4.8,8.4,4.3,4.0,4.4,1.3,5.4,0.0,0.0,0.0,0.0,0.0,64,35.9,31.3,31.3,21.1,41.5,0.0,0.0,13.9,1.6
Kyler Murray,7,,QB,8300,ARI,@NYJ,26.8,ARI by 7,-4%,8%,-9%,34.7,36.0,33.9,4.5,6.4,6.3,8.0,7.4,1.5,8.3,0.0,0.0,0.0,0.0,0.0,66,27.0,27.1,27.1,22.7,31.5,23.0,2.8,27.3,3.3
Calvin Ridley,4,,WR,8300,ATL,CAR,27.8,ATL by 1,-9%,5%,-16%,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.4,0.3,3.0,9.3,10.0,9.0,2.0,8.7,14,13.5,17.5,17.5,4.1,30.9,15.0,1.8,17.6,2.1
Tyreek Hill,9,,WR,8200,KC,LV,34.5,KC by 13,0%,15%,-5%,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.1,0.0,11.3,7.7,7.3,8.4,1.0,9.9,13,17.5,16.4,16.4,13.3,19.5,15.9,1.9,16.8,2.0
Joshua Jacobs,4,,RB,8200,LV,@KC,21.5,KC by 13,-22%,35%,-2%,0.0,0.0,0.0,0.0,0.0,19.3,20.8,17.8,3.8,3.6,3.7,4.3,3.7,0.3,5.9,34,9.5,15.6,15.6,3.3,27.9,15.9,1.9,21.5,2.6
Julio Jones,1,Q,WR,8100,ATL,CAR,27.8,ATL by 1,-9%,5%,-16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,0.0,0.3,10.7,0,9.6,9.6,9.6,0.4,18.8,0.0,0.0,0.0,0.0
Nick Chubb,,O,RB,8000,CLE,IND,22.3,IND by 1.5,-36%,-36%,-36%,0.0,0.0,0.0,0.0,0.0,15.7,14.3,1.9,2.8,5.9,0.7,0.8,0.3,0.0,5.7,3,17.9,14.7,14.7,3.1,26.2,0.0,0.0,0.0,0.0
Deshaun Watson,7,,QB,7900,HOU,JAX,30.0,HOU by 6,5%,16%,7%,32.0,32.0,34.8,3.8,8.5,3.7,4.3,4.7,0.5,3.4,0.0,0.0,0.0,0.0,0.0,64,18.2,19.1,19.1,16.3,21.9,23.5,3.0,26.9,3.4
Clyde Edwards-Helaire,11,,RB,7900,KC,LV,34.5,KC by 13,0%,15%,52%,0.0,0.0,0.0,0.0,0.0,15.3,17.8,18.5,3.8,4.3,5.7,4.8,4.4,0.5,6.8,32,12.2,14.1,14.1,9.4,18.7,18.4,2.3,9.5,1.2
Amari Cooper,8,,WR,7800,DAL,NYG,31.8,DAL by 9.5,-11%,-11%,4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,12.3,12.8,9.5,1.3,7.9,15,17.8,16.6,16.6,9.5,23.8,15.3,2.0,3.1,0.4
Cam Newton,,O,QB,7800,NE,DEN,,,3%,-9%,10%,30.3,30.3,2.7,5.7,7.8,11.7,11.7,0.2,4.0,4.3,0.0,0.0,0.0,0.0,0.0,4,24.5,24.5,24.5,12.7,36.2,0.0,0.0,0.0,0.0
Travis Kelce,11,,TE,7800,KC,LV,34.5,KC by 13,0%,15%,-49%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.3,8.5,1.3,9.0,12,13.2,13.4,13.4,8.8,18.1,14.5,1.9,20.8,2.7
Matt Ryan,2,,QB,7700,ATL,CAR,27.8,ATL by 1,-9%,5%,-21%,37.7,41.8,38.9,5.8,7.5,2.3,2.0,1.4,0.8,3.0,0.0,0.0,0.0,0.0,0.0,62,17.8,19.6,19.6,11.2,27.9,20.0,2.6,7.9,1.0
Jared Goff,1,,QB,7500,LAR,@WAS,26.0,LAR by 7,-17%,9%,12%,30.3,30.5,35.3,4.5,8.7,4.0,4.0,2.9,0.5,1.8,0.0,0.0,0.0,0.0,0.0,58,21.3,18.9,18.9,10.3,27.4,19.4,2.6,25.4,3.4
Miles Sanders,0,,RB,7500,PHI,@PIT,18.3,PIT by 7,-6%,-55%,-53%,0.0,0.0,0.0,0.0,0.0,17.0,17.0,15.6,2.3,4.6,6.3,6.3,5.1,0.0,4.1,33,13.3,13.3,13.3,8.3,18.3,14.1,1.9,22.9,3.1
Mark Andrews,3,,TE,7500,BAL,CIN,32.0,BAL by 13,-3%,33%,-13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.0,6.4,1.5,8.3,10,8.8,11.6,11.6,2.3,21.0,11.7,1.6,14.6,1.9
Ben Roethlisberger,1,,QB,7400,PIT,PHI,25.3,PIT by 7,-3%,-9%,-10%,36.3,36.3,34.6,4.7,7.1,3.7,3.7,1.2,1.3,0.4,0.0,0.0,0.0,0.0,0.0,57,20.2,20.2,20.2,18.5,21.8,18.3,2.5,21.4,2.9
Joe Burrow,0,,QB,7300,CIN,@BAL,19.0,BAL by 13,8%,-18%,9%,47.0,44.3,36.3,7.0,6.3,4.0,5.0,5.2,0.8,3.8,0.0,0.0,0.0,0.0,0.0,65,20.3,19.6,19.6,15.8,23.3,18.5,2.5,5.3,0.7
