Player Name,Salary,Team,Opp,Proj FP,Actual FP
Andrei Vasilevskii,9200,TB,FLA,20.3,0.0
Ben Bishop,8900,DAL,BOS,18.4,6.4
Sergei Bobrovsky,8700,FLA,TB,13.9,4.0
Carey Price,8600,MON,CAR,15.4,0.0
Tuukka Rask,8500,BOS,DAL,16.6,30.4
Matthew Murray,8400,PIT,BUF,21.7,0.0
Pekka Rinne,8300,NSH,MIN,20.9,21.6
Devan Dubnyk,8000,MIN,NSH,15.0,5.6
Philipp Grubauer,8000,COL,CGY,18.0,21.6
David Rittich,7800,CGY,COL,14.0,5.6
John Gibson,7800,ANH,ARI,19.5,33.6
Henrik Lundqvist,7700,NYR,WPG,19.3,0.0
Petr Mrazek,7600,CAR,MON,17.4,26.4
Darcy Kuemper,7400,ARI,ANH,18.7,13.6
Connor Hellebuyck,7300,WPG,NYR,17.7,0.8
Carter Hutton,7100,BUF,PIT,14.9,30.4
