Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
San Francisco 49ers,4,D,5000,SF,@NYJ,17.5,SF by 7,3.2,0.6,1.1,197,78,15.7,10.4,4.0,4.0,4.0,4.0,4.0,9.8,2.0,5.0,1.0
Buffalo Bills,9,D,4900,BUF,@MIA,17.5,BUF by 6,3.5,0.4,1.2,238,76,18.7,9.5,8.0,8.0,8.0,8.0,8.0,9.2,1.9,2.0,0.4
Baltimore Ravens,2,D,4700,BAL,@HOU,22.0,BAL by 7,2.9,0.6,0.9,237,122,22.4,7.1,15.0,15.0,15.0,15.0,15.0,8.1,1.7,15.0,3.2
Pittsburgh Steelers,11,D,4600,PIT,DEN,17.0,PIT by 7.5,2.4,0.4,0.6,193,105,17.1,7.5,8.0,8.0,8.0,8.0,8.0,9.2,2.0,13.0,2.8
Los Angeles Rams,3,D,4500,LAR,@PHI,22.3,LAR by 1,2.8,1.0,0.6,233,117,22.0,7.1,4.0,4.0,4.0,4.0,4.0,6.5,1.4,7.0,1.6
Kansas City Chiefs,2,D,4300,KC,@LAC,19.3,KC by 9,2.0,0.6,1.2,270,93,20.2,7.9,7.0,7.0,7.0,7.0,7.0,8.3,1.9,5.0,1.2
Tennessee Titans,4,D,4200,TEN,JAX,16.8,TEN by 9,2.8,0.7,0.4,223,107,18.1,8.0,3.0,3.0,3.0,3.0,3.0,8.1,1.9,5.0,1.2
Minnesota Vikings,,D,4100,MIN,@IND,25.8,IND by 3,1.9,0.7,0.8,206,126,21.7,7.2,-4.0,-4.0,-4.0,-4.0,-4.0,5.9,1.4,4.0,1.0
Denver Broncos,0,D,4100,DEN,@PIT,24.5,PIT by 7.5,2.1,0.8,1.1,182,97,18.4,8.5,4.0,4.0,4.0,4.0,4.0,5.9,1.4,5.0,1.2
Philadelphia Eagles,,D,4000,PHI,LAR,23.3,LAR by 1,1.4,0.4,1.1,287,93,22.4,6.9,3.0,3.0,3.0,3.0,3.0,6.7,1.7,1.0,0.3
Chicago Bears,2,D,4000,CHI,NYG,18.3,CHI by 5.5,2.8,0.9,1.2,230,98,20.4,10.0,3.0,3.0,3.0,3.0,3.0,8.5,2.1,12.0,3.0
Washington Redskins,2,D,3900,WAS,@ARI,27.3,ARI by 7,2.9,0.4,0.8,214,129,22.4,7.9,15.0,15.0,15.0,15.0,15.0,5.4,1.4,4.0,1.0
Green Bay Packers,2,D,3900,GB,DET,21.5,GB by 6.5,2.6,0.4,1.0,239,104,20.7,7.5,5.0,5.0,5.0,5.0,5.0,6.8,1.7,12.0,3.1
Tampa Bay Buccaneers,5,D,3800,TB,CAR,19.3,TB by 9,3.5,0.8,1.3,231,114,20.8,10.2,0.0,0.0,0.0,0.0,0.0,8.2,2.2,14.0,3.7
Jacksonville Jaguars,,D,3700,JAX,@TEN,25.8,TEN by 9,3.3,0.6,0.5,226,139,22.7,6.2,6.0,6.0,6.0,6.0,6.0,5.4,1.5,0.0,0.0
Dallas Cowboys,,D,3700,DAL,ATL,24.0,DAL by 4.5,3.0,0.6,0.9,305,85,24.3,7.5,4.0,4.0,4.0,4.0,4.0,6.3,1.7,-3.0,-0.8
Miami Dolphins,2,D,3600,MIA,BUF,23.5,BUF by 6,2.6,0.4,0.6,206,127,20.1,6.6,4.0,4.0,4.0,4.0,4.0,5.7,1.6,2.0,0.6
Arizona Cardinals,12,D,3600,ARI,WAS,20.3,ARI by 7,3.2,0.5,0.8,163,102,16.6,8.9,6.0,6.0,6.0,6.0,6.0,8.9,2.5,9.0,2.5
Indianapolis Colts,1,D,3600,IND,MIN,22.8,IND by 3,1.8,0.8,0.6,230,131,24.9,4.9,4.0,4.0,4.0,4.0,4.0,6.8,1.9,15.0,4.2
New York Jets,2,D,3500,NYJ,SF,24.5,SF by 7,2.4,0.6,0.8,242,146,28.1,5.5,7.0,7.0,7.0,7.0,7.0,5.5,1.6,4.0,1.1
New York Giants,2,D,3500,NYG,@CHI,23.8,CHI by 5.5,2.6,0.4,0.7,206,98,18.5,6.4,4.0,4.0,4.0,4.0,4.0,5.9,1.7,9.0,2.6
Carolina Panthers,,D,3400,CAR,@TB,28.3,TB by 9,2.9,0.7,1.8,306,93,27.1,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.4,1.3,3.0,0.9
Detroit Lions,,D,3400,DET,@GB,28.0,GB by 6.5,1.9,0.6,0.3,246,119,25.4,3.4,1.0,1.0,1.0,1.0,1.0,3.8,1.1,-3.0,-0.9
Atlanta Falcons,,D,3300,ATL,@DAL,28.5,DAL by 4.5,1.6,0.4,0.7,287,138,25.6,3.8,-1.0,-1.0,-1.0,-1.0,-1.0,4.4,1.3,3.0,0.9
Los Angeles Chargers,0,D,3200,LAC,KC,28.3,KC by 9,1.6,0.7,0.3,270,101,26.6,4.1,11.0,11.0,11.0,11.0,11.0,3.9,1.2,3.0,0.9
Houston Texans,0,D,3000,HOU,BAL,29.0,BAL by 7,1.9,0.5,0.5,194,197,29.5,3.5,0.0,0.0,0.0,0.0,0.0,4.2,1.4,3.0,1.0
