Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,9000,BOS,CHI,20.4,5.6
Ben Bishop,8800,DAL,WPG,20.3,32.8
Andrei Vasilevskii,8700,TB,MIN,21.8,-7.2
Darcy Kuemper,8600,ARI,PHI,16.9,30.4
Connor Hellebuyck,8500,WPG,DAL,17.1,16.8
Malcolm Subban,8300,VGK,NYI,16.0,10.4
Semyon Varlamov,7800,NYI,VGK,19.9,28.8
David Rittich,7800,CGY,BUF,19.0,20.8
Alexander Georgiev,7700,NYR,CLS,17.4,40.0
Alex Stalock,7700,MIN,TB,12.6,20.0
Pavel Francouz,7700,COL,MON,17.2,34.4
Linus Ullmark,7600,BUF,CGY,17.0,4.0
Petr Mrazek,7600,CAR,SJ,17.7,26.4
Brian Elliott,7600,PHI,ARI,19.8,4.0
Robin Lehner,7600,CHI,BOS,14.4,29.6
Joonas Korpisalo,7400,CLS,NYR,17.4,0.8
Aaron Dell,7200,SJ,CAR,13.1,13.6
Cayden Primeau,7000,MON,COL,13.9,13.6
